	Flaubert_MadameBovary_0	Flaubert_MadameBovary_1	Flaubert_MadameBovary_2	Flaubert_MadameBovary_3	Flaubert_MadameBovary_4	Flaubert_MadameBovary_5	Flaubert_MadameBovary_6	Flaubert_MadameBovary_7	Flaubert_MadameBovary_8	Flaubert_MadameBovary_9	Flaubert_MadameBovary_10	Flaubert_MadameBovary_11	Flaubert_MadameBovary_12	Flaubert_MadameBovary_13	Flaubert_MadameBovary_14	Flaubert_MadameBovary_15	Flaubert_MadameBovary_16	Flaubert_MadameBovary_17	Flaubert_MadameBovary_18	Flaubert_MadameBovary_19	Flaubert_MadameBovary_20	Flaubert_MadameBovary_21	Flaubert_MadameBovary_22	Flaubert_MadameBovary_23	Flaubert_MadameBovary_24	Flaubert_MadameBovary_25	Flaubert_MadameBovary_26	Flaubert_MadameBovary_sum
Cette_PRO:DEM_ce	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	2.0	0.0	1.0	0.0	2.0	1.0	1.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	1.0	16.0
religion_NOM_religion	0.0	0.0	1.0	0.0	0.0	1.0	3.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	2.0	0.0	3.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0
phrase_NOM_phrase	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	1.0	1.0	1.0	1.0	0.0	0.0	4.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	16.0
parfois_ADV_parfois	1.0	0.0	0.0	1.0	1.0	3.0	1.0	2.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	16.0
retira_VER:simp_retirer	1.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	16.0
mis_VER:pper_mettre	0.0	2.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	2.0	1.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	16.0
dimanche_NOM_dimanche	1.0	1.0	1.0	1.0	0.0	2.0	1.0	4.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	16.0
tombait_VER:impf_tomber	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	1.0	2.0	1.0	16.0
doit_VER:pres_devoir	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	2.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	16.0
cabinet_NOM_cabinet	1.0	0.0	2.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	3.0	0.0	1.0	1.0	1.0	16.0
rendre_VER:infi_rendre	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	1.0	1.0	1.0	0.0	2.0	1.0	2.0	0.0	1.0	0.0	16.0
cents_NOM_cent	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	3.0	7.0	0.0	0.0	0.0	0.0	16.0
vague_ADJ_vague	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	3.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	1.0	1.0	16.0
sera_VER:futu_être	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	3.0	1.0	2.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	1.0	0.0	0.0	16.0
glace_NOM_glace	0.0	0.0	0.0	2.0	2.0	0.0	0.0	1.0	2.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	16.0
cent_NUM_cent	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	4.0	0.0	1.0	0.0	1.0	0.0	2.0	1.0	1.0	0.0	1.0	16.0
tourna_VER:simp_tourner	0.0	1.0	0.0	0.0	1.0	0.0	0.0	3.0	1.0	2.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	1.0	16.0
exemple_NOM_exemple	0.0	0.0	0.0	0.0	0.0	2.0	1.0	2.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	2.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	16.0
venu_VER:pper_venir	0.0	1.0	2.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	2.0	2.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	16.0
allaient_VER:impf_aller	0.0	1.0	1.0	0.0	2.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	2.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	16.0
Quant_PRP_quant	1.0	1.0	1.0	1.0	1.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	1.0	16.0
servante_NOM_servante	0.0	1.0	0.0	0.0	0.0	2.0	1.0	2.0	1.0	2.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	16.0
idées_NOM_idée	0.0	0.0	0.0	2.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	2.0	16.0
vais_VER:pres_aller	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	2.0	0.0	0.0	16.0
dessus_ADV_dessus	1.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	16.0
premier_NUM_premier	1.0	2.0	0.0	2.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0	1.0	1.0	0.0	0.0	16.0
parole_NOM_parole	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	3.0	0.0	3.0	2.0	3.0	1.0	0.0	0.0	16.0
nouvelle_ADJ_nouveau	1.0	0.0	1.0	0.0	2.0	1.0	2.0	1.0	1.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	16.0
pantoufles_NOM_pantoufle	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	15.0
mêmes_ADJ_même	0.0	0.0	0.0	3.0	2.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0
premiers_NUM_premier	0.0	3.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	1.0	1.0	15.0
qu’ils_ADJ_qu’ils	0.0	0.0	1.0	0.0	0.0	1.0	3.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	15.0
propos_NOM_propos	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0	2.0	2.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	2.0	15.0
écrivit_VER:simp_écrire	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	2.0	2.0	0.0	1.0	1.0	1.0	15.0
fussent_VER:subi_être	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	2.0	1.0	0.0	1.0	1.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	15.0
paraissait_VER:impf_paraître	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	3.0	2.0	2.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	15.0
tas_NOM_tas	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	3.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	15.0
dernier_ADJ_dernier	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	15.0
ton_NOM_ton	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	3.0	0.0	2.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0	15.0
quinze_NUM_quinze	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	15.0
signe_NOM_signe	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	15.0
douce_ADJ_doux	1.0	0.0	1.0	1.0	1.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	1.0	1.0	15.0
là-bas_ADV_là-bas	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	0.0	1.0	15.0
nez_NOM_nez	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	2.0	2.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	15.0
blanches_ADJ_blanc	0.0	0.0	1.0	1.0	0.0	3.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	15.0
devenait_VER:impf_devenir	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	2.0	1.0	0.0	1.0	1.0	2.0	15.0
oui_INT_oui	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	1.0	0.0	2.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	15.0
paille_NOM_paille	0.0	0.0	2.0	0.0	1.0	1.0	2.0	1.0	2.0	0.0	2.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	15.0
