	Dickens_Barnaby	Dickens_Cricket	Dickens_Dombey	sum
rapid	13.0	0.0	6.0	19.0
appears	4.0	0.0	15.0	19.0
fiercely	13.0	0.0	6.0	19.0
carpet	5.0	0.0	14.0	19.0
hesitating	5.0	1.0	13.0	19.0
fearful	12.0	0.0	7.0	19.0
cross	7.0	0.0	12.0	19.0
meekly	10.0	0.0	9.0	19.0
chimneys	11.0	0.0	8.0	19.0
sownds	0.0	0.0	19.0	19.0
pet	4.0	0.0	15.0	19.0
apparently	6.0	2.0	11.0	19.0
issued	10.0	0.0	9.0	19.0
special	7.0	1.0	11.0	19.0
readily	9.0	1.0	9.0	19.0
persuaded	9.0	0.0	10.0	19.0
current	7.0	2.0	10.0	19.0
waste	6.0	0.0	13.0	19.0
dance	9.0	7.0	3.0	19.0
ho	17.0	0.0	2.0	19.0
intervals	7.0	1.0	11.0	19.0
concerned	7.0	1.0	11.0	19.0
catholic	19.0	0.0	0.0	19.0
absorbed	2.0	4.0	13.0	19.0
respectable	5.0	2.0	12.0	19.0
grim	8.0	1.0	10.0	19.0
yards	10.0	0.0	9.0	19.0
murderer	18.0	0.0	1.0	19.0
deserve	6.0	5.0	8.0	19.0
undergone	8.0	0.0	11.0	19.0
alteration	6.0	0.0	13.0	19.0
clasping	11.0	2.0	6.0	19.0
resource	10.0	1.0	8.0	19.0
desert	7.0	0.0	12.0	19.0
housemaid	1.0	0.0	18.0	19.0
host	15.0	0.0	4.0	19.0
interesting	7.0	0.0	12.0	19.0
require	7.0	0.0	12.0	19.0
haggard	10.0	0.0	9.0	19.0
retreated	13.0	1.0	5.0	19.0
uncertainty	8.0	0.0	11.0	19.0
exact	5.0	0.0	13.0	18.0
infinite	6.0	2.0	10.0	18.0
submission	3.0	0.0	15.0	18.0
pinch	16.0	1.0	1.0	18.0
altar	3.0	1.0	14.0	18.0
reception	7.0	0.0	11.0	18.0
bewildered	7.0	2.0	9.0	18.0
patience	9.0	0.0	9.0	18.0
birth	10.0	0.0	8.0	18.0
expecting	10.0	2.0	6.0	18.0
complexion	4.0	0.0	14.0	18.0
commander	3.0	0.0	15.0	18.0
jealous	2.0	0.0	16.0	18.0
ashamed	9.0	2.0	7.0	18.0
folding	12.0	0.0	6.0	18.0
wrist	11.0	0.0	7.0	18.0
alike	8.0	3.0	7.0	18.0
overhaul	0.0	0.0	18.0	18.0
stories	11.0	0.0	7.0	18.0
sunshine	9.0	0.0	9.0	18.0
laws	15.0	0.0	3.0	18.0
flashing	7.0	1.0	10.0	18.0
subsided	8.0	1.0	9.0	18.0
entreated	4.0	0.0	14.0	18.0
forefinger	5.0	1.0	12.0	18.0
language	9.0	2.0	7.0	18.0
catching	7.0	0.0	11.0	18.0
entreaty	3.0	0.0	15.0	18.0
sternly	8.0	0.0	10.0	18.0
sundry	10.0	0.0	8.0	18.0
shutting	5.0	0.0	13.0	18.0
palm	7.0	0.0	11.0	18.0
fail	11.0	0.0	7.0	18.0
slumber	8.0	0.0	10.0	18.0
conceived	3.0	0.0	15.0	18.0
committed	9.0	0.0	9.0	18.0
careless	10.0	0.0	8.0	18.0
connection	15.0	1.0	2.0	18.0
pacing	10.0	1.0	7.0	18.0
carelessly	13.0	0.0	5.0	18.0
enjoyment	7.0	1.0	10.0	18.0
praise	9.0	0.0	9.0	18.0
appetite	6.0	1.0	11.0	18.0
forbid	7.0	0.0	11.0	18.0
fork	5.0	2.0	11.0	18.0
involuntarily	7.0	0.0	11.0	18.0
sunset	9.0	0.0	9.0	18.0
smallest	11.0	3.0	4.0	18.0
allusion	2.0	0.0	16.0	18.0
joey	0.0	0.0	18.0	18.0
separate	11.0	0.0	7.0	18.0
cup	7.0	1.0	10.0	18.0
pure	5.0	1.0	12.0	18.0
returns	3.0	0.0	15.0	18.0
daring	12.0	0.0	6.0	18.0
tumult	16.0	1.0	1.0	18.0
grand	4.0	0.0	14.0	18.0
rid	9.0	0.0	9.0	18.0
directions	10.0	1.0	7.0	18.0
governor	11.0	1.0	6.0	18.0
curtains	5.0	0.0	13.0	18.0
accord	6.0	0.0	12.0	18.0
neglected	3.0	0.0	15.0	18.0
beer	7.0	6.0	5.0	18.0
bowing	7.0	0.0	11.0	18.0
nine	7.0	0.0	11.0	18.0
chuckle	2.0	1.0	15.0	18.0
proposition	6.0	1.0	11.0	18.0
bark	5.0	1.0	12.0	18.0
seeking	6.0	0.0	12.0	18.0
underneath	5.0	1.0	12.0	18.0
relation	5.0	0.0	13.0	18.0
requested	3.0	0.0	15.0	18.0
deference	4.0	1.0	13.0	18.0
honoured	5.0	0.0	13.0	18.0
beaming	6.0	2.0	10.0	18.0
monstrous	7.0	2.0	9.0	18.0
remains	6.0	3.0	9.0	18.0
majesty	13.0	0.0	5.0	18.0
utter	5.0	0.0	13.0	18.0
railway	0.0	0.0	18.0	18.0
purse	11.0	1.0	6.0	18.0
demonstrations	10.0	0.0	8.0	18.0
cheeks	4.0	0.0	14.0	18.0
yielding	8.0	2.0	8.0	18.0
abandoned	5.0	1.0	12.0	18.0
waist	7.0	6.0	5.0	18.0
unexpectedly	6.0	1.0	11.0	18.0
result	9.0	2.0	7.0	18.0
mirror	7.0	1.0	10.0	18.0
ray	6.0	1.0	11.0	18.0
tower	13.0	0.0	5.0	18.0
scream	12.0	0.0	6.0	18.0
drownded	1.0	0.0	17.0	18.0
gift	7.0	0.0	11.0	18.0
mines	0.0	1.0	17.0	18.0
continually	3.0	0.0	15.0	18.0
clung	5.0	2.0	11.0	18.0
winking	5.0	4.0	9.0	18.0
scraps	8.0	1.0	9.0	18.0
winter	8.0	2.0	8.0	18.0
impatient	9.0	1.0	8.0	18.0
tenderly	6.0	3.0	9.0	18.0
creeping	6.0	0.0	12.0	18.0
recollections	8.0	0.0	10.0	18.0
temporary	4.0	0.0	14.0	18.0
brothers	4.0	1.0	13.0	18.0
garments	6.0	2.0	10.0	18.0
gain	9.0	0.0	9.0	18.0
attend	4.0	0.0	14.0	18.0
beheld	11.0	1.0	6.0	18.0
doll	12.0	3.0	3.0	18.0
lines	7.0	2.0	9.0	18.0
wheeled	5.0	0.0	13.0	18.0
conveyed	9.0	0.0	9.0	18.0
impatience	12.0	0.0	6.0	18.0
promised	6.0	0.0	12.0	18.0
promising	6.0	0.0	12.0	18.0
gleam	7.0	2.0	9.0	18.0
doubts	7.0	0.0	11.0	18.0
wrung	10.0	1.0	7.0	18.0
limb	12.0	0.0	6.0	18.0
bones	6.0	0.0	12.0	18.0
sold	8.0	0.0	9.0	17.0
hesitated	7.0	1.0	9.0	17.0
reminded	7.0	0.0	10.0	17.0
chest	3.0	0.0	14.0	17.0
rear	11.0	0.0	6.0	17.0
reality	3.0	1.0	13.0	17.0
yellow	6.0	0.0	11.0	17.0
carts	9.0	2.0	6.0	17.0
sobbing	3.0	1.0	13.0	17.0
chosen	10.0	0.0	7.0	17.0
casting	9.0	3.0	5.0	17.0
holidays	3.0	0.0	14.0	17.0
religious	12.0	1.0	4.0	17.0
writing	3.0	1.0	13.0	17.0
bargain	5.0	0.0	12.0	17.0
recommend	7.0	1.0	9.0	17.0
refuse	9.0	0.0	8.0	17.0
heaps	8.0	0.0	9.0	17.0
remonstrance	9.0	0.0	8.0	17.0
retire	8.0	0.0	9.0	17.0
slipped	7.0	0.0	10.0	17.0
ships	1.0	0.0	16.0	17.0
shouts	17.0	0.0	0.0	17.0
armed	14.0	1.0	2.0	17.0
characters	7.0	2.0	8.0	17.0
beforehand	4.0	1.0	12.0	17.0
glorious	9.0	2.0	6.0	17.0
chap	14.0	0.0	3.0	17.0
behold	8.0	2.0	7.0	17.0
follows	6.0	1.0	10.0	17.0
inch	8.0	0.0	9.0	17.0
prevented	9.0	1.0	7.0	17.0
screamed	9.0	0.0	8.0	17.0
screen	9.0	0.0	8.0	17.0
prevailed	11.0	0.0	6.0	17.0
secretly	0.0	1.0	16.0	17.0
roll	9.0	0.0	8.0	17.0
beset	12.0	1.0	4.0	17.0
cat	6.0	0.0	11.0	17.0
size	4.0	3.0	10.0	17.0
happening	5.0	2.0	10.0	17.0
intimate	8.0	0.0	9.0	17.0
commons	13.0	0.0	4.0	17.0
guilt	11.0	0.0	6.0	17.0
interested	5.0	0.0	12.0	17.0
pursuing	7.0	1.0	9.0	17.0
sixpence	8.0	2.0	7.0	17.0
rights	11.0	0.0	6.0	17.0
backward	13.0	0.0	4.0	17.0
resuming	4.0	1.0	12.0	17.0
cautiously	13.0	0.0	4.0	17.0
grate	11.0	1.0	5.0	17.0
fluttered	6.0	1.0	10.0	17.0
comfortably	10.0	1.0	6.0	17.0
fancied	8.0	1.0	8.0	17.0
reckless	10.0	0.0	7.0	17.0
erect	6.0	1.0	10.0	17.0
excess	11.0	0.0	6.0	17.0
unseen	6.0	1.0	10.0	17.0
tiptoe	8.0	0.0	9.0	17.0
village	15.0	0.0	2.0	17.0
stated	7.0	0.0	10.0	17.0
consternation	7.0	1.0	9.0	17.0
affliction	6.0	1.0	10.0	17.0
victim	6.0	1.0	10.0	17.0
marble	2.0	0.0	15.0	17.0
kinds	11.0	1.0	5.0	17.0
convenient	5.0	1.0	11.0	17.0
destruction	13.0	0.0	4.0	17.0
ends	9.0	0.0	8.0	17.0
descended	8.0	0.0	9.0	17.0
bottles	6.0	4.0	7.0	17.0
deceived	7.0	4.0	6.0	17.0
expressions	6.0	2.0	9.0	17.0
bundle	7.0	0.0	10.0	17.0
stirring	5.0	0.0	12.0	17.0
counting	6.0	0.0	11.0	17.0
nonsense	7.0	0.0	10.0	17.0
symptoms	7.0	0.0	10.0	17.0
explain	5.0	0.0	12.0	17.0
delightful	5.0	0.0	12.0	17.0
accompany	4.0	1.0	12.0	17.0
buttons	4.0	1.0	12.0	17.0
wiped	12.0	0.0	5.0	17.0
expectation	7.0	2.0	8.0	17.0
ally	6.0	0.0	11.0	17.0
affair	7.0	0.0	10.0	17.0
stagg	17.0	0.0	0.0	17.0
mud	5.0	0.0	12.0	17.0
cane	8.0	0.0	9.0	17.0
somehow	3.0	4.0	10.0	17.0
land	5.0	0.0	12.0	17.0
sorts	1.0	3.0	13.0	17.0
admission	12.0	1.0	4.0	17.0
mildly	8.0	1.0	8.0	17.0
wherever	3.0	2.0	12.0	17.0
joke	9.0	4.0	4.0	17.0
wholesome	5.0	2.0	10.0	17.0
despise	10.0	0.0	7.0	17.0
cupboard	5.0	1.0	11.0	17.0
meal	12.0	2.0	3.0	17.0
missed	7.0	3.0	7.0	17.0
spectacle	7.0	2.0	8.0	17.0
motionless	5.0	2.0	10.0	17.0
built	10.0	0.0	7.0	17.0
anguish	7.0	2.0	8.0	17.0
officers	16.0	0.0	1.0	17.0
bond	6.0	1.0	10.0	17.0
match	6.0	2.0	9.0	17.0
opposition	4.0	0.0	13.0	17.0
daughters	6.0	2.0	9.0	17.0
advise	2.0	1.0	14.0	17.0
bedside	2.0	0.0	14.0	16.0
graciously	5.0	0.0	11.0	16.0
look-out	2.0	0.0	14.0	16.0
triumphant	3.0	1.0	12.0	16.0
punishment	8.0	0.0	8.0	16.0
bustle	7.0	2.0	7.0	16.0
bracelet	10.0	0.0	6.0	16.0
correct	5.0	2.0	9.0	16.0
graves	10.0	1.0	5.0	16.0
twisted	8.0	1.0	7.0	16.0
awoke	9.0	2.0	5.0	16.0
wishing	3.0	1.0	12.0	16.0
clergyman	5.0	0.0	11.0	16.0
boxes	3.0	2.0	11.0	16.0
principal	5.0	0.0	11.0	16.0
giddy	8.0	1.0	7.0	16.0
admired	3.0	1.0	12.0	16.0
drowsy	9.0	0.0	7.0	16.0
pick	8.0	0.0	8.0	16.0
threats	13.0	0.0	3.0	16.0
attendants	6.0	0.0	10.0	16.0
dreadfully	3.0	0.0	13.0	16.0
saddle	13.0	0.0	3.0	16.0
glasses	7.0	0.0	9.0	16.0
changing	6.0	1.0	9.0	16.0
clocks	2.0	3.0	11.0	16.0
ignorant	9.0	1.0	6.0	16.0
notion	8.0	1.0	7.0	16.0
ruined	3.0	1.0	12.0	16.0
acted	8.0	1.0	7.0	16.0
tom	13.0	0.0	3.0	16.0
acknowledged	4.0	4.0	8.0	16.0
tore	7.0	0.0	9.0	16.0
glided	7.0	1.0	8.0	16.0
depart	7.0	0.0	9.0	16.0
greatness	3.0	0.0	13.0	16.0
lowering	5.0	0.0	11.0	16.0
monsieur	0.0	0.0	16.0	16.0
deepened	5.0	0.0	11.0	16.0
homely	8.0	2.0	6.0	16.0
hatred	5.0	0.0	11.0	16.0
brightness	9.0	0.0	7.0	16.0
decide	7.0	0.0	9.0	16.0
chose	6.0	2.0	8.0	16.0
modest	4.0	0.0	12.0	16.0
religion	15.0	0.0	1.0	16.0
holborn	15.0	0.0	1.0	16.0
brisk	10.0	1.0	5.0	16.0
watchful	3.0	0.0	13.0	16.0
rejected	5.0	1.0	10.0	16.0
heated	15.0	0.0	1.0	16.0
weapon	12.0	2.0	2.0	16.0
reflecting	6.0	0.0	10.0	16.0
reflect	7.0	1.0	8.0	16.0
rattling	9.0	2.0	5.0	16.0
curls	1.0	0.0	15.0	16.0
wery	6.0	0.0	10.0	16.0
crossing	8.0	0.0	8.0	16.0
creetur	2.0	0.0	14.0	16.0
crisis	7.0	2.0	7.0	16.0
ball	8.0	0.0	8.0	16.0
repair	7.0	0.0	9.0	16.0
repaired	7.0	0.0	9.0	16.0
resolute	6.0	0.0	10.0	16.0
breathless	9.0	1.0	6.0	16.0
becomes	8.0	0.0	8.0	16.0
multitude	9.0	1.0	6.0	16.0
restraint	9.0	0.0	7.0	16.0
coughed	8.0	1.0	7.0	16.0
bred	9.0	1.0	6.0	16.0
guards	15.0	0.0	1.0	16.0
worldly	6.0	0.0	10.0	16.0
won	4.0	2.0	10.0	16.0
madness	11.0	0.0	5.0	16.0
resistance	10.0	1.0	5.0	16.0
brightened	5.0	2.0	9.0	16.0
resignation	8.0	0.0	8.0	16.0
reserved	5.0	0.0	11.0	16.0
ham	6.0	8.0	2.0	16.0
horseback	11.0	1.0	4.0	16.0
mothers	7.0	2.0	7.0	16.0
hang	11.0	0.0	5.0	16.0
delicious	10.0	2.0	4.0	16.0
represented	4.0	2.0	10.0	16.0
bridle	14.0	0.0	2.0	16.0
malice	8.0	1.0	7.0	16.0
merit	7.0	1.0	8.0	16.0
driver	7.0	0.0	9.0	16.0
club	3.0	1.0	12.0	16.0
inspired	8.0	1.0	7.0	16.0
pocket-handkerchief	5.0	0.0	11.0	16.0
fleet	16.0	0.0	0.0	16.0
flow	4.0	1.0	11.0	16.0
flower	6.0	0.0	10.0	16.0
sincere	9.0	0.0	7.0	16.0
streaming	9.0	2.0	5.0	16.0
stricken	4.0	1.0	11.0	16.0
silly	11.0	3.0	2.0	16.0
signal	7.0	0.0	9.0	16.0
sighed	8.0	1.0	7.0	16.0
passengers	10.0	1.0	5.0	16.0
ages	4.0	2.0	10.0	16.0
shriek	7.0	1.0	8.0	16.0
shows	2.0	1.0	13.0	16.0
sum	9.0	1.0	6.0	16.0
parker	0.0	0.0	16.0	16.0
footstep	7.0	0.0	9.0	16.0
lamps	8.0	1.0	7.0	16.0
papists	16.0	0.0	0.0	16.0
injured	3.0	0.0	13.0	16.0
forgiveness	8.0	1.0	7.0	16.0
endeavour	6.0	0.0	10.0	16.0
wit	6.0	1.0	9.0	16.0
expressing	6.0	0.0	10.0	16.0
stimulated	12.0	0.0	4.0	16.0
pleasantly	11.0	1.0	4.0	16.0
complain	3.0	0.0	13.0	16.0
snug	8.0	3.0	5.0	16.0
snuff	12.0	0.0	4.0	16.0
fielding	3.0	13.0	0.0	16.0
peruvian	0.0	0.0	16.0	16.0
species	6.0	1.0	9.0	16.0
fan	1.0	0.0	15.0	16.0
appealed	9.0	0.0	7.0	16.0
smiles	7.0	0.0	9.0	16.0
smell	4.0	0.0	12.0	16.0
fairy	4.0	8.0	4.0	16.0
fairly	11.0	1.0	4.0	16.0
plants	1.0	0.0	15.0	16.0
invited	2.0	0.0	14.0	16.0
stage	2.0	1.0	13.0	16.0
black-eyed	1.0	0.0	15.0	16.0
finds	7.0	0.0	9.0	16.0
peps	0.0	0.0	16.0	16.0
playing	3.0	0.0	13.0	16.0
slightest	12.0	0.0	4.0	16.0
interruption	10.0	0.0	6.0	16.0
fortunate	6.0	0.0	10.0	16.0
boiler	15.0	0.0	1.0	16.0
learning	5.0	0.0	11.0	16.0
thankful	7.0	0.0	9.0	16.0
dusk	7.0	1.0	8.0	16.0
lesson	10.0	1.0	5.0	16.0
elegant	7.0	0.0	9.0	16.0
employed	7.0	1.0	8.0	16.0
eloquence	9.0	0.0	7.0	16.0
chain	5.0	1.0	10.0	16.0
thanks	2.0	3.0	11.0	16.0
elbows	5.0	1.0	10.0	16.0
afforded	9.0	0.0	7.0	16.0
level	5.0	1.0	10.0	16.0
tempted	8.0	0.0	8.0	16.0
lean	6.0	1.0	9.0	16.0
efforts	6.0	1.0	9.0	16.0
sail	1.0	0.0	14.0	15.0
staggered	13.0	0.0	2.0	15.0
dreaming	7.0	0.0	8.0	15.0
visits	2.0	0.0	13.0	15.0
adding	4.0	1.0	10.0	15.0
tightly	9.0	0.0	6.0	15.0
disdain	7.0	0.0	8.0	15.0
gates	14.0	0.0	1.0	15.0
stealthy	10.0	0.0	5.0	15.0
easier	3.0	0.0	12.0	15.0
exultation	4.0	1.0	10.0	15.0
vengeance	10.0	0.0	5.0	15.0
education	1.0	0.0	14.0	15.0
skylight	1.0	0.0	14.0	15.0
stepping	12.0	0.0	3.0	15.0
bald	2.0	1.0	12.0	15.0
extended	9.0	0.0	6.0	15.0
replaced-dns	0.0	15.0	0.0	15.0
cover	7.0	0.0	8.0	15.0
darted	8.0	0.0	7.0	15.0
tie	6.0	0.0	9.0	15.0
report	7.0	0.0	8.0	15.0
admit	5.0	0.0	10.0	15.0
whistle	4.0	0.0	11.0	15.0
wings	8.0	0.0	7.0	15.0
sounding	3.0	1.0	11.0	15.0
thin	7.0	0.0	8.0	15.0
fatigue	7.0	0.0	8.0	15.0
fervour	8.0	0.0	7.0	15.0
apparent	8.0	0.0	7.0	15.0
reduced	5.0	1.0	9.0	15.0
science	1.0	0.0	14.0	15.0
fathers	10.0	2.0	3.0	15.0
creaking	11.0	0.0	4.0	15.0
compass	8.0	2.0	5.0	15.0
drunken	14.0	1.0	0.0	15.0
genius	8.0	1.0	6.0	15.0
angrily	8.0	0.0	7.0	15.0
saturday	8.0	0.0	7.0	15.0
fight	7.0	0.0	8.0	15.0
fighting	12.0	1.0	2.0	15.0
d'ye	6.0	0.0	9.0	15.0
choked	4.0	1.0	10.0	15.0
comrade	13.0	0.0	2.0	15.0
concealed	7.0	0.0	8.0	15.0
skin	8.0	0.0	7.0	15.0
draught	15.0	0.0	0.0	15.0
affections	7.0	0.0	8.0	15.0
entertaining	8.0	0.0	7.0	15.0
shaded	7.0	1.0	7.0	15.0
row	5.0	0.0	10.0	15.0
aboard	0.0	0.0	15.0	15.0
clapping	7.0	2.0	6.0	15.0
freedom	8.0	0.0	7.0	15.0
distressed	3.0	1.0	11.0	15.0
despite	9.0	0.0	6.0	15.0
shore	1.0	0.0	14.0	15.0
forcing	7.0	0.0	8.0	15.0
trace	4.0	0.0	11.0	15.0
unconsciously	5.0	0.0	10.0	15.0
twinkling	8.0	2.0	5.0	15.0
stool	4.0	7.0	4.0	15.0
shocked	5.0	0.0	10.0	15.0
travelling	5.0	0.0	10.0	15.0
reward	8.0	0.0	7.0	15.0
entertained	7.0	2.0	6.0	15.0
dimly	8.0	1.0	6.0	15.0
enjoy	6.0	2.0	7.0	15.0
dining-room	0.0	0.0	15.0	15.0
suspected	6.0	4.0	5.0	15.0
rider	15.0	0.0	0.0	15.0
forms	7.0	1.0	7.0	15.0
avoided	3.0	0.0	12.0	15.0
acknowledgment	2.0	0.0	13.0	15.0
embarrassed	5.0	1.0	9.0	15.0
eternal	4.0	1.0	10.0	15.0
alexander	0.0	0.0	15.0	15.0
flame	9.0	1.0	5.0	15.0
artful	7.0	1.0	7.0	15.0
convenience	6.0	1.0	8.0	15.0
flat	6.0	0.0	9.0	15.0
demeanour	7.0	0.0	8.0	15.0
rescue	10.0	0.0	5.0	15.0
flew	7.0	0.0	8.0	15.0
stooped	10.0	0.0	5.0	15.0
tokens	11.0	0.0	4.0	15.0
sensitive	4.0	0.0	11.0	15.0
glistening	2.0	0.0	13.0	15.0
dense	13.0	0.0	2.0	15.0
frowning	8.0	0.0	7.0	15.0
downcast	9.0	1.0	5.0	15.0
excessive	7.0	0.0	8.0	15.0
cocked	4.0	0.0	11.0	15.0
hackney-coach	3.0	0.0	12.0	15.0
upwards	9.0	1.0	5.0	15.0
council	8.0	0.0	7.0	15.0
guests	10.0	0.0	5.0	15.0
sturdy	14.0	1.0	0.0	15.0
confounded	2.0	2.0	11.0	15.0
scenes	6.0	1.0	8.0	15.0
unpleasant	10.0	0.0	5.0	15.0
merchant	1.0	11.0	3.0	15.0
plucked	9.0	0.0	6.0	15.0
pile	12.0	0.0	3.0	15.0
ours	8.0	1.0	6.0	15.0
bedstead	8.0	1.0	6.0	15.0
bears	4.0	0.0	11.0	15.0
management	6.0	1.0	8.0	15.0
locks	11.0	0.0	4.0	15.0
immensely	6.0	1.0	8.0	15.0
calmly	11.0	0.0	4.0	15.0
nails	9.0	0.0	6.0	15.0
loudly	9.0	0.0	6.0	15.0
rare	5.0	3.0	7.0	15.0
mode	10.0	0.0	5.0	15.0
noises	8.0	1.0	6.0	15.0
holds	5.0	0.0	10.0	15.0
kissing	5.0	2.0	8.0	15.0
original	4.0	1.0	10.0	15.0
blush	9.0	2.0	4.0	15.0
impressive	7.0	0.0	8.0	15.0
morfin	0.0	0.0	15.0	15.0
cellars	12.0	0.0	3.0	15.0
patting	6.0	0.0	9.0	15.0
casks	10.0	0.0	5.0	15.0
intellect	7.0	0.0	8.0	15.0
possess	5.0	0.0	10.0	15.0
charged	3.0	0.0	12.0	15.0
hushed	3.0	0.0	12.0	15.0
besought	8.0	0.0	7.0	15.0
portrait	5.0	1.0	9.0	15.0
bull	3.0	0.0	12.0	15.0
wretch	7.0	0.0	8.0	15.0
branches	6.0	0.0	9.0	15.0
cheerily	3.0	0.0	12.0	15.0
porter	7.0	0.0	8.0	15.0
cheerfulness	8.0	4.0	3.0	15.0
charity	9.0	1.0	5.0	15.0
hooroar	0.0	1.0	14.0	15.0
labour	8.0	0.0	7.0	15.0
lordship	14.0	0.0	1.0	15.0
pattern	8.0	0.0	7.0	15.0
insensible	7.0	0.0	8.0	15.0
pen	4.0	0.0	11.0	15.0
lobby	13.0	0.0	2.0	15.0
judgment	8.0	2.0	5.0	15.0
beckoning	8.0	0.0	7.0	15.0
lanes	10.0	0.0	5.0	15.0
humbled	4.0	1.0	10.0	15.0
improvement	3.0	2.0	10.0	15.0
purchase	8.0	0.0	7.0	15.0
hugged	6.0	2.0	7.0	15.0
betrayed	8.0	2.0	5.0	15.0
pretence	7.0	0.0	8.0	15.0
obvious	5.0	0.0	10.0	15.0
broker	0.0	1.0	14.0	15.0
lighting	9.0	2.0	4.0	15.0
highest	5.0	2.0	8.0	15.0
brooding	3.0	2.0	10.0	15.0
base	7.0	0.0	8.0	15.0
presume	1.0	0.0	14.0	15.0
occupy	2.0	0.0	13.0	15.0
indies	2.0	0.0	13.0	15.0
obdurate	6.0	1.0	8.0	15.0
blazing	14.0	1.0	0.0	15.0
partly	5.0	0.0	10.0	15.0
rate	6.0	0.0	9.0	15.0
notes	5.0	0.0	10.0	15.0
hotel	1.0	0.0	14.0	15.0
prefer	5.0	0.0	10.0	15.0
prey	7.0	0.0	8.0	15.0
onward	8.0	0.0	7.0	15.0
bitterly	5.0	2.0	8.0	15.0
clapped	7.0	1.0	6.0	14.0
musical	5.0	3.0	6.0	14.0
butler	0.0	0.0	14.0	14.0
yore	6.0	0.0	8.0	14.0
pa	0.0	0.0	14.0	14.0
agree	8.0	1.0	5.0	14.0
blooming	7.0	2.0	5.0	14.0
trim	6.0	0.0	8.0	14.0
mournful	8.0	1.0	5.0	14.0
swelled	7.0	0.0	7.0	14.0
polished	6.0	0.0	8.0	14.0
awe	5.0	1.0	8.0	14.0
grin	6.0	0.0	8.0	14.0
commission	4.0	0.0	10.0	14.0
supposing	7.0	0.0	7.0	14.0
retirement	3.0	0.0	11.0	14.0
blindness	9.0	4.0	1.0	14.0
mournfully	5.0	0.0	9.0	14.0
ended	5.0	1.0	8.0	14.0
funeral	2.0	0.0	12.0	14.0
ridiculous	4.0	0.0	10.0	14.0
losing	5.0	0.0	9.0	14.0
lustre	8.0	0.0	6.0	14.0
sisters	1.0	1.0	12.0	14.0
parcel	4.0	4.0	6.0	14.0
tumbled	1.0	1.0	12.0	14.0
hungry	9.0	0.0	5.0	14.0
uncommonly	0.0	3.0	11.0	14.0
outward	6.0	0.0	8.0	14.0
rouse	7.0	1.0	6.0	14.0
effected	5.0	2.0	7.0	14.0
ed'ard	0.0	0.0	14.0	14.0
openly	3.0	0.0	11.0	14.0
noisy	10.0	1.0	3.0	14.0
fragment	4.0	1.0	9.0	14.0
price	9.0	1.0	4.0	14.0
arts	8.0	1.0	5.0	14.0
tending	1.0	2.0	11.0	14.0
inclination	4.0	0.0	10.0	14.0
screwed	1.0	1.0	12.0	14.0
thankee	0.0	5.0	9.0	14.0
oblige	7.0	0.0	7.0	14.0
season	4.0	2.0	8.0	14.0
seats	8.0	0.0	6.0	14.0
tink	14.0	0.0	0.0	14.0
boisterous	12.0	0.0	2.0	14.0
observations	2.0	0.0	12.0	14.0
associated	2.0	0.0	12.0	14.0
preserve	8.0	0.0	6.0	14.0
secrets	9.0	1.0	4.0	14.0
duke	5.0	0.0	9.0	14.0
secure	6.0	0.0	8.0	14.0
dried	4.0	1.0	9.0	14.0
driving	7.0	0.0	7.0	14.0
willing	6.0	1.0	7.0	14.0
tools	13.0	0.0	1.0	14.0
disconcerted	5.0	0.0	9.0	14.0
inform	2.0	0.0	12.0	14.0
withdraw	6.0	0.0	8.0	14.0
glowing	6.0	0.0	8.0	14.0
enchanted	3.0	1.0	10.0	14.0
folks	8.0	0.0	6.0	14.0
needed	8.0	0.0	6.0	14.0
afresh	4.0	0.0	10.0	14.0
nervous	5.0	1.0	8.0	14.0
emphatic	1.0	1.0	12.0	14.0
disguise	7.0	1.0	6.0	14.0
disinterested	6.0	0.0	8.0	14.0
overcome	5.0	0.0	9.0	14.0
grinders	0.0	0.0	14.0	14.0
practice	7.0	1.0	6.0	14.0
cellar	10.0	0.0	4.0	14.0
injury	3.0	0.0	11.0	14.0
bounds	7.0	0.0	7.0	14.0
distracted	9.0	0.0	5.0	14.0
process	5.0	2.0	7.0	14.0
forgetting	2.0	0.0	12.0	14.0
tossed	8.0	0.0	6.0	14.0
collected	6.0	0.0	8.0	14.0
arrested	7.0	0.0	7.0	14.0
achieved	7.0	1.0	6.0	14.0
count	6.0	1.0	7.0	14.0
scrap	8.0	0.0	6.0	14.0
resume	2.0	0.0	12.0	14.0
comparison	7.0	1.0	6.0	14.0
sole	5.0	0.0	9.0	14.0
rely	6.0	0.0	8.0	14.0
hats	7.0	0.0	7.0	14.0
ragged	8.0	0.0	6.0	14.0
exposed	8.0	1.0	5.0	14.0
paying	5.0	1.0	8.0	14.0
knight	14.0	0.0	0.0	14.0
warned	10.0	0.0	4.0	14.0
radiant	5.0	2.0	7.0	14.0
warming	7.0	0.0	7.0	14.0
briskly	7.0	1.0	6.0	14.0
waggons	7.0	0.0	7.0	14.0
wistfully	3.0	1.0	10.0	14.0
groan	10.0	0.0	4.0	14.0
smote	9.0	0.0	5.0	14.0
pipes	10.0	0.0	4.0	14.0
harder	4.0	1.0	9.0	14.0
marks	5.0	2.0	7.0	14.0
fetch	2.0	0.0	12.0	14.0
replies	1.0	0.0	13.0	14.0
