	Maupassant_PierreJean_0	Maupassant_PierreJean_1	Maupassant_PierreJean_2	Maupassant_PierreJean_3	Maupassant_PierreJean_4	Maupassant_PierreJean_5	Maupassant_PierreJean_6	Maupassant_PierreJean_7	Maupassant_PierreJean_8	Maupassant_PierreJean_9	Maupassant_PierreJean_10	Maupassant_PierreJean_11	Maupassant_PierreJean_12	Maupassant_PierreJean_13	Maupassant_PierreJean_14	Maupassant_PierreJean_15	Maupassant_PierreJean_16	Maupassant_PierreJean_17	Maupassant_PierreJean_18	Maupassant_PierreJean_19	Maupassant_PierreJean_20	Maupassant_PierreJean_21	Maupassant_PierreJean_22	Maupassant_PierreJean_23	Maupassant_PierreJean_24	Maupassant_PierreJean_25	Maupassant_PierreJean_26	Maupassant_PierreJean_27	Maupassant_PierreJean_28	Maupassant_PierreJean_29	Maupassant_PierreJean_30	Maupassant_PierreJean_31	Maupassant_PierreJean_32	Maupassant_PierreJean_33	Maupassant_PierreJean_34	Maupassant_PierreJean_35	Maupassant_PierreJean_36	Maupassant_PierreJean_37	Maupassant_PierreJean_38	Maupassant_PierreJean_39	Maupassant_PierreJean_40	Maupassant_PierreJean_41	Maupassant_PierreJean_42	Maupassant_PierreJean_43	Maupassant_PierreJean_44	Maupassant_PierreJean_45	Maupassant_PierreJean_46	Maupassant_PierreJean_47	Maupassant_PierreJean_48	Maupassant_PierreJean_49	Maupassant_PierreJean_50	Maupassant_PierreJean_51	Maupassant_PierreJean_52	Maupassant_PierreJean_53	Maupassant_PierreJean_54	Maupassant_PierreJean_55	Maupassant_PierreJean_56	Maupassant_PierreJean_sum
les_DET:ART_le	7.0	7.0	12.0	19.0	18.0	12.0	5.0	12.0	5.0	10.0	12.0	5.0	13.0	12.0	3.0	7.0	10.0	10.0	11.0	12.0	8.0	8.0	10.0	8.0	12.0	7.0	9.0	5.0	22.0	15.0	5.0	4.0	6.0	6.0	17.0	26.0	7.0	13.0	17.0	14.0	3.0	4.0	5.0	6.0	2.0	14.0	5.0	8.0	3.0	13.0	11.0	13.0	9.0	5.0	17.0	12.0	3.0	554.0
d'_PRP_de	18.0	8.0	11.0	10.0	9.0	20.0	7.0	6.0	9.0	11.0	10.0	5.0	14.0	14.0	13.0	9.0	10.0	6.0	10.0	8.0	14.0	5.0	8.0	4.0	13.0	7.0	11.0	2.0	12.0	15.0	3.0	5.0	12.0	12.0	15.0	13.0	11.0	13.0	5.0	13.0	2.0	7.0	6.0	4.0	3.0	10.0	6.0	11.0	8.0	15.0	10.0	14.0	7.0	11.0	12.0	7.0	3.0	537.0
l'_DET:ART_le	14.0	12.0	5.0	17.0	12.0	5.0	12.0	3.0	10.0	17.0	9.0	6.0	8.0	8.0	7.0	10.0	10.0	10.0	3.0	8.0	7.0	4.0	13.0	17.0	13.0	12.0	11.0	11.0	11.0	9.0	10.0	3.0	2.0	9.0	9.0	11.0	14.0	13.0	7.0	8.0	5.0	13.0	9.0	4.0	4.0	10.0	12.0	7.0	6.0	13.0	5.0	10.0	2.0	4.0	10.0	11.0	7.0	512.0
»_PUN:cit_»	12.0	7.0	9.0	11.0	8.0	18.0	15.0	15.0	8.0	6.0	9.0	15.0	4.0	7.0	6.0	10.0	8.0	9.0	11.0	5.0	9.0	9.0	5.0	6.0	1.0	3.0	0.0	6.0	2.0	8.0	8.0	9.0	18.0	5.0	2.0	5.0	13.0	8.0	11.0	8.0	17.0	3.0	10.0	7.0	5.0	5.0	12.0	15.0	18.0	5.0	14.0	3.0	12.0	14.0	5.0	15.0	12.0	501.0
«_PUN:cit_«	12.0	7.0	9.0	11.0	8.0	19.0	15.0	14.0	8.0	7.0	9.0	12.0	5.0	6.0	6.0	10.0	8.0	9.0	11.0	5.0	10.0	8.0	6.0	5.0	1.0	3.0	0.0	7.0	1.0	8.0	9.0	9.0	18.0	5.0	2.0	6.0	12.0	8.0	11.0	8.0	18.0	2.0	10.0	8.0	4.0	5.0	13.0	15.0	18.0	5.0	13.0	3.0	12.0	14.0	5.0	14.0	11.0	498.0
une_DET:ART_un	8.0	11.0	4.0	5.0	10.0	7.0	8.0	4.0	6.0	9.0	8.0	12.0	7.0	12.0	12.0	7.0	9.0	9.0	10.0	7.0	11.0	5.0	11.0	6.0	10.0	7.0	9.0	5.0	7.0	8.0	10.0	11.0	10.0	6.0	11.0	8.0	8.0	5.0	5.0	10.0	5.0	8.0	6.0	7.0	6.0	3.0	9.0	3.0	6.0	13.0	9.0	9.0	4.0	7.0	9.0	9.0	7.0	448.0
:_PUN_:	11.0	7.0	9.0	10.0	7.0	8.0	13.0	11.0	8.0	3.0	7.0	5.0	4.0	6.0	4.0	10.0	9.0	10.0	11.0	3.0	9.0	7.0	2.0	4.0	0.0	3.0	0.0	6.0	2.0	7.0	7.0	9.0	15.0	4.0	1.0	3.0	8.0	8.0	11.0	5.0	14.0	2.0	10.0	9.0	5.0	4.0	11.0	9.0	17.0	3.0	13.0	3.0	10.0	14.0	3.0	11.0	8.0	413.0
son_DET:POS_son	9.0	4.0	9.0	2.0	1.0	5.0	3.0	3.0	7.0	3.0	10.0	6.0	10.0	10.0	3.0	8.0	10.0	8.0	5.0	16.0	5.0	3.0	10.0	9.0	10.0	9.0	6.0	9.0	2.0	8.0	12.0	10.0	12.0	14.0	1.0	6.0	3.0	5.0	8.0	9.0	3.0	7.0	4.0	3.0	2.0	12.0	9.0	6.0	3.0	6.0	7.0	6.0	6.0	3.0	11.0	8.0	7.0	386.0
ne_ADV_ne	4.0	6.0	8.0	5.0	6.0	3.0	9.0	6.0	3.0	0.0	4.0	7.0	9.0	6.0	6.0	6.0	5.0	9.0	6.0	6.0	2.0	12.0	6.0	2.0	2.0	10.0	9.0	11.0	1.0	9.0	8.0	5.0	11.0	11.0	4.0	2.0	7.0	8.0	7.0	2.0	7.0	6.0	16.0	12.0	18.0	8.0	10.0	8.0	9.0	4.0	4.0	5.0	7.0	6.0	6.0	4.0	5.0	378.0
se_PRO:PER_se	5.0	2.0	3.0	6.0	5.0	7.0	1.0	4.0	9.0	6.0	4.0	4.0	5.0	5.0	13.0	7.0	2.0	6.0	11.0	6.0	3.0	8.0	5.0	3.0	6.0	12.0	10.0	8.0	4.0	10.0	5.0	6.0	5.0	9.0	12.0	12.0	10.0	9.0	7.0	6.0	7.0	3.0	10.0	0.0	1.0	14.0	9.0	8.0	4.0	5.0	13.0	10.0	11.0	1.0	7.0	7.0	2.0	373.0
