	Maupassant_BelAmi_0	Maupassant_BelAmi_1	Maupassant_BelAmi_2	Maupassant_BelAmi_3	Maupassant_BelAmi_4	Maupassant_BelAmi_5	Maupassant_BelAmi_6	Maupassant_BelAmi_7	Maupassant_BelAmi_8	Maupassant_BelAmi_9	Maupassant_BelAmi_10	Maupassant_BelAmi_11	Maupassant_BelAmi_12	Maupassant_BelAmi_13	Maupassant_BelAmi_14	Maupassant_BelAmi_15	Maupassant_BelAmi_16	Maupassant_BelAmi_17	Maupassant_BelAmi_18	Maupassant_BelAmi_19	Maupassant_BelAmi_20	Maupassant_BelAmi_21	Maupassant_BelAmi_22	Maupassant_BelAmi_23	Maupassant_BelAmi_24	Maupassant_BelAmi_25	Maupassant_BelAmi_26	Maupassant_BelAmi_27	Maupassant_BelAmi_28	Maupassant_BelAmi_sum
dans_PRP_dans	33.0	28.0	37.0	28.0	27.0	25.0	37.0	49.0	41.0	29.0	27.0	31.0	37.0	32.0	20.0	22.0	35.0	29.0	18.0	32.0	30.0	26.0	20.0	26.0	30.0	31.0	22.0	30.0	6.0	838.0
qui_PRO:REL_qui	23.0	30.0	26.0	21.0	29.0	36.0	25.0	23.0	32.0	40.0	34.0	29.0	30.0	41.0	25.0	34.0	27.0	30.0	35.0	28.0	22.0	28.0	23.0	33.0	33.0	31.0	16.0	37.0	10.0	831.0
ne_ADV_ne	19.0	18.0	19.0	23.0	23.0	36.0	23.0	34.0	37.0	28.0	34.0	23.0	30.0	37.0	33.0	21.0	23.0	25.0	30.0	45.0	34.0	25.0	37.0	26.0	30.0	28.0	51.0	27.0	7.0	826.0
lui_PRO:PER_lui	22.0	35.0	23.0	24.0	21.0	26.0	28.0	29.0	32.0	35.0	20.0	36.0	23.0	23.0	32.0	19.0	23.0	40.0	17.0	23.0	24.0	39.0	33.0	31.0	25.0	22.0	31.0	32.0	16.0	784.0
s'_PRO:PER_se	23.0	43.0	36.0	22.0	16.0	36.0	31.0	24.0	30.0	21.0	19.0	31.0	25.0	34.0	26.0	34.0	22.0	24.0	24.0	20.0	33.0	30.0	28.0	18.0	26.0	35.0	26.0	24.0	7.0	768.0
elle_PRO:PER_elle	1.0	13.0	10.0	33.0	1.0	27.0	38.0	45.0	47.0	8.0	22.0	4.0	16.0	13.0	43.0	28.0	31.0	27.0	15.0	48.0	32.0	60.0	42.0	15.0	12.0	15.0	32.0	47.0	5.0	730.0
?_SENT_?	29.0	18.0	7.0	18.0	25.0	10.0	25.0	27.0	33.0	21.0	34.0	46.0	30.0	27.0	15.0	15.0	27.0	30.0	15.0	21.0	23.0	14.0	33.0	16.0	34.0	44.0	48.0	21.0	2.0	708.0
est_VER:pres_être	21.0	14.0	19.0	35.0	23.0	24.0	21.0	19.0	21.0	20.0	28.0	21.0	28.0	21.0	26.0	18.0	17.0	36.0	17.0	18.0	32.0	21.0	34.0	30.0	44.0	26.0	42.0	19.0	4.0	699.0
pas_ADV_pas	32.0	12.0	12.0	30.0	24.0	25.0	19.0	28.0	27.0	11.0	28.0	18.0	24.0	26.0	31.0	14.0	12.0	19.0	20.0	40.0	24.0	22.0	34.0	29.0	25.0	24.0	40.0	18.0	3.0	671.0
que_KON_que	13.0	17.0	12.0	36.0	28.0	22.0	15.0	21.0	27.0	30.0	28.0	19.0	19.0	23.0	26.0	27.0	17.0	28.0	23.0	38.0	13.0	31.0	30.0	25.0	22.0	18.0	25.0	26.0	2.0	661.0
!_SENT_!	21.0	6.0	9.0	7.0	24.0	10.0	21.0	25.0	36.0	11.0	21.0	16.0	34.0	29.0	10.0	22.0	17.0	32.0	25.0	24.0	35.0	42.0	22.0	13.0	28.0	18.0	49.0	38.0	2.0	647.0
du_PRP:det_du	31.0	21.0	32.0	17.0	16.0	28.0	18.0	21.0	16.0	21.0	19.0	22.0	23.0	24.0	27.0	27.0	39.0	21.0	18.0	24.0	32.0	19.0	13.0	25.0	18.0	23.0	15.0	14.0	9.0	633.0
je_PRO:PER_je	20.0	7.0	8.0	32.0	23.0	22.0	19.0	28.0	19.0	9.0	27.0	19.0	22.0	18.0	32.0	18.0	6.0	18.0	12.0	58.0	27.0	31.0	23.0	13.0	35.0	29.0	24.0	15.0	1.0	615.0
son_DET:POS_son	10.0	25.0	36.0	25.0	27.0	31.0	20.0	14.0	19.0	23.0	13.0	29.0	25.0	19.0	18.0	19.0	35.0	24.0	20.0	16.0	19.0	21.0	26.0	15.0	15.0	21.0	12.0	24.0	5.0	606.0
pour_PRP_pour	12.0	18.0	23.0	25.0	27.0	19.0	24.0	24.0	32.0	28.0	17.0	26.0	14.0	26.0	18.0	14.0	20.0	21.0	20.0	16.0	16.0	30.0	23.0	22.0	19.0	15.0	25.0	24.0	7.0	605.0
avec_PRP_avec	10.0	23.0	27.0	18.0	26.0	34.0	25.0	24.0	23.0	23.0	16.0	14.0	19.0	18.0	15.0	27.0	31.0	18.0	31.0	16.0	25.0	19.0	21.0	23.0	25.0	13.0	19.0	19.0	3.0	605.0
vous_PRO:PER_vous	1.0	3.0	8.0	18.0	24.0	21.0	26.0	1.0	20.0	10.0	31.0	17.0	21.0	11.0	51.0	17.0	2.0	5.0	12.0	74.0	44.0	4.0	8.0	20.0	35.0	66.0	41.0	5.0	3.0	599.0
..._PUN_...	6.0	2.0	6.0	24.0	27.0	11.0	10.0	16.0	46.0	7.0	10.0	5.0	8.0	53.0	24.0	27.0	8.0	15.0	18.0	69.0	30.0	14.0	72.0	15.0	8.0	14.0	31.0	19.0	1.0	596.0
sur_PRP_sur	17.0	21.0	32.0	22.0	21.0	14.0	29.0	12.0	11.0	22.0	13.0	22.0	21.0	27.0	22.0	30.0	17.0	10.0	16.0	11.0	20.0	14.0	17.0	18.0	18.0	21.0	11.0	14.0	5.0	528.0
sa_DET:POS_son	15.0	27.0	35.0	14.0	16.0	24.0	21.0	21.0	15.0	14.0	5.0	25.0	15.0	21.0	13.0	25.0	13.0	15.0	6.0	22.0	14.0	22.0	16.0	22.0	19.0	9.0	19.0	29.0	8.0	520.0
n'_ADV_ne	24.0	14.0	13.0	29.0	24.0	22.0	16.0	11.0	17.0	17.0	16.0	20.0	22.0	15.0	19.0	16.0	14.0	21.0	9.0	20.0	14.0	18.0	19.0	29.0	18.0	19.0	24.0	14.0	0.0	514.0
par_PRP_par	21.0	25.0	18.0	17.0	17.0	17.0	16.0	20.0	25.0	27.0	9.0	16.0	14.0	8.0	12.0	15.0	24.0	24.0	22.0	18.0	17.0	20.0	9.0	18.0	17.0	10.0	18.0	19.0	1.0	494.0
avait_VER:impf_avoir	12.0	18.0	11.0	14.0	19.0	16.0	14.0	25.0	25.0	22.0	10.0	17.0	8.0	19.0	18.0	19.0	17.0	23.0	15.0	14.0	19.0	24.0	19.0	16.0	15.0	13.0	20.0	25.0	7.0	494.0
au_PRP:det_au	36.0	17.0	20.0	18.0	21.0	15.0	10.0	17.0	10.0	23.0	13.0	28.0	19.0	10.0	8.0	13.0	13.0	15.0	11.0	17.0	23.0	14.0	18.0	16.0	13.0	21.0	21.0	23.0	4.0	487.0
--_PUN_--	21.0	7.0	4.0	28.0	32.0	8.0	9.0	8.0	20.0	8.0	20.0	26.0	27.0	6.0	19.0	16.0	16.0	10.0	28.0	6.0	20.0	12.0	22.0	6.0	30.0	30.0	38.0	7.0	0.0	484.0
ce_PRO:DEM_ce	9.0	11.0	15.0	17.0	21.0	15.0	12.0	22.0	15.0	13.0	28.0	15.0	12.0	25.0	28.0	13.0	8.0	25.0	16.0	12.0	17.0	9.0	14.0	16.0	19.0	14.0	19.0	20.0	1.0	461.0
