	Flaubert_Education_0	Flaubert_Education_1	Flaubert_Education_2	Flaubert_Education_3	Flaubert_Education_4	Flaubert_Education_5	Flaubert_Education_6	Flaubert_Education_7	Flaubert_Education_8	Flaubert_Education_9	Flaubert_Education_10	Flaubert_Education_11	Flaubert_Education_12	Flaubert_Education_13	Flaubert_Education_14	Flaubert_Education_15	Flaubert_Education_16	Flaubert_Education_17	Flaubert_Education_18	Flaubert_Education_19	Flaubert_Education_20	Flaubert_Education_21	Flaubert_Education_22	Flaubert_Education_23	Flaubert_Education_24	Flaubert_Education_25	Flaubert_Education_26	Flaubert_Education_27	Flaubert_Education_28	Flaubert_Education_29	Flaubert_Education_30	Flaubert_Education_31	Flaubert_Education_32	Flaubert_Education_33	Flaubert_Education_34	Flaubert_Education_35	Flaubert_Education_36	Flaubert_Education_37	Flaubert_Education_38	Flaubert_Education_sum
des_PRP:det_du	90.0	69.0	56.0	48.0	65.0	46.0	73.0	50.0	32.0	55.0	58.0	57.0	52.0	55.0	68.0	40.0	32.0	64.0	77.0	41.0	43.0	48.0	50.0	48.0	32.0	53.0	90.0	44.0	44.0	120.0	63.0	34.0	34.0	54.0	77.0	49.0	27.0	51.0	24.0	2113.0
d'_PRP_de	63.0	54.0	63.0	52.0	58.0	76.0	62.0	66.0	50.0	35.0	69.0	66.0	41.0	59.0	53.0	50.0	49.0	51.0	48.0	51.0	38.0	57.0	54.0	53.0	48.0	51.0	48.0	53.0	44.0	71.0	50.0	39.0	43.0	61.0	64.0	65.0	49.0	52.0	36.0	2092.0
«_PUN:cit_«	22.0	22.0	42.0	35.0	22.0	41.0	35.0	30.0	32.0	50.0	51.0	63.0	77.0	46.0	68.0	60.0	92.0	68.0	59.0	89.0	68.0	38.0	78.0	70.0	74.0	24.0	30.0	75.0	47.0	21.0	52.0	88.0	90.0	38.0	37.0	53.0	66.0	68.0	52.0	2073.0
;_PUN_;	73.0	61.0	48.0	41.0	65.0	57.0	62.0	60.0	52.0	57.0	44.0	53.0	33.0	45.0	50.0	54.0	36.0	45.0	63.0	34.0	41.0	50.0	59.0	45.0	43.0	49.0	50.0	35.0	43.0	64.0	56.0	54.0	42.0	49.0	56.0	57.0	49.0	50.0	20.0	1945.0
une_DET:ART_un	49.0	47.0	48.0	50.0	48.0	49.0	46.0	56.0	46.0	43.0	64.0	57.0	41.0	54.0	41.0	39.0	46.0	48.0	41.0	38.0	32.0	47.0	42.0	49.0	46.0	42.0	41.0	46.0	36.0	66.0	39.0	29.0	52.0	49.0	45.0	57.0	38.0	44.0	33.0	1784.0
l'_DET:ART_le	53.0	53.0	47.0	46.0	49.0	60.0	42.0	47.0	29.0	48.0	43.0	34.0	48.0	43.0	34.0	42.0	42.0	51.0	46.0	36.0	34.0	40.0	38.0	50.0	50.0	41.0	49.0	64.0	48.0	43.0	44.0	34.0	43.0	54.0	51.0	52.0	47.0	39.0	34.0	1748.0
se_PRO:PER_se	51.0	32.0	43.0	36.0	43.0	37.0	36.0	37.0	46.0	43.0	34.0	46.0	40.0	49.0	33.0	47.0	34.0	36.0	55.0	29.0	45.0	44.0	41.0	34.0	39.0	38.0	43.0	49.0	49.0	45.0	33.0	43.0	34.0	40.0	35.0	34.0	31.0	32.0	28.0	1544.0
dans_PRP_dans	35.0	47.0	35.0	36.0	34.0	39.0	35.0	41.0	38.0	41.0	40.0	34.0	26.0	30.0	33.0	28.0	29.0	31.0	36.0	19.0	22.0	24.0	22.0	24.0	30.0	33.0	33.0	19.0	22.0	46.0	28.0	25.0	29.0	29.0	32.0	24.0	30.0	24.0	20.0	1203.0
s'_PRO:PER_se	30.0	34.0	38.0	27.0	27.0	31.0	35.0	31.0	41.0	34.0	33.0	33.0	26.0	30.0	30.0	26.0	25.0	31.0	28.0	40.0	32.0	31.0	27.0	30.0	27.0	38.0	32.0	25.0	43.0	34.0	36.0	30.0	24.0	34.0	27.0	26.0	25.0	31.0	17.0	1199.0
en_PRP_en	29.0	34.0	36.0	36.0	18.0	28.0	24.0	33.0	28.0	28.0	45.0	25.0	21.0	29.0	30.0	22.0	23.0	22.0	37.0	17.0	34.0	31.0	31.0	20.0	24.0	39.0	30.0	20.0	27.0	38.0	29.0	26.0	28.0	33.0	32.0	35.0	21.0	36.0	19.0	1118.0
