	Zola_Nana_0	Zola_Nana_1	Zola_Nana_2	Zola_Nana_3	Zola_Nana_4	Zola_Nana_5	Zola_Nana_6	Zola_Nana_7	Zola_Nana_8	Zola_Nana_9	Zola_Nana_10	Zola_Nana_11	Zola_Nana_12	Zola_Nana_13	Zola_Nana_14	Zola_Nana_15	Zola_Nana_16	Zola_Nana_17	Zola_Nana_18	Zola_Nana_19	Zola_Nana_20	Zola_Nana_21	Zola_Nana_22	Zola_Nana_23	Zola_Nana_24	Zola_Nana_25	Zola_Nana_26	Zola_Nana_27	Zola_Nana_28	Zola_Nana_29	Zola_Nana_30	Zola_Nana_31	Zola_Nana_32	Zola_Nana_33	Zola_Nana_34	Zola_Nana_35	Zola_Nana_36	Zola_Nana_37	Zola_Nana_38	Zola_Nana_sum
des_PRP:det_du	53.0	56.0	48.0	30.0	48.0	23.0	39.0	53.0	40.0	46.0	54.0	43.0	70.0	33.0	36.0	53.0	72.0	28.0	32.0	50.0	69.0	71.0	41.0	31.0	45.0	59.0	49.0	43.0	94.0	46.0	55.0	35.0	57.0	46.0	28.0	65.0	53.0	59.0	26.0	1879.0
!_SENT_!	59.0	37.0	24.0	49.0	37.0	44.0	37.0	39.0	44.0	59.0	49.0	44.0	17.0	80.0	33.0	35.0	32.0	47.0	34.0	63.0	40.0	23.0	60.0	70.0	62.0	23.0	49.0	45.0	59.0	57.0	88.0	41.0	51.0	30.0	68.0	36.0	59.0	86.0	64.0	1874.0
--_PUN_--	47.0	30.0	38.0	60.0	54.0	57.0	64.0	37.0	47.0	38.0	46.0	47.0	23.0	39.0	27.0	32.0	38.0	45.0	24.0	28.0	29.0	21.0	47.0	53.0	54.0	34.0	41.0	37.0	37.0	43.0	33.0	44.0	48.0	19.0	46.0	13.0	23.0	40.0	42.0	1525.0
se_PRO:PER_se	36.0	42.0	34.0	31.0	34.0	26.0	33.0	49.0	56.0	32.0	44.0	42.0	38.0	37.0	42.0	40.0	41.0	55.0	51.0	48.0	44.0	39.0	41.0	37.0	33.0	39.0	38.0	39.0	38.0	32.0	28.0	35.0	43.0	40.0	48.0	41.0	41.0	31.0	19.0	1517.0
l'_DET:ART_le	41.0	39.0	35.0	29.0	34.0	15.0	37.0	24.0	20.0	26.0	40.0	34.0	36.0	30.0	23.0	27.0	38.0	31.0	25.0	26.0	34.0	28.0	37.0	37.0	38.0	42.0	23.0	42.0	46.0	32.0	47.0	38.0	36.0	45.0	36.0	48.0	36.0	26.0	30.0	1311.0
dans_PRP_dans	21.0	38.0	30.0	30.0	29.0	30.0	27.0	17.0	20.0	38.0	33.0	38.0	39.0	28.0	38.0	26.0	39.0	32.0	37.0	24.0	35.0	34.0	35.0	26.0	34.0	27.0	32.0	38.0	35.0	33.0	34.0	37.0	23.0	32.0	30.0	27.0	44.0	30.0	19.0	1219.0
était_VER:impf_être	18.0	30.0	24.0	42.0	31.0	28.0	24.0	31.0	35.0	26.0	22.0	20.0	35.0	32.0	34.0	25.0	38.0	34.0	30.0	31.0	32.0	30.0	27.0	17.0	22.0	28.0	30.0	30.0	26.0	29.0	23.0	36.0	26.0	32.0	46.0	28.0	33.0	29.0	21.0	1135.0
s'_PRO:PER_se	30.0	29.0	31.0	30.0	21.0	39.0	39.0	32.0	31.0	41.0	37.0	20.0	27.0	35.0	20.0	35.0	32.0	28.0	32.0	23.0	24.0	29.0	26.0	32.0	30.0	22.0	20.0	31.0	33.0	32.0	28.0	25.0	22.0	27.0	32.0	25.0	28.0	22.0	23.0	1123.0
;_PUN_;	19.0	29.0	30.0	30.0	33.0	28.0	21.0	45.0	37.0	33.0	27.0	14.0	30.0	28.0	29.0	33.0	25.0	16.0	18.0	31.0	33.0	32.0	19.0	24.0	23.0	31.0	36.0	28.0	38.0	32.0	26.0	27.0	16.0	38.0	25.0	39.0	33.0	36.0	24.0	1116.0
qui_PRO:REL_qui	39.0	31.0	31.0	26.0	33.0	41.0	22.0	30.0	31.0	31.0	37.0	27.0	33.0	23.0	30.0	30.0	26.0	24.0	19.0	26.0	31.0	35.0	29.0	23.0	24.0	29.0	28.0	24.0	32.0	28.0	33.0	23.0	27.0	29.0	25.0	29.0	27.0	28.0	18.0	1112.0
en_PRP_en	37.0	35.0	22.0	27.0	23.0	27.0	27.0	23.0	19.0	34.0	30.0	43.0	41.0	32.0	29.0	31.0	31.0	29.0	24.0	33.0	32.0	30.0	22.0	22.0	24.0	39.0	21.0	25.0	34.0	31.0	23.0	19.0	21.0	27.0	21.0	28.0	32.0	32.0	21.0	1101.0
pas_ADV_pas	21.0	19.0	22.0	41.0	22.0	24.0	34.0	31.0	35.0	25.0	17.0	20.0	15.0	37.0	22.0	29.0	23.0	38.0	34.0	23.0	33.0	36.0	42.0	39.0	36.0	27.0	31.0	33.0	25.0	25.0	18.0	33.0	20.0	16.0	44.0	26.0	15.0	34.0	25.0	1090.0
ne_ADV_ne	23.0	20.0	21.0	30.0	30.0	23.0	29.0	28.0	34.0	32.0	20.0	25.0	8.0	32.0	24.0	35.0	27.0	35.0	38.0	37.0	34.0	32.0	28.0	25.0	28.0	36.0	22.0	21.0	23.0	26.0	21.0	40.0	21.0	29.0	31.0	40.0	28.0	26.0	21.0	1083.0
avait_VER:impf_avoir	21.0	20.0	33.0	30.0	30.0	31.0	34.0	35.0	21.0	25.0	24.0	21.0	34.0	34.0	31.0	20.0	25.0	20.0	28.0	30.0	30.0	40.0	15.0	26.0	19.0	23.0	28.0	25.0	27.0	20.0	27.0	31.0	21.0	29.0	26.0	34.0	26.0	27.0	10.0	1031.0
..._PUN_...	19.0	14.0	17.0	21.0	18.0	36.0	27.0	23.0	26.0	22.0	20.0	17.0	9.0	29.0	13.0	21.0	8.0	39.0	16.0	21.0	16.0	17.0	35.0	44.0	31.0	21.0	25.0	31.0	28.0	36.0	45.0	32.0	34.0	17.0	53.0	21.0	29.0	52.0	38.0	1021.0
son_DET:POS_son	21.0	15.0	25.0	17.0	29.0	30.0	27.0	31.0	27.0	23.0	18.0	41.0	17.0	19.0	25.0	19.0	22.0	25.0	23.0	19.0	13.0	18.0	17.0	17.0	19.0	31.0	18.0	30.0	19.0	24.0	29.0	29.0	28.0	31.0	26.0	42.0	34.0	22.0	14.0	934.0
