	Mirbeau_AbbeJules_0	Mirbeau_AbbeJules_1	Mirbeau_AbbeJules_2	Mirbeau_AbbeJules_3	Mirbeau_AbbeJules_4	Mirbeau_AbbeJules_5	Mirbeau_AbbeJules_6	Mirbeau_AbbeJules_7	Mirbeau_AbbeJules_8	Mirbeau_AbbeJules_9	Mirbeau_AbbeJules_10	Mirbeau_AbbeJules_11	Mirbeau_AbbeJules_12	Mirbeau_AbbeJules_13	Mirbeau_AbbeJules_14	Mirbeau_AbbeJules_15	Mirbeau_AbbeJules_16	Mirbeau_AbbeJules_17	Mirbeau_AbbeJules_18	Mirbeau_AbbeJules_19	Mirbeau_AbbeJules_sum
sur_PRP_sur	15.0	27.0	9.0	16.0	16.0	22.0	25.0	24.0	19.0	12.0	14.0	18.0	21.0	21.0	21.0	12.0	27.0	26.0	21.0	25.0	391.0
:_PUN_:	27.0	13.0	13.0	12.0	13.0	18.0	9.0	22.0	14.0	15.0	23.0	27.0	31.0	14.0	27.0	26.0	18.0	21.0	22.0	19.0	384.0
;_PUN_;	15.0	23.0	9.0	19.0	26.0	19.0	22.0	29.0	24.0	22.0	20.0	11.0	12.0	19.0	20.0	17.0	23.0	15.0	14.0	22.0	381.0
n'_ADV_ne	21.0	20.0	18.0	15.0	13.0	15.0	11.0	19.0	22.0	24.0	17.0	17.0	27.0	33.0	23.0	12.0	20.0	19.0	19.0	13.0	378.0
du_PRP:det_du	10.0	20.0	15.0	25.0	19.0	19.0	28.0	15.0	21.0	21.0	34.0	22.0	10.0	11.0	15.0	13.0	16.0	26.0	21.0	16.0	377.0
ses_DET:POS_son	16.0	10.0	28.0	19.0	25.0	37.0	27.0	19.0	11.0	28.0	14.0	19.0	11.0	10.0	15.0	8.0	38.0	8.0	26.0	8.0	377.0
mon_DET:POS_mon	33.0	13.0	14.0	11.0	11.0	5.0	1.0	8.0	9.0	6.0	1.0	20.0	33.0	20.0	6.0	35.0	36.0	34.0	44.0	36.0	376.0
sa_DET:POS_son	21.0	17.0	26.0	20.0	17.0	21.0	25.0	23.0	14.0	19.0	17.0	20.0	17.0	17.0	19.0	9.0	19.0	20.0	16.0	15.0	372.0
était_VER:impf_être	15.0	13.0	18.0	19.0	18.0	15.0	17.0	14.0	19.0	18.0	16.0	17.0	20.0	27.0	19.0	10.0	12.0	12.0	12.0	19.0	330.0
Il_PRO:PER_il	14.0	12.0	12.0	20.0	13.0	23.0	18.0	17.0	9.0	26.0	22.0	17.0	16.0	14.0	12.0	20.0	20.0	14.0	21.0	8.0	328.0
avait_VER:impf_avoir	23.0	9.0	13.0	15.0	21.0	18.0	14.0	21.0	13.0	26.0	11.0	15.0	22.0	31.0	17.0	10.0	4.0	10.0	15.0	13.0	321.0
ce_PRO:DEM_ce	10.0	14.0	23.0	8.0	21.0	19.0	12.0	13.0	16.0	12.0	16.0	20.0	19.0	13.0	16.0	12.0	15.0	10.0	18.0	25.0	312.0
me_PRO:PER_me	27.0	29.0	12.0	8.0	12.0	16.0	1.0	6.0	12.0	1.0	3.0	14.0	20.0	16.0	28.0	17.0	24.0	13.0	33.0	15.0	307.0
qu'_PRO:REL_que	18.0	14.0	20.0	15.0	15.0	20.0	19.0	17.0	20.0	12.0	24.0	15.0	10.0	16.0	16.0	10.0	14.0	9.0	8.0	10.0	302.0
au_PRP:det_au	14.0	15.0	12.0	23.0	9.0	23.0	22.0	19.0	17.0	20.0	22.0	5.0	16.0	8.0	14.0	13.0	10.0	16.0	10.0	12.0	300.0
avec_PRP_avec	12.0	17.0	11.0	19.0	18.0	16.0	13.0	15.0	9.0	20.0	14.0	14.0	21.0	24.0	13.0	14.0	12.0	11.0	10.0	10.0	293.0
qu'_KON_que	23.0	26.0	17.0	15.0	13.0	8.0	14.0	15.0	13.0	8.0	14.0	16.0	13.0	21.0	16.0	10.0	10.0	8.0	19.0	9.0	288.0
par_PRP_par	11.0	17.0	14.0	14.0	18.0	7.0	22.0	21.0	14.0	15.0	14.0	14.0	12.0	17.0	11.0	8.0	14.0	11.0	13.0	11.0	278.0
vous_PRO:PER_vous	0.0	9.0	18.0	28.0	28.0	23.0	1.0	21.0	34.0	27.0	19.0	3.0	12.0	1.0	9.0	4.0	7.0	8.0	18.0	6.0	276.0
Je_PRO:PER_je	6.0	5.0	11.0	9.0	18.0	15.0	5.0	17.0	16.0	5.0	9.0	18.0	10.0	6.0	9.0	25.0	27.0	19.0	25.0	13.0	268.0
abbé_NOM_abbé	18.0	3.0	11.0	16.0	13.0	18.0	4.0	15.0	20.0	11.0	12.0	8.0	21.0	18.0	8.0	8.0	8.0	14.0	7.0	5.0	238.0
l'_PRO:PER_la|le	8.0	8.0	12.0	7.0	15.0	14.0	5.0	9.0	10.0	14.0	12.0	12.0	7.0	7.0	13.0	15.0	13.0	15.0	14.0	9.0	219.0
pour_PRP_pour	16.0	8.0	15.0	16.0	15.0	10.0	9.0	7.0	10.0	12.0	11.0	15.0	9.0	9.0	12.0	7.0	7.0	8.0	8.0	8.0	212.0
en_PRO:PER_en	13.0	11.0	8.0	9.0	14.0	9.0	11.0	11.0	10.0	12.0	10.0	7.0	10.0	12.0	14.0	16.0	13.0	4.0	7.0	7.0	208.0
bien_ADV_bien	26.0	5.0	18.0	6.0	9.0	4.0	7.0	12.0	14.0	6.0	13.0	9.0	14.0	11.0	15.0	11.0	5.0	10.0	5.0	7.0	207.0
le_PRO:PER_le	7.0	5.0	21.0	8.0	14.0	7.0	10.0	17.0	13.0	14.0	11.0	7.0	7.0	11.0	9.0	8.0	5.0	4.0	14.0	8.0	200.0
on_PRO:PER_on	10.0	21.0	19.0	6.0	8.0	8.0	2.0	12.0	20.0	8.0	14.0	9.0	3.0	9.0	12.0	10.0	4.0	6.0	8.0	5.0	194.0
nous_PRO:PER_nous	12.0	25.0	10.0	4.0	3.0	0.0	1.0	6.0	8.0	11.0	4.0	11.0	24.0	5.0	14.0	15.0	10.0	13.0	5.0	11.0	192.0
tout_ADV_tout	10.0	10.0	13.0	7.0	14.0	8.0	11.0	5.0	12.0	12.0	7.0	13.0	9.0	8.0	4.0	12.0	9.0	7.0	6.0	10.0	187.0
m'_PRO:PER_me	24.0	12.0	3.0	0.0	10.0	3.0	1.0	5.0	7.0	1.0	6.0	12.0	11.0	10.0	10.0	19.0	12.0	7.0	21.0	10.0	184.0
que_PRO:REL_que	9.0	3.0	7.0	8.0	7.0	4.0	9.0	10.0	9.0	7.0	7.0	9.0	15.0	8.0	10.0	15.0	9.0	12.0	14.0	11.0	183.0
c'_PRO:DEM_ce	10.0	8.0	16.0	5.0	4.0	9.0	1.0	11.0	9.0	13.0	13.0	12.0	13.0	6.0	9.0	5.0	11.0	10.0	8.0	8.0	181.0
Jules_NAM_jules	16.0	4.0	23.0	10.0	16.0	7.0	2.0	5.0	10.0	17.0	18.0	16.0	13.0	2.0	6.0	4.0	2.0	5.0	1.0	4.0	181.0
aux_PRP:det_au	6.0	12.0	9.0	13.0	10.0	6.0	13.0	10.0	6.0	11.0	10.0	10.0	7.0	14.0	6.0	9.0	4.0	12.0	5.0	4.0	177.0
elle_PRO:PER_elle	15.0	14.0	27.0	8.0	7.0	12.0	7.0	0.0	1.0	3.0	2.0	11.0	6.0	20.0	9.0	6.0	9.0	5.0	11.0	4.0	177.0
ma_DET:POS_mon	16.0	10.0	11.0	3.0	0.0	2.0	1.0	1.0	2.0	0.0	4.0	17.0	14.0	12.0	20.0	7.0	8.0	10.0	19.0	18.0	175.0
cette_PRO:DEM_ce	9.0	2.0	10.0	7.0	11.0	11.0	13.0	4.0	5.0	5.0	12.0	9.0	10.0	11.0	8.0	6.0	7.0	8.0	14.0	9.0	171.0
oncle_NOM_oncle	12.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	13.0	16.0	3.0	22.0	37.0	27.0	20.0	12.0	168.0
très_ADV_très	8.0	7.0	11.0	8.0	5.0	4.0	8.0	12.0	6.0	7.0	7.0	13.0	17.0	8.0	9.0	3.0	4.0	6.0	6.0	13.0	162.0
sans_PRP_sans	9.0	8.0	7.0	7.0	5.0	13.0	8.0	8.0	7.0	2.0	9.0	8.0	6.0	8.0	8.0	10.0	4.0	16.0	9.0	7.0	159.0
y_PRO:PER_y	7.0	4.0	4.0	7.0	7.0	4.0	11.0	12.0	10.0	12.0	9.0	12.0	4.0	21.0	7.0	10.0	2.0	2.0	8.0	4.0	157.0
j'_PRO:PER_je	10.0	5.0	4.0	18.0	7.0	4.0	1.0	3.0	6.0	1.0	4.0	8.0	6.0	8.0	15.0	14.0	10.0	7.0	12.0	10.0	153.0
où_PRO:REL_où	11.0	3.0	4.0	7.0	11.0	6.0	8.0	11.0	5.0	10.0	8.0	12.0	10.0	6.0	7.0	3.0	7.0	7.0	8.0	9.0	153.0
ai_VER:pres_avoir	5.0	2.0	10.0	19.0	5.0	6.0	0.0	4.0	6.0	5.0	8.0	12.0	6.0	0.0	11.0	4.0	11.0	8.0	22.0	5.0	149.0
père_NOM_père	26.0	7.0	12.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	23.0	9.0	8.0	10.0	5.0	10.0	7.0	16.0	149.0
mère_NOM_mère	11.0	9.0	13.0	3.0	0.0	3.0	1.0	0.0	0.0	0.0	1.0	14.0	14.0	16.0	23.0	8.0	1.0	6.0	17.0	8.0	148.0
Le_DET:ART_le	3.0	4.0	5.0	2.0	1.0	3.0	5.0	14.0	7.0	7.0	9.0	5.0	9.0	6.0	10.0	5.0	6.0	13.0	9.0	19.0	142.0
comme_KON_comme	14.0	8.0	9.0	4.0	6.0	7.0	12.0	7.0	5.0	4.0	4.0	3.0	9.0	15.0	5.0	8.0	6.0	4.0	6.0	3.0	139.0
a_VER:pres_avoir	15.0	5.0	7.0	2.0	7.0	2.0	4.0	6.0	7.0	4.0	7.0	6.0	6.0	6.0	10.0	11.0	18.0	5.0	5.0	1.0	134.0
«_PUN:cit_«	12.0	12.0	4.0	6.0	3.0	5.0	6.0	6.0	5.0	4.0	16.0	10.0	5.0	2.0	13.0	6.0	11.0	0.0	2.0	4.0	132.0
»_PUN:cit_»	12.0	12.0	4.0	6.0	3.0	5.0	6.0	6.0	5.0	3.0	14.0	9.0	5.0	2.0	13.0	6.0	10.0	0.0	2.0	4.0	127.0
ces_PRO:DEM_ce	10.0	2.0	4.0	5.0	8.0	6.0	11.0	6.0	9.0	10.0	12.0	3.0	4.0	6.0	5.0	6.0	6.0	2.0	4.0	7.0	126.0
tu_PRO:PER_tu	12.0	1.0	0.0	0.0	0.0	0.0	0.0	6.0	1.0	0.0	4.0	14.0	18.0	7.0	10.0	23.0	7.0	4.0	17.0	0.0	124.0
moi_PRO:PER_moi	5.0	9.0	5.0	1.0	6.0	5.0	1.0	3.0	4.0	8.0	2.0	8.0	7.0	5.0	8.0	11.0	7.0	8.0	12.0	8.0	123.0
dont_PRO:REL_dont	4.0	12.0	4.0	7.0	3.0	3.0	6.0	4.0	11.0	6.0	7.0	7.0	8.0	5.0	8.0	5.0	7.0	3.0	5.0	4.0	119.0
C'_PRO:DEM_ce	4.0	6.0	5.0	4.0	4.0	4.0	1.0	5.0	4.0	9.0	4.0	11.0	4.0	13.0	5.0	4.0	11.0	7.0	4.0	10.0	119.0
si_ADV_si	9.0	4.0	11.0	5.0	8.0	2.0	6.0	4.0	6.0	10.0	7.0	11.0	7.0	8.0	9.0	4.0	0.0	4.0	1.0	1.0	117.0
encore_ADV_encore	4.0	1.0	9.0	7.0	9.0	1.0	6.0	7.0	9.0	7.0	5.0	10.0	1.0	3.0	5.0	3.0	13.0	4.0	6.0	3.0	113.0
Mais_KON_mais	6.0	8.0	10.0	4.0	7.0	10.0	5.0	5.0	5.0	6.0	8.0	3.0	9.0	6.0	5.0	4.0	6.0	2.0	2.0	1.0	112.0
sous_PRP_sous	1.0	6.0	6.0	8.0	6.0	5.0	10.0	5.0	7.0	4.0	3.0	1.0	5.0	4.0	7.0	6.0	7.0	5.0	9.0	6.0	111.0
L'_DET:ART_le	2.0	2.0	6.0	4.0	6.0	8.0	6.0	3.0	10.0	12.0	11.0	2.0	8.0	7.0	3.0	6.0	1.0	5.0	3.0	4.0	109.0
comme_ADV_comme	7.0	7.0	5.0	6.0	6.0	4.0	3.0	5.0	2.0	4.0	5.0	5.0	11.0	7.0	7.0	3.0	8.0	1.0	6.0	5.0	107.0
Dieu_NOM_dieu	2.0	3.0	6.0	9.0	7.0	2.0	2.0	3.0	7.0	4.0	4.0	6.0	1.0	2.0	10.0	7.0	8.0	8.0	11.0	3.0	105.0
rien_ADV_rien	9.0	3.0	4.0	6.0	7.0	6.0	5.0	7.0	11.0	4.0	3.0	3.0	6.0	3.0	5.0	7.0	3.0	4.0	6.0	2.0	104.0
cela_PRO:DEM_cela	6.0	4.0	6.0	4.0	7.0	3.0	8.0	1.0	7.0	7.0	7.0	3.0	5.0	4.0	5.0	6.0	6.0	6.0	5.0	2.0	102.0
curé_NOM_curé	7.0	2.0	12.0	6.0	8.0	2.0	1.0	0.0	0.0	1.0	7.0	9.0	9.0	3.0	0.0	3.0	5.0	6.0	15.0	4.0	100.0
yeux_NOM_œil	4.0	3.0	3.0	1.0	6.0	3.0	2.0	5.0	8.0	5.0	3.0	3.0	10.0	5.0	6.0	3.0	12.0	5.0	6.0	6.0	99.0
peu_ADV_peu	6.0	5.0	4.0	1.0	6.0	4.0	9.0	2.0	13.0	5.0	9.0	4.0	5.0	4.0	2.0	5.0	3.0	3.0	5.0	4.0	99.0
voix_NOM_voix	3.0	6.0	3.0	6.0	4.0	5.0	1.0	4.0	11.0	7.0	4.0	2.0	7.0	1.0	6.0	5.0	2.0	6.0	7.0	8.0	98.0
aussi_ADV_aussi	10.0	4.0	5.0	5.0	3.0	5.0	2.0	3.0	3.0	7.0	3.0	4.0	3.0	14.0	4.0	4.0	3.0	4.0	6.0	5.0	97.0
