	Stolz_DessusHaie_0	Stolz_DessusHaie_1	Stolz_DessusHaie_2	Stolz_DessusHaie_3	Stolz_DessusHaie_4	Stolz_DessusHaie_5	Stolz_DessusHaie_6	Stolz_DessusHaie_7	Stolz_DessusHaie_8	Stolz_DessusHaie_9	Stolz_DessusHaie_10	Stolz_DessusHaie_11	Stolz_DessusHaie_12	Stolz_DessusHaie_13	Stolz_DessusHaie_sum
,_PUN_,	337.0	350.0	344.0	335.0	332.0	330.0	360.0	355.0	322.0	362.0	348.0	414.0	347.0	232.0	4768.0
<EOS>_<EOS>_<EOS>	251.0	204.0	196.0	196.0	225.0	218.0	273.0	217.0	257.0	242.0	217.0	172.0	195.0	122.0	2985.0
._SENT_.	176.0	165.0	173.0	158.0	185.0	158.0	170.0	157.0	184.0	187.0	166.0	148.0	178.0	99.0	2304.0
de_PRP_de	157.0	143.0	180.0	158.0	167.0	158.0	114.0	147.0	145.0	151.0	139.0	151.0	174.0	103.0	2087.0
la_DET:ART_le	91.0	95.0	116.0	107.0	94.0	80.0	87.0	95.0	74.0	94.0	87.0	94.0	97.0	48.0	1259.0
et_KON_et	93.0	75.0	114.0	89.0	78.0	76.0	60.0	96.0	77.0	87.0	90.0	95.0	77.0	76.0	1183.0
à_PRP_à	54.0	60.0	78.0	88.0	78.0	71.0	52.0	71.0	58.0	46.0	75.0	83.0	80.0	62.0	956.0
le_DET:ART_le	68.0	45.0	76.0	67.0	53.0	85.0	58.0	62.0	63.0	59.0	77.0	65.0	62.0	31.0	871.0
l'_DET:ART_le	40.0	58.0	61.0	44.0	51.0	51.0	41.0	70.0	64.0	46.0	59.0	52.0	57.0	30.0	724.0
il_PRO:PER_il	41.0	50.0	40.0	43.0	51.0	43.0	57.0	70.0	66.0	56.0	58.0	76.0	54.0	19.0	724.0
;_PUN_;	47.0	59.0	39.0	43.0	39.0	47.0	43.0	41.0	53.0	43.0	46.0	39.0	47.0	17.0	603.0
que_KON_que	39.0	51.0	44.0	47.0	36.0	50.0	40.0	44.0	50.0	41.0	26.0	44.0	57.0	22.0	591.0
un_DET:ART_un	47.0	47.0	52.0	48.0	52.0	49.0	30.0	34.0	45.0	42.0	48.0	33.0	37.0	24.0	588.0
ne_ADV_ne	41.0	54.0	42.0	36.0	51.0	48.0	31.0	49.0	37.0	46.0	38.0	39.0	39.0	31.0	582.0
les_DET:ART_le	32.0	33.0	35.0	49.0	32.0	50.0	51.0	50.0	35.0	36.0	39.0	39.0	49.0	21.0	551.0
elle_PRO:PER_elle	34.0	52.0	36.0	39.0	39.0	23.0	11.0	33.0	52.0	46.0	44.0	46.0	54.0	28.0	537.0
d'_PRP_de	39.0	33.0	45.0	45.0	43.0	47.0	29.0	41.0	34.0	30.0	34.0	43.0	39.0	25.0	527.0
était_VER:impf_être	31.0	22.0	37.0	37.0	39.0	40.0	20.0	44.0	54.0	30.0	33.0	50.0	30.0	23.0	490.0
qui_PRO:REL_qui	38.0	30.0	35.0	31.0	49.0	42.0	36.0	33.0	28.0	37.0	38.0	34.0	31.0	19.0	481.0
se_PRO:PER_se	35.0	26.0	37.0	33.0	42.0	29.0	27.0	37.0	37.0	38.0	40.0	42.0	28.0	26.0	477.0
!_SENT_!	48.0	29.0	16.0	21.0	30.0	39.0	65.0	43.0	52.0	27.0	45.0	18.0	17.0	15.0	465.0
avait_VER:impf_avoir	22.0	25.0	27.0	31.0	53.0	17.0	18.0	48.0	41.0	37.0	23.0	52.0	35.0	33.0	462.0
pas_ADV_pas	28.0	40.0	32.0	31.0	42.0	28.0	36.0	38.0	36.0	35.0	27.0	33.0	25.0	20.0	451.0
une_DET:ART_un	43.0	23.0	39.0	50.0	41.0	39.0	22.0	24.0	29.0	19.0	28.0	31.0	41.0	21.0	450.0
lui_PRO:PER_lui	28.0	27.0	37.0	45.0	32.0	28.0	12.0	37.0	39.0	39.0	24.0	46.0	32.0	16.0	442.0
est_VER:pres_être	43.0	61.0	16.0	27.0	37.0	34.0	48.0	30.0	34.0	30.0	36.0	13.0	23.0	8.0	440.0
on_PRO:PER_on	35.0	32.0	39.0	28.0	19.0	40.0	50.0	30.0	32.0	15.0	18.0	22.0	35.0	32.0	427.0
du_PRP:det_du	31.0	35.0	33.0	31.0	20.0	26.0	24.0	31.0	30.0	22.0	34.0	43.0	33.0	12.0	405.0
ce_PRO:DEM_ce	26.0	22.0	17.0	34.0	39.0	32.0	29.0	19.0	33.0	29.0	34.0	34.0	30.0	24.0	402.0
son_DET:POS_son	26.0	28.0	36.0	24.0	30.0	20.0	12.0	41.0	26.0	34.0	24.0	41.0	34.0	20.0	396.0
--_PUN_--	45.0	11.0	20.0	21.0	40.0	10.0	72.0	26.0	45.0	48.0	34.0	8.0	7.0	6.0	393.0
sa_DET:POS_son	33.0	25.0	26.0	32.0	26.0	23.0	19.0	36.0	30.0	29.0	21.0	43.0	27.0	17.0	387.0
des_PRP:det_du	28.0	34.0	31.0	18.0	34.0	30.0	34.0	32.0	28.0	17.0	22.0	29.0	30.0	14.0	381.0
en_PRP_en	30.0	26.0	33.0	33.0	22.0	28.0	29.0	31.0	21.0	27.0	23.0	25.0	31.0	17.0	376.0
dans_PRP_dans	23.0	30.0	26.0	19.0	28.0	22.0	27.0	36.0	20.0	20.0	29.0	32.0	37.0	20.0	369.0
s'_PRO:PER_se	14.0	19.0	32.0	33.0	19.0	29.0	22.0	19.0	28.0	28.0	33.0	26.0	32.0	20.0	354.0
n'_ADV_ne	25.0	28.0	22.0	22.0	29.0	22.0	30.0	23.0	26.0	20.0	22.0	35.0	21.0	10.0	335.0
«_PUN:cit_«	17.0	39.0	17.0	19.0	15.0	36.0	50.0	8.0	14.0	29.0	42.0	7.0	21.0	17.0	331.0
qu'_PRO:REL_que	21.0	16.0	21.0	25.0	22.0	18.0	23.0	19.0	28.0	23.0	31.0	34.0	27.0	18.0	326.0
qu'_KON_que	25.0	33.0	13.0	23.0	22.0	24.0	17.0	24.0	32.0	16.0	15.0	26.0	28.0	8.0	306.0
pour_PRP_pour	18.0	31.0	26.0	26.0	28.0	24.0	16.0	23.0	18.0	15.0	26.0	21.0	20.0	14.0	306.0
?_SENT_?	31.0	11.0	16.0	18.0	18.0	19.0	39.0	24.0	29.0	35.0	21.0	10.0	11.0	14.0	296.0
plus_ADV_plus	20.0	25.0	11.0	17.0	17.0	24.0	23.0	22.0	18.0	20.0	16.0	25.0	30.0	15.0	283.0
au_PRP:det_au	16.0	26.0	12.0	26.0	12.0	19.0	14.0	20.0	19.0	21.0	18.0	26.0	19.0	7.0	255.0
bien_ADV_bien	20.0	27.0	18.0	19.0	22.0	25.0	22.0	17.0	13.0	10.0	18.0	18.0	8.0	9.0	246.0
en_PRO:PER_en	16.0	20.0	18.0	8.0	12.0	25.0	33.0	14.0	17.0	19.0	17.0	14.0	11.0	8.0	232.0
a_VER:pres_avoir	16.0	49.0	5.0	5.0	19.0	22.0	26.0	4.0	11.0	15.0	29.0	5.0	14.0	8.0	228.0
l'_PRO:PER_la|le	16.0	21.0	18.0	11.0	19.0	15.0	18.0	12.0	20.0	20.0	14.0	14.0	15.0	15.0	228.0
par_PRP_par	15.0	12.0	26.0	17.0	16.0	18.0	16.0	12.0	17.0	11.0	17.0	23.0	17.0	7.0	224.0
ses_DET:POS_son	15.0	12.0	19.0	13.0	12.0	16.0	9.0	28.0	15.0	19.0	13.0	22.0	18.0	8.0	219.0
mais_KON_mais	15.0	22.0	10.0	18.0	10.0	17.0	22.0	20.0	17.0	15.0	14.0	18.0	10.0	9.0	217.0
je_PRO:PER_je	18.0	25.0	10.0	14.0	22.0	25.0	25.0	12.0	14.0	21.0	11.0	3.0	5.0	8.0	213.0
c'_PRO:DEM_ce	14.0	20.0	6.0	19.0	14.0	20.0	18.0	17.0	28.0	7.0	9.0	8.0	16.0	7.0	203.0
Il_PRO:PER_il	17.0	9.0	9.0	10.0	16.0	17.0	14.0	16.0	19.0	14.0	17.0	18.0	18.0	5.0	199.0
Mme_NOM_madame	9.0	3.0	27.0	10.0	15.0	9.0	2.0	8.0	28.0	24.0	3.0	22.0	20.0	11.0	191.0
»_PUN:cit_»	16.0	12.0	17.0	18.0	12.0	14.0	20.0	7.0	13.0	18.0	17.0	8.0	9.0	7.0	188.0
tout_ADV_tout	11.0	16.0	11.0	20.0	11.0	10.0	10.0	14.0	11.0	6.0	21.0	11.0	13.0	12.0	177.0
sur_PRP_sur	6.0	12.0	19.0	22.0	11.0	13.0	12.0	11.0	12.0	19.0	13.0	6.0	11.0	8.0	175.0
..._PUN_...	9.0	8.0	13.0	5.0	23.0	11.0	24.0	10.0	13.0	18.0	17.0	2.0	8.0	6.0	167.0
y_PRO:PER_y	9.0	19.0	7.0	11.0	12.0	11.0	25.0	11.0	22.0	9.0	11.0	8.0	7.0	5.0	167.0
cette_PRO:DEM_ce	10.0	9.0	11.0	14.0	21.0	10.0	4.0	7.0	12.0	14.0	11.0	14.0	15.0	11.0	163.0
:_PUN_:	17.0	11.0	10.0	10.0	10.0	17.0	11.0	8.0	11.0	16.0	14.0	9.0	6.0	8.0	158.0
le_PRO:PER_le	8.0	16.0	10.0	8.0	14.0	11.0	7.0	18.0	17.0	8.0	6.0	13.0	10.0	3.0	149.0
vous_PRO:PER_vous	17.0	2.0	16.0	11.0	14.0	6.0	17.0	17.0	11.0	15.0	12.0	1.0	5.0	4.0	148.0
Le_DET:ART_le	11.0	8.0	14.0	11.0	9.0	7.0	11.0	10.0	16.0	11.0	14.0	13.0	10.0	3.0	148.0
avec_PRP_avec	10.0	12.0	11.0	10.0	11.0	10.0	7.0	9.0	9.0	8.0	7.0	17.0	12.0	6.0	139.0
faire_VER:infi_faire	14.0	11.0	12.0	12.0	7.0	14.0	7.0	8.0	15.0	3.0	11.0	8.0	8.0	7.0	137.0
nous_PRO:PER_nous	24.0	10.0	3.0	11.0	3.0	15.0	15.0	3.0	5.0	21.0	10.0	1.0	8.0	4.0	133.0
que_PRO:REL_que	8.0	7.0	7.0	13.0	5.0	13.0	12.0	8.0	7.0	11.0	11.0	9.0	7.0	7.0	125.0
si_ADV_si	11.0	12.0	8.0	12.0	5.0	13.0	4.0	2.0	9.0	8.0	6.0	7.0	17.0	8.0	122.0
La_DET:ART_le	14.0	10.0	9.0	10.0	11.0	8.0	1.0	6.0	13.0	6.0	4.0	8.0	11.0	5.0	116.0
comme_KON_comme	7.0	10.0	9.0	8.0	0.0	8.0	10.0	11.0	11.0	8.0	20.0	4.0	6.0	3.0	115.0
aux_PRP:det_au	5.0	13.0	3.0	10.0	5.0	13.0	6.0	6.0	4.0	5.0	9.0	16.0	12.0	7.0	114.0
sans_PRP_sans	9.0	7.0	5.0	13.0	10.0	6.0	4.0	16.0	10.0	5.0	9.0	8.0	7.0	4.0	113.0
la_PRO:PER_la	11.0	12.0	8.0	10.0	6.0	8.0	6.0	5.0	9.0	7.0	4.0	11.0	9.0	5.0	111.0
ces_PRO:DEM_ce	9.0	3.0	8.0	10.0	11.0	3.0	8.0	9.0	7.0	11.0	9.0	12.0	6.0	0.0	106.0
tout_PRO:IND_tout	3.0	12.0	4.0	9.0	11.0	11.0	7.0	7.0	10.0	5.0	8.0	6.0	9.0	2.0	104.0
colonel_NOM_colonel	10.0	4.0	2.0	13.0	2.0	12.0	4.0	5.0	13.0	7.0	1.0	18.0	8.0	4.0	103.0
Elle_PRO:PER_elle	6.0	9.0	13.0	7.0	4.0	7.0	2.0	8.0	5.0	11.0	7.0	9.0	10.0	4.0	102.0
deux_NUM_deux	4.0	9.0	12.0	8.0	6.0	11.0	9.0	4.0	4.0	7.0	8.0	11.0	6.0	2.0	101.0
mère_NOM_mère	3.0	2.0	25.0	5.0	16.0	4.0	1.0	10.0	5.0	12.0	1.0	10.0	5.0	1.0	100.0
jeune_ADJ_jeune	2.0	4.0	11.0	5.0	11.0	2.0	2.0	2.0	17.0	10.0	0.0	17.0	7.0	4.0	94.0
Sévère_NAM_sévère	0.0	0.0	12.0	0.0	9.0	0.0	0.0	3.0	9.0	11.0	3.0	19.0	21.0	7.0	94.0
homme_NOM_homme	6.0	2.0	17.0	4.0	11.0	3.0	1.0	8.0	10.0	13.0	9.0	4.0	4.0	2.0	94.0
car_KON_car	9.0	10.0	6.0	8.0	4.0	4.0	5.0	9.0	7.0	7.0	5.0	7.0	8.0	3.0	92.0
muette_NOM_muet|muette	6.0	12.0	10.0	3.0	5.0	4.0	1.0	9.0	11.0	6.0	7.0	7.0	7.0	4.0	92.0
ma_DET:POS_mon	6.0	9.0	3.0	11.0	9.0	13.0	9.0	1.0	0.0	17.0	9.0	1.0	1.0	2.0	91.0
fille_NOM_fille	12.0	11.0	4.0	5.0	3.0	6.0	1.0	6.0	6.0	10.0	2.0	6.0	10.0	8.0	90.0
peu_ADV_peu	11.0	9.0	8.0	7.0	7.0	7.0	4.0	4.0	3.0	6.0	11.0	6.0	1.0	6.0	90.0
encore_ADV_encore	1.0	7.0	10.0	4.0	2.0	7.0	6.0	13.0	7.0	7.0	6.0	10.0	8.0	1.0	89.0
C'_PRO:DEM_ce	10.0	8.0	5.0	4.0	14.0	5.0	5.0	9.0	4.0	8.0	3.0	4.0	3.0	6.0	88.0
bon_ADJ_bon	14.0	4.0	3.0	7.0	1.0	7.0	6.0	0.0	6.0	7.0	6.0	12.0	12.0	2.0	87.0
être_VER:infi_être	6.0	5.0	5.0	5.0	7.0	6.0	4.0	6.0	9.0	6.0	4.0	6.0	12.0	5.0	86.0
comme_ADV_comme	4.0	9.0	6.0	8.0	6.0	6.0	3.0	5.0	8.0	3.0	7.0	6.0	9.0	5.0	85.0
quand_KON_quand	9.0	7.0	0.0	4.0	6.0	9.0	10.0	8.0	6.0	5.0	5.0	8.0	6.0	2.0	85.0
dont_PRO:REL_dont	11.0	2.0	7.0	2.0	8.0	7.0	4.0	5.0	1.0	5.0	8.0	8.0	10.0	6.0	84.0
On_PRO:PER_on	4.0	5.0	4.0	5.0	6.0	3.0	14.0	9.0	6.0	3.0	9.0	2.0	10.0	4.0	84.0
tous_PRO:IND_tout	4.0	3.0	4.0	6.0	4.0	6.0	7.0	8.0	6.0	6.0	5.0	5.0	9.0	11.0	84.0
fait_VER:pper_faire	7.0	7.0	4.0	2.0	7.0	4.0	8.0	5.0	4.0	3.0	12.0	8.0	8.0	4.0	83.0
été_VER:pper_être	4.0	11.0	6.0	3.0	13.0	3.0	6.0	6.0	5.0	2.0	8.0	5.0	5.0	5.0	82.0
Je_PRO:PER_je	4.0	13.0	4.0	8.0	8.0	7.0	9.0	2.0	7.0	9.0	2.0	4.0	2.0	3.0	82.0
Latour_NAM_latour	6.0	1.0	0.0	6.0	1.0	4.0	1.0	1.0	9.0	18.0	0.0	18.0	15.0	1.0	81.0
fut_VER:simp_être	1.0	0.0	9.0	16.0	3.0	4.0	2.0	5.0	6.0	9.0	10.0	5.0	10.0	0.0	80.0
toujours_ADV_toujours	6.0	3.0	4.0	7.0	6.0	8.0	5.0	5.0	5.0	5.0	6.0	9.0	8.0	3.0	80.0
donc_ADV_donc	6.0	7.0	6.0	5.0	2.0	3.0	16.0	8.0	7.0	4.0	5.0	7.0	1.0	3.0	80.0
enfant_NOM_enfant	3.0	4.0	7.0	7.0	9.0	7.0	1.0	7.0	7.0	7.0	3.0	6.0	6.0	6.0	80.0
Émilie_NAM_émilie	6.0	2.0	0.0	5.0	1.0	4.0	0.0	1.0	2.0	16.0	0.0	22.0	15.0	6.0	80.0
si_KON_si	6.0	8.0	3.0	6.0	8.0	5.0	8.0	5.0	4.0	10.0	6.0	2.0	2.0	6.0	79.0
sous_PRP_sous	10.0	2.0	11.0	3.0	2.0	2.0	3.0	5.0	6.0	6.0	15.0	8.0	5.0	1.0	79.0
Miriam_NAM_miriam	0.0	3.0	6.0	0.0	2.0	1.0	0.0	4.0	10.0	10.0	13.0	10.0	11.0	8.0	78.0
Mlle_NOM_mademoiselle	4.0	2.0	0.0	9.0	8.0	9.0	1.0	3.0	4.0	3.0	14.0	11.0	6.0	3.0	77.0
dit_VER:pres_dire	4.0	7.0	4.0	7.0	3.0	5.0	11.0	0.0	6.0	9.0	5.0	6.0	6.0	4.0	77.0
temps_NOM_temps	4.0	4.0	3.0	12.0	6.0	8.0	10.0	5.0	3.0	5.0	2.0	5.0	5.0	3.0	75.0
Verneuil_NAM_verneuil	3.0	2.0	10.0	5.0	5.0	6.0	1.0	6.0	14.0	4.0	0.0	6.0	6.0	7.0	75.0
pauvre_ADJ_pauvre	4.0	6.0	8.0	6.0	8.0	4.0	4.0	9.0	8.0	3.0	5.0	3.0	3.0	4.0	75.0
autre_ADJ_autre	5.0	4.0	5.0	8.0	5.0	6.0	10.0	2.0	7.0	7.0	6.0	4.0	2.0	3.0	74.0
François_NAM_françois	2.0	5.0	3.0	25.0	0.0	19.0	2.0	6.0	0.0	2.0	1.0	0.0	2.0	6.0	73.0
me_PRO:PER_me	11.0	10.0	1.0	3.0	8.0	9.0	3.0	2.0	4.0	11.0	5.0	1.0	2.0	2.0	72.0
où_PRO:REL_où	5.0	9.0	3.0	6.0	8.0	2.0	1.0	9.0	3.0	6.0	4.0	7.0	6.0	2.0	71.0
ai_VER:pres_avoir	4.0	13.0	7.0	6.0	7.0	6.0	12.0	1.0	1.0	6.0	1.0	1.0	3.0	3.0	71.0
cœur_NOM_cœur	5.0	4.0	6.0	11.0	2.0	3.0	2.0	5.0	3.0	9.0	3.0	7.0	8.0	2.0	70.0
rien_ADV_rien	4.0	11.0	2.0	2.0	7.0	6.0	2.0	5.0	2.0	5.0	3.0	8.0	6.0	7.0	70.0
Jeannette_NAM_jeannette	0.0	10.0	3.0	4.0	1.0	4.0	12.0	3.0	11.0	0.0	12.0	3.0	6.0	0.0	69.0
très_ADV_très	2.0	12.0	6.0	4.0	10.0	3.0	5.0	3.0	4.0	4.0	8.0	4.0	2.0	1.0	68.0
maison_NOM_maison	6.0	11.0	8.0	6.0	2.0	7.0	3.0	6.0	0.0	5.0	6.0	2.0	4.0	1.0	67.0
mon_DET:POS_mon	11.0	6.0	3.0	5.0	4.0	5.0	8.0	3.0	4.0	8.0	2.0	0.0	4.0	4.0	67.0
jamais_ADV_jamais	6.0	3.0	3.0	3.0	1.0	9.0	5.0	8.0	6.0	5.0	7.0	4.0	4.0	2.0	66.0
petite_ADJ_petit	7.0	10.0	2.0	6.0	0.0	7.0	3.0	1.0	7.0	3.0	5.0	1.0	7.0	6.0	65.0
tu_PRO:PER_tu	5.0	15.0	0.0	12.0	0.0	8.0	3.0	2.0	0.0	8.0	1.0	1.0	7.0	2.0	64.0
dire_VER:infi_dire	4.0	3.0	1.0	6.0	5.0	8.0	5.0	5.0	3.0	6.0	3.0	4.0	6.0	4.0	63.0
mieux_ADV_mieux	5.0	3.0	1.0	0.0	4.0	7.0	14.0	8.0	10.0	1.0	3.0	2.0	2.0	3.0	63.0
Reuilly_NAM_reuilly	4.0	0.0	0.0	8.0	7.0	8.0	1.0	3.0	5.0	3.0	11.0	6.0	3.0	3.0	62.0
fois_NOM_fois	4.0	8.0	3.0	4.0	5.0	4.0	9.0	4.0	3.0	4.0	5.0	6.0	1.0	1.0	61.0
bonne_ADJ_bon	3.0	6.0	4.0	9.0	5.0	7.0	2.0	2.0	3.0	5.0	5.0	4.0	4.0	2.0	61.0
Bellerive_NAM_bellerive	0.0	0.0	14.0	0.0	8.0	0.0	0.0	2.0	8.0	7.0	4.0	5.0	8.0	5.0	61.0
j'_PRO:PER_je	2.0	11.0	0.0	4.0	5.0	4.0	12.0	3.0	6.0	3.0	2.0	1.0	6.0	2.0	61.0
depuis_PRP_depuis	5.0	3.0	3.0	4.0	3.0	0.0	5.0	9.0	6.0	5.0	4.0	10.0	1.0	3.0	61.0
faisait_VER:impf_faire	4.0	2.0	7.0	2.0	5.0	4.0	6.0	5.0	7.0	3.0	5.0	1.0	7.0	2.0	60.0
petit_ADJ_petit	9.0	10.0	5.0	10.0	4.0	5.0	1.0	5.0	2.0	1.0	4.0	0.0	1.0	3.0	60.0
tante_NOM_tante	3.0	5.0	3.0	13.0	0.0	9.0	2.0	2.0	0.0	4.0	16.0	0.0	2.0	1.0	60.0
même_ADV_même	4.0	7.0	5.0	6.0	2.0	1.0	4.0	3.0	2.0	4.0	7.0	4.0	4.0	7.0	60.0
cela_PRO:DEM_cela	3.0	9.0	2.0	6.0	5.0	6.0	3.0	6.0	2.0	3.0	4.0	3.0	4.0	1.0	57.0
yeux_NOM_œil	3.0	3.0	7.0	1.0	1.0	4.0	6.0	3.0	7.0	10.0	5.0	4.0	1.0	2.0	57.0
moins_ADV_moins	6.0	2.0	7.0	5.0	6.0	4.0	2.0	4.0	6.0	4.0	1.0	5.0	1.0	3.0	56.0
ou_KON_ou	5.0	5.0	2.0	6.0	7.0	6.0	9.0	6.0	2.0	0.0	5.0	2.0	0.0	0.0	55.0
tant_ADV_tant	5.0	3.0	7.0	2.0	4.0	8.0	2.0	7.0	3.0	5.0	2.0	1.0	2.0	4.0	55.0
quelques_PRO:IND_quelque	1.0	3.0	5.0	6.0	3.0	2.0	4.0	3.0	5.0	2.0	6.0	5.0	6.0	3.0	54.0
maître_NOM_maître	7.0	3.0	9.0	4.0	1.0	1.0	2.0	6.0	1.0	3.0	8.0	2.0	5.0	1.0	53.0
Ormes_NAM_ormes	1.0	5.0	2.0	2.0	0.0	6.0	1.0	3.0	3.0	4.0	5.0	8.0	7.0	6.0	53.0
point_ADV_point	3.0	3.0	5.0	2.0	8.0	4.0	4.0	2.0	2.0	6.0	4.0	4.0	3.0	3.0	53.0
Quartier_NOM_quartier	5.0	1.0	7.0	2.0	6.0	0.0	0.0	7.0	5.0	7.0	7.0	3.0	3.0	0.0	53.0
aussi_ADV_aussi	4.0	5.0	0.0	7.0	1.0	4.0	7.0	1.0	3.0	1.0	4.0	7.0	7.0	1.0	52.0
pouvait_VER:impf_pouvoir	2.0	3.0	5.0	3.0	5.0	5.0	1.0	6.0	4.0	4.0	2.0	6.0	5.0	1.0	52.0
non_ADV_non	3.0	3.0	6.0	2.0	4.0	3.0	3.0	6.0	7.0	2.0	4.0	3.0	4.0	2.0	52.0
puis_ADV_puis	9.0	3.0	3.0	2.0	4.0	4.0	5.0	0.0	2.0	3.0	7.0	4.0	2.0	3.0	51.0
moment_NOM_moment	2.0	5.0	4.0	6.0	1.0	3.0	2.0	4.0	3.0	6.0	2.0	4.0	6.0	3.0	51.0
eût_VER:subi_avoir	2.0	3.0	9.0	2.0	6.0	5.0	4.0	6.0	3.0	1.0	1.0	4.0	2.0	2.0	50.0
là_ADV_là	3.0	1.0	4.0	3.0	4.0	4.0	4.0	5.0	6.0	2.0	7.0	3.0	4.0	0.0	50.0
faut_VER:pres_falloir	4.0	9.0	1.0	3.0	3.0	3.0	7.0	5.0	3.0	1.0	6.0	2.0	1.0	2.0	50.0
Ursule_NAM_ursule	7.0	1.0	0.0	4.0	0.0	0.0	21.0	0.0	1.0	0.0	9.0	3.0	3.0	0.0	49.0
ni_KON_ni	4.0	6.0	3.0	5.0	6.0	2.0	6.0	7.0	3.0	0.0	0.0	2.0	3.0	2.0	49.0
vieux_ADJ_vieux	5.0	2.0	6.0	3.0	1.0	1.0	2.0	4.0	1.0	4.0	9.0	2.0	9.0	0.0	49.0
Marie-Aimée_NAM_marie-aimée	2.0	3.0	2.0	14.0	1.0	7.0	1.0	0.0	5.0	1.0	1.0	3.0	2.0	7.0	49.0
Ce_PRO:DEM_ce	3.0	4.0	2.0	6.0	4.0	3.0	1.0	3.0	5.0	5.0	6.0	6.0	0.0	1.0	49.0
m'_PRO:PER_me	4.0	4.0	1.0	4.0	2.0	6.0	10.0	3.0	2.0	5.0	0.0	2.0	2.0	3.0	48.0
air_NOM_air	3.0	4.0	6.0	3.0	4.0	4.0	8.0	1.0	7.0	0.0	2.0	0.0	4.0	2.0	48.0
les_PRO:PER_la|le	3.0	2.0	6.0	3.0	2.0	5.0	5.0	7.0	3.0	3.0	2.0	3.0	1.0	3.0	48.0
beaucoup_ADV_beaucoup	3.0	4.0	1.0	3.0	4.0	6.0	5.0	3.0	1.0	7.0	2.0	1.0	5.0	3.0	48.0
chez_PRP_chez	5.0	4.0	3.0	5.0	4.0	0.0	3.0	3.0	5.0	3.0	7.0	5.0	1.0	0.0	48.0
L'_DET:ART_le	7.0	2.0	2.0	2.0	6.0	9.0	0.0	2.0	4.0	5.0	3.0	2.0	2.0	2.0	48.0
monde_NOM_monde	5.0	7.0	1.0	3.0	3.0	5.0	4.0	2.0	3.0	5.0	2.0	3.0	0.0	4.0	47.0
chose_NOM_chose	1.0	3.0	3.0	8.0	2.0	5.0	6.0	1.0	5.0	2.0	0.0	5.0	2.0	4.0	47.0
-même_ADJ_même	1.0	1.0	6.0	5.0	7.0	3.0	0.0	4.0	1.0	4.0	1.0	7.0	4.0	2.0	46.0
aurait_VER:cond_avoir	4.0	1.0	2.0	1.0	1.0	6.0	5.0	8.0	7.0	2.0	3.0	2.0	3.0	0.0	45.0
fit_VER:simp_faire	3.0	0.0	4.0	4.0	2.0	3.0	2.0	1.0	3.0	3.0	3.0	6.0	9.0	2.0	45.0
étaient_VER:impf_être	1.0	1.0	3.0	2.0	2.0	3.0	3.0	7.0	3.0	5.0	4.0	5.0	5.0	1.0	45.0
ça_PRO:DEM_cela	1.0	0.0	0.0	1.0	1.0	4.0	15.0	5.0	12.0	0.0	5.0	0.0	0.0	0.0	44.0
moi_PRO:PER_moi	3.0	5.0	6.0	2.0	5.0	2.0	5.0	0.0	5.0	4.0	3.0	1.0	0.0	3.0	44.0
voir_VER:infi_voir	2.0	4.0	3.0	2.0	4.0	4.0	8.0	1.0	2.0	3.0	3.0	2.0	3.0	3.0	44.0
fait_VER:pres_faire	1.0	7.0	2.0	2.0	4.0	6.0	9.0	1.0	2.0	2.0	3.0	1.0	2.0	2.0	44.0
dit_VER:pper_dire	2.0	6.0	1.0	6.0	2.0	1.0	1.0	3.0	4.0	4.0	7.0	2.0	3.0	2.0	44.0
avoir_VER:infi_avoir	5.0	3.0	5.0	2.0	1.0	4.0	1.0	4.0	3.0	4.0	6.0	3.0	2.0	1.0	44.0
Les_DET:ART_le	1.0	3.0	2.0	2.0	3.0	2.0	8.0	2.0	2.0	7.0	3.0	3.0	3.0	2.0	43.0
Robinet_NAM_robinet	0.0	5.0	0.0	0.0	0.0	2.0	14.0	2.0	6.0	0.0	10.0	2.0	2.0	0.0	43.0
près_ADV_près	1.0	2.0	2.0	3.0	4.0	2.0	1.0	3.0	2.0	6.0	5.0	5.0	2.0	4.0	42.0
parce_KON_parce	1.0	2.0	2.0	6.0	1.0	4.0	7.0	4.0	0.0	3.0	6.0	4.0	1.0	1.0	42.0
M_NOM_m	3.0	1.0	5.0	1.0	4.0	0.0	0.0	1.0	1.0	6.0	8.0	1.0	9.0	2.0	42.0
jour_NOM_jour	1.0	2.0	2.0	4.0	4.0	3.0	3.0	3.0	1.0	6.0	3.0	5.0	2.0	3.0	42.0
Paris_NAM_paris	3.0	3.0	1.0	1.0	8.0	1.0	8.0	0.0	2.0	0.0	0.0	2.0	6.0	6.0	41.0
eu_VER:pper_avoir	2.0	3.0	6.0	4.0	2.0	1.0	4.0	2.0	5.0	1.0	2.0	5.0	3.0	1.0	41.0
disait_VER:impf_dire	3.0	2.0	1.0	3.0	3.0	8.0	2.0	4.0	4.0	4.0	1.0	3.0	3.0	0.0	41.0
jardin_NOM_jardin	4.0	12.0	1.0	5.0	0.0	7.0	2.0	1.0	2.0	2.0	1.0	1.0	3.0	0.0	41.0
même_ADJ_même	2.0	1.0	3.0	5.0	5.0	4.0	3.0	2.0	1.0	1.0	1.0	5.0	4.0	3.0	40.0
