	Huysmans_ARebours_0	Huysmans_ARebours_1	Huysmans_ARebours_2	Huysmans_ARebours_3	Huysmans_ARebours_4	Huysmans_ARebours_5	Huysmans_ARebours_6	Huysmans_ARebours_7	Huysmans_ARebours_8	Huysmans_ARebours_9	Huysmans_ARebours_10	Huysmans_ARebours_11	Huysmans_ARebours_12	Huysmans_ARebours_13	Huysmans_ARebours_14	Huysmans_ARebours_15	Huysmans_ARebours_16	Huysmans_ARebours_sum
,_PUN_,	459.0	539.0	547.0	483.0	530.0	513.0	521.0	492.0	538.0	490.0	491.0	468.0	489.0	521.0	478.0	439.0	21.0	8019.0
de_PRP_de	215.0	234.0	244.0	226.0	252.0	177.0	220.0	211.0	253.0	270.0	226.0	185.0	201.0	214.0	233.0	214.0	9.0	3584.0
et_KON_et	148.0	139.0	120.0	98.0	101.0	82.0	85.0	104.0	136.0	131.0	129.0	124.0	128.0	108.0	117.0	118.0	9.0	1877.0
des_PRP:det_du	123.0	90.0	104.0	88.0	131.0	106.0	146.0	100.0	129.0	131.0	101.0	86.0	94.0	119.0	88.0	94.0	7.0	1737.0
la_DET:ART_le	92.0	116.0	125.0	133.0	96.0	88.0	92.0	103.0	112.0	97.0	86.0	84.0	80.0	76.0	94.0	111.0	6.0	1591.0
<EOS>_<EOS>_<EOS>	91.0	68.0	71.0	104.0	88.0	99.0	84.0	97.0	81.0	89.0	96.0	79.0	103.0	77.0	90.0	111.0	9.0	1437.0
les_DET:ART_le	93.0	103.0	107.0	81.0	86.0	76.0	102.0	80.0	85.0	77.0	83.0	90.0	83.0	84.0	100.0	90.0	7.0	1427.0
à_PRP_à	91.0	90.0	65.0	85.0	67.0	100.0	87.0	84.0	65.0	76.0	88.0	85.0	98.0	79.0	81.0	87.0	3.0	1331.0
._SENT_.	89.0	63.0	72.0	98.0	87.0	84.0	77.0	91.0	80.0	85.0	90.0	80.0	82.0	73.0	77.0	69.0	4.0	1301.0
d'_PRP_de	71.0	65.0	78.0	78.0	89.0	55.0	78.0	67.0	78.0	84.0	72.0	77.0	72.0	65.0	69.0	61.0	4.0	1163.0
l'_DET:ART_le	62.0	73.0	95.0	69.0	66.0	68.0	54.0	64.0	84.0	41.0	99.0	72.0	64.0	82.0	85.0	66.0	1.0	1145.0
il_PRO:PER_il	86.0	44.0	45.0	48.0	64.0	72.0	60.0	80.0	70.0	64.0	64.0	78.0	70.0	57.0	48.0	81.0	1.0	1032.0
le_DET:ART_le	60.0	76.0	86.0	64.0	63.0	54.0	51.0	48.0	65.0	62.0	46.0	81.0	64.0	47.0	55.0	78.0	8.0	1008.0
un_DET:ART_un	56.0	52.0	51.0	65.0	88.0	52.0	72.0	68.0	56.0	74.0	51.0	61.0	66.0	61.0	85.0	46.0	3.0	1007.0
;_PUN_;	62.0	42.0	78.0	63.0	60.0	83.0	94.0	77.0	53.0	72.0	43.0	58.0	58.0	33.0	26.0	54.0	3.0	959.0
une_DET:ART_un	54.0	44.0	36.0	65.0	64.0	39.0	54.0	56.0	67.0	58.0	49.0	64.0	43.0	54.0	64.0	35.0	3.0	849.0
dans_PRP_dans	54.0	49.0	65.0	49.0	47.0	45.0	36.0	56.0	47.0	63.0	46.0	44.0	32.0	52.0	50.0	44.0	2.0	781.0
en_PRP_en	34.0	58.0	36.0	43.0	44.0	41.0	42.0	36.0	42.0	47.0	31.0	28.0	48.0	37.0	39.0	30.0	0.0	636.0
se_PRO:PER_se	54.0	35.0	37.0	39.0	20.0	49.0	46.0	55.0	37.0	35.0	30.0	36.0	45.0	32.0	31.0	45.0	1.0	627.0
par_PRP_par	37.0	38.0	36.0	35.0	33.0	25.0	44.0	33.0	39.0	41.0	52.0	45.0	31.0	54.0	42.0	38.0	2.0	625.0
qui_PRO:REL_qui	19.0	32.0	41.0	36.0	25.0	27.0	29.0	18.0	30.0	23.0	34.0	45.0	45.0	49.0	41.0	42.0	5.0	541.0
s'_PRO:PER_se	32.0	19.0	24.0	32.0	30.0	37.0	35.0	35.0	28.0	53.0	23.0	30.0	37.0	29.0	22.0	49.0	2.0	517.0
du_PRP:det_du	17.0	36.0	38.0	31.0	37.0	29.0	26.0	21.0	35.0	25.0	22.0	45.0	27.0	29.0	43.0	25.0	4.0	490.0
ses_DET:POS_son	28.0	24.0	40.0	23.0	33.0	27.0	25.0	50.0	32.0	30.0	45.0	26.0	21.0	39.0	19.0	25.0	0.0	487.0
que_KON_que	29.0	30.0	20.0	19.0	13.0	36.0	21.0	24.0	25.0	19.0	31.0	29.0	37.0	32.0	34.0	40.0	1.0	440.0
plus_ADV_plus	26.0	18.0	17.0	18.0	25.0	28.0	15.0	39.0	19.0	12.0	37.0	28.0	39.0	39.0	29.0	22.0	2.0	413.0
était_VER:impf_être	15.0	19.0	21.0	18.0	22.0	22.0	22.0	31.0	16.0	22.0	31.0	32.0	25.0	46.0	23.0	33.0	0.0	398.0
sur_PRP_sur	21.0	23.0	22.0	30.0	31.0	23.0	33.0	22.0	22.0	36.0	15.0	30.0	19.0	13.0	29.0	16.0	2.0	387.0
avait_VER:impf_avoir	26.0	3.0	6.0	31.0	19.0	21.0	24.0	24.0	15.0	17.0	36.0	28.0	24.0	34.0	22.0	32.0	0.0	362.0
son_DET:POS_son	25.0	30.0	23.0	16.0	17.0	30.0	30.0	29.0	18.0	13.0	13.0	19.0	26.0	21.0	22.0	24.0	0.0	356.0
au_PRP:det_au	28.0	22.0	17.0	23.0	24.0	15.0	20.0	12.0	20.0	30.0	14.0	27.0	25.0	17.0	19.0	14.0	1.0	328.0
lui_PRO:PER_lui	15.0	16.0	9.0	34.0	13.0	36.0	19.0	23.0	15.0	14.0	19.0	26.0	25.0	17.0	17.0	23.0	0.0	321.0
qu'_PRO:REL_que	19.0	19.0	15.0	13.0	15.0	22.0	15.0	22.0	25.0	14.0	14.0	27.0	21.0	21.0	10.0	26.0	1.0	299.0
aux_PRP:det_au	30.0	21.0	18.0	16.0	22.0	16.0	19.0	22.0	10.0	22.0	24.0	15.0	8.0	15.0	14.0	17.0	0.0	289.0
ne_ADV_ne	25.0	26.0	12.0	19.0	12.0	26.0	20.0	22.0	10.0	10.0	12.0	21.0	18.0	13.0	13.0	27.0	1.0	287.0
sa_DET:POS_son	19.0	12.0	14.0	28.0	20.0	17.0	23.0	21.0	10.0	20.0	18.0	14.0	12.0	15.0	11.0	16.0	1.0	271.0
ces_PRO:DEM_ce	20.0	20.0	17.0	14.0	11.0	23.0	8.0	16.0	14.0	18.0	26.0	26.0	17.0	19.0	10.0	9.0	0.0	268.0
qu'_KON_que	20.0	9.0	9.0	22.0	15.0	16.0	16.0	17.0	15.0	14.0	14.0	25.0	15.0	15.0	19.0	19.0	0.0	260.0
pour_PRP_pour	13.0	20.0	8.0	14.0	25.0	17.0	15.0	12.0	21.0	9.0	21.0	11.0	22.0	14.0	19.0	17.0	1.0	259.0
cette_PRO:DEM_ce	13.0	18.0	9.0	10.0	9.0	17.0	14.0	19.0	20.0	14.0	18.0	20.0	13.0	14.0	18.0	18.0	1.0	245.0
ce_PRO:DEM_ce	10.0	15.0	6.0	12.0	10.0	21.0	6.0	7.0	14.0	17.0	19.0	19.0	25.0	21.0	21.0	20.0	1.0	244.0
Il_PRO:PER_il	19.0	15.0	7.0	20.0	11.0	20.0	22.0	19.0	17.0	27.0	13.0	14.0	15.0	6.0	7.0	11.0	0.0	243.0
avec_PRP_avec	13.0	17.0	21.0	17.0	24.0	13.0	9.0	7.0	12.0	16.0	15.0	15.0	13.0	20.0	11.0	13.0	1.0	237.0
n'_ADV_ne	10.0	11.0	4.0	9.0	10.0	25.0	9.0	16.0	10.0	7.0	15.0	13.0	15.0	20.0	16.0	22.0	2.0	214.0
dont_PRO:REL_dont	15.0	15.0	17.0	13.0	11.0	6.0	7.0	10.0	10.0	10.0	18.0	12.0	13.0	16.0	15.0	13.0	1.0	202.0
elle_PRO:PER_elle	7.0	13.0	5.0	18.0	11.0	11.0	23.0	33.0	13.0	1.0	4.0	3.0	12.0	14.0	10.0	8.0	0.0	186.0
Esseintes_NAM_esseintes	5.0	7.0	8.0	12.0	11.0	6.0	11.0	13.0	10.0	15.0	9.0	13.0	12.0	16.0	15.0	15.0	1.0	179.0
l'_PRO:PER_la|le	11.0	4.0	12.0	8.0	9.0	9.0	9.0	16.0	10.0	8.0	1.0	7.0	22.0	8.0	13.0	29.0	0.0	176.0
sans_PRP_sans	13.0	16.0	15.0	2.0	8.0	17.0	11.0	14.0	8.0	8.0	9.0	5.0	14.0	9.0	4.0	16.0	0.0	169.0
le_PRO:PER_le	15.0	6.0	14.0	7.0	5.0	12.0	9.0	21.0	6.0	9.0	7.0	8.0	11.0	15.0	6.0	10.0	0.0	161.0
où_PRO:REL_où	18.0	8.0	8.0	8.0	10.0	8.0	2.0	3.0	5.0	7.0	19.0	11.0	11.0	21.0	10.0	8.0	1.0	158.0
"""""""""_PUN:cit_"""""""""	0.0	6.0	0.0	17.0	0.0	12.0	12.0	9.0	8.0	12.0	14.0	18.0	0.0	16.0	26.0	6.0	0.0	156.0
pas_ADV_pas	9.0	15.0	7.0	6.0	4.0	28.0	7.0	10.0	6.0	2.0	8.0	10.0	10.0	5.0	7.0	17.0	0.0	151.0
mais_KON_mais	9.0	8.0	4.0	5.0	5.0	11.0	7.0	14.0	4.0	6.0	8.0	11.0	12.0	12.0	4.0	7.0	0.0	127.0
:_PUN_:	4.0	8.0	10.0	8.0	12.0	12.0	4.0	10.0	5.0	12.0	13.0	6.0	2.0	10.0	5.0	6.0	0.0	127.0
sous_PRP_sous	5.0	4.0	8.0	9.0	4.0	7.0	8.0	9.0	13.0	8.0	6.0	7.0	8.0	12.0	9.0	3.0	2.0	122.0
en_PRO:PER_en	7.0	12.0	5.0	11.0	5.0	12.0	9.0	11.0	6.0	7.0	3.0	10.0	13.0	4.0	3.0	1.0	0.0	119.0
ou_KON_ou	10.0	14.0	2.0	7.0	5.0	3.0	6.0	5.0	7.0	8.0	16.0	6.0	9.0	5.0	6.0	10.0	0.0	119.0
même_ADV_même	7.0	8.0	4.0	8.0	6.0	9.0	5.0	10.0	3.0	4.0	11.0	6.0	11.0	12.0	7.0	8.0	0.0	119.0
tout_ADV_tout	4.0	10.0	5.0	6.0	5.0	10.0	11.0	11.0	6.0	6.0	3.0	9.0	9.0	9.0	9.0	5.0	0.0	118.0
est_VER:pres_être	8.0	15.0	3.0	7.0	4.0	17.0	9.0	3.0	8.0	2.0	2.0	4.0	9.0	6.0	4.0	9.0	1.0	111.0
leurs_DET:POS_leur	17.0	4.0	6.0	4.0	2.0	8.0	11.0	2.0	8.0	8.0	7.0	5.0	5.0	11.0	8.0	4.0	0.0	110.0
!_SENT_!	2.0	3.0	0.0	4.0	0.0	12.0	6.0	4.0	1.0	0.0	8.0	0.0	22.0	3.0	13.0	29.0	3.0	110.0
on_PRO:PER_on	5.0	9.0	3.0	10.0	6.0	5.0	4.0	2.0	8.0	4.0	6.0	6.0	17.0	4.0	6.0	11.0	0.0	106.0
les_PRO:PER_la|le	3.0	5.0	5.0	3.0	4.0	6.0	5.0	10.0	7.0	6.0	9.0	2.0	13.0	11.0	8.0	7.0	0.0	104.0
étaient_VER:impf_être	9.0	3.0	6.0	5.0	6.0	4.0	5.0	4.0	4.0	5.0	16.0	5.0	7.0	6.0	9.0	8.0	0.0	102.0
aussi_ADV_aussi	7.0	8.0	2.0	4.0	6.0	6.0	7.0	6.0	5.0	3.0	10.0	13.0	13.0	4.0	4.0	4.0	0.0	102.0
que_PRO:REL_que	6.0	11.0	9.0	6.0	2.0	5.0	6.0	6.0	4.0	5.0	6.0	9.0	6.0	7.0	8.0	3.0	3.0	102.0
encore_ADV_encore	6.0	6.0	6.0	2.0	3.0	5.0	8.0	2.0	7.0	6.0	5.0	6.0	7.0	13.0	5.0	7.0	0.0	94.0
peu_ADV_peu	4.0	2.0	2.0	2.0	5.0	4.0	3.0	4.0	11.0	2.0	15.0	2.0	8.0	9.0	7.0	11.0	0.0	91.0
ils_PRO:PER_il	17.0	4.0	4.0	3.0	6.0	5.0	5.0	5.0	3.0	3.0	5.0	4.0	10.0	3.0	3.0	5.0	0.0	85.0
-_PUN_-	0.0	5.0	1.0	2.0	6.0	27.0	8.0	8.0	2.0	3.0	6.0	1.0	5.0	0.0	2.0	5.0	2.0	83.0
autres_ADJ_autre	8.0	4.0	1.0	2.0	7.0	5.0	8.0	5.0	3.0	6.0	4.0	6.0	10.0	4.0	4.0	5.0	0.0	82.0
comme_ADV_comme	7.0	5.0	7.0	6.0	8.0	3.0	5.0	5.0	4.0	3.0	4.0	7.0	5.0	3.0	4.0	4.0	0.0	80.0
temps_NOM_temps	9.0	2.0	6.0	5.0	2.0	2.0	5.0	3.0	8.0	8.0	1.0	1.0	6.0	10.0	4.0	8.0	0.0	80.0
yeux_NOM_œil	6.0	2.0	0.0	7.0	5.0	5.0	7.0	10.0	5.0	9.0	2.0	2.0	6.0	3.0	3.0	3.0	0.0	75.0
même_ADJ_même	2.0	7.0	5.0	4.0	3.0	5.0	5.0	10.0	4.0	0.0	1.0	3.0	9.0	4.0	10.0	2.0	0.0	74.0
tous_PRO:IND_tout	2.0	5.0	3.0	7.0	3.0	7.0	3.0	2.0	6.0	8.0	6.0	6.0	3.0	4.0	4.0	5.0	0.0	74.0
toute_PRO:IND_tout	2.0	2.0	6.0	5.0	2.0	4.0	2.0	2.0	6.0	5.0	8.0	8.0	6.0	2.0	8.0	6.0	0.0	74.0
puis_ADV_puis	4.0	2.0	8.0	7.0	5.0	4.0	2.0	7.0	5.0	6.0	1.0	3.0	5.0	3.0	6.0	4.0	1.0	73.0
leur_DET:POS_leur	13.0	12.0	3.0	1.0	1.0	3.0	1.0	3.0	5.0	5.0	3.0	4.0	4.0	10.0	1.0	4.0	0.0	73.0
alors_ADV_alors	11.0	5.0	4.0	5.0	5.0	5.0	3.0	6.0	2.0	3.0	4.0	5.0	3.0	3.0	5.0	3.0	0.0	72.0
comme_KON_comme	3.0	3.0	5.0	4.0	5.0	8.0	2.0	4.0	1.0	4.0	1.0	4.0	4.0	5.0	9.0	9.0	1.0	72.0
cet_PRO:DEM_ce	4.0	4.0	4.0	2.0	7.0	2.0	1.0	3.0	7.0	3.0	6.0	13.0	6.0	1.0	4.0	4.0	0.0	71.0
entre_PRP_entre	5.0	6.0	2.0	9.0	2.0	3.0	6.0	5.0	3.0	7.0	3.0	7.0	5.0	1.0	4.0	2.0	0.0	70.0
bien_ADV_bien	4.0	7.0	1.0	2.0	7.0	7.0	2.0	4.0	3.0	5.0	7.0	5.0	6.0	5.0	2.0	2.0	1.0	70.0
langue_NOM_langue	1.0	4.0	14.0	2.0	0.0	0.0	2.0	1.0	4.0	0.0	15.0	9.0	1.0	5.0	10.0	0.0	0.0	68.0
toutes_PRO:IND_tout	4.0	5.0	6.0	4.0	5.0	5.0	6.0	3.0	3.0	2.0	2.0	5.0	5.0	2.0	5.0	4.0	0.0	66.0
fois_NOM_fois	4.0	3.0	3.0	9.0	1.0	2.0	2.0	5.0	4.0	5.0	3.0	4.0	5.0	1.0	5.0	8.0	1.0	65.0
devant_PRP_devant	2.0	4.0	4.0	4.0	11.0	0.0	3.0	6.0	6.0	9.0	1.0	2.0	6.0	4.0	0.0	2.0	0.0	64.0
presque_ADV_presque	3.0	7.0	3.0	1.0	7.0	3.0	2.0	6.0	6.0	2.0	8.0	3.0	5.0	4.0	1.0	2.0	0.0	63.0
c'_PRO:DEM_ce	1.0	2.0	4.0	1.0	2.0	5.0	1.0	4.0	2.0	1.0	3.0	0.0	8.0	15.0	6.0	8.0	0.0	63.0
avaient_VER:impf_avoir	4.0	2.0	1.0	1.0	1.0	3.0	6.0	5.0	1.0	3.0	4.0	4.0	10.0	4.0	8.0	5.0	0.0	62.0
maintenant_ADV_maintenant	1.0	4.0	5.0	3.0	4.0	7.0	7.0	1.0	6.0	2.0	0.0	1.0	6.0	6.0	3.0	6.0	0.0	62.0
ainsi_ADV_ainsi	6.0	3.0	1.0	7.0	7.0	5.0	2.0	4.0	4.0	5.0	7.0	2.0	1.0	2.0	4.0	2.0	0.0	62.0
deux_NUM_deux	5.0	7.0	3.0	5.0	4.0	1.0	5.0	3.0	3.0	3.0	4.0	6.0	2.0	2.0	5.0	2.0	1.0	61.0
vie_NOM_vie	2.0	1.0	6.0	4.0	8.0	6.0	5.0	1.0	2.0	2.0	3.0	1.0	7.0	3.0	1.0	7.0	1.0	60.0
y_PRO:PER_y	6.0	6.0	0.0	2.0	4.0	8.0	3.0	2.0	3.0	3.0	3.0	2.0	4.0	5.0	4.0	5.0	0.0	60.0
quelques_PRO:IND_quelque	3.0	3.0	7.0	3.0	1.0	2.0	3.0	5.0	6.0	2.0	7.0	6.0	3.0	1.0	6.0	1.0	0.0	59.0
homme_NOM_homme	3.0	3.0	2.0	3.0	4.0	3.0	4.0	8.0	1.0	4.0	3.0	8.0	5.0	1.0	2.0	5.0	0.0	59.0
autre_ADJ_autre	7.0	5.0	2.0	3.0	3.0	1.0	2.0	4.0	0.0	1.0	6.0	6.0	2.0	8.0	6.0	3.0	0.0	59.0
Le_DET:ART_le	3.0	5.0	5.0	4.0	3.0	4.0	0.0	0.0	2.0	2.0	5.0	5.0	1.0	6.0	8.0	4.0	0.0	57.0
jusqu'_PRP_jusque	7.0	4.0	1.0	3.0	2.0	3.0	4.0	4.0	3.0	5.0	4.0	1.0	5.0	3.0	4.0	3.0	1.0	57.0
vers_PRP_vers	0.0	4.0	7.0	0.0	1.0	5.0	1.0	4.0	5.0	0.0	0.0	4.0	2.0	11.0	8.0	3.0	0.0	55.0
elles_PRO:PER_elle	2.0	1.0	2.0	6.0	3.0	2.0	3.0	5.0	0.0	1.0	5.0	5.0	8.0	6.0	2.0	2.0	1.0	54.0
tout_PRO:IND_tout	5.0	3.0	0.0	4.0	4.0	4.0	4.0	1.0	2.0	1.0	2.0	5.0	6.0	1.0	3.0	7.0	1.0	53.0
moins_ADV_moins	3.0	3.0	2.0	1.0	4.0	4.0	0.0	6.0	1.0	2.0	1.0	4.0	7.0	9.0	1.0	4.0	0.0	52.0
siècle_NOM_siècle	1.0	3.0	12.0	0.0	1.0	0.0	1.0	0.0	3.0	0.0	4.0	7.0	3.0	6.0	7.0	3.0	0.0	51.0
chez_PRP_chez	6.0	1.0	1.0	5.0	5.0	9.0	2.0	1.0	1.0	0.0	3.0	3.0	8.0	1.0	5.0	0.0	0.0	51.0
La_DET:ART_le	2.0	0.0	3.0	8.0	2.0	1.0	0.0	5.0	2.0	6.0	1.0	4.0	8.0	4.0	4.0	0.0	1.0	51.0
femme_NOM_femme	4.0	3.0	2.0	5.0	7.0	0.0	6.0	14.0	4.0	0.0	1.0	1.0	1.0	2.0	1.0	0.0	0.0	51.0
depuis_PRP_depuis	1.0	2.0	0.0	3.0	2.0	5.0	4.0	2.0	4.0	2.0	7.0	3.0	5.0	2.0	4.0	5.0	0.0	51.0
ni_KON_ni	4.0	3.0	2.0	7.0	4.0	4.0	4.0	2.0	2.0	0.0	4.0	2.0	6.0	2.0	0.0	4.0	0.0	50.0
idées_NOM_idée	4.0	1.0	2.0	0.0	2.0	6.0	2.0	3.0	1.0	1.0	6.0	3.0	5.0	5.0	5.0	4.0	0.0	50.0
enfin_ADV_enfin	3.0	6.0	2.0	5.0	2.0	2.0	7.0	2.0	2.0	1.0	3.0	1.0	2.0	3.0	0.0	9.0	0.0	50.0
pouvait_VER:impf_pouvoir	3.0	4.0	1.0	6.0	5.0	1.0	4.0	3.0	3.0	1.0	3.0	1.0	4.0	4.0	1.0	6.0	0.0	50.0
Les_DET:ART_le	6.0	3.0	5.0	2.0	1.0	2.0	4.0	1.0	6.0	1.0	0.0	2.0	1.0	5.0	4.0	6.0	0.0	49.0
être_VER:infi_être	3.0	3.0	0.0	4.0	1.0	5.0	1.0	4.0	1.0	3.0	3.0	3.0	3.0	1.0	5.0	8.0	0.0	48.0
point_ADV_point	4.0	1.0	0.0	3.0	2.0	2.0	1.0	5.0	3.0	4.0	4.0	7.0	5.0	2.0	1.0	2.0	1.0	47.0
Et_KON_et	2.0	1.0	2.0	4.0	5.0	3.0	3.0	3.0	1.0	1.0	5.0	0.0	7.0	2.0	2.0	6.0	0.0	47.0
style_NOM_style	1.0	3.0	7.0	1.0	2.0	0.0	2.0	0.0	4.0	0.0	6.0	6.0	0.0	8.0	5.0	1.0	0.0	46.0
église_NOM_église	2.0	1.0	6.0	2.0	1.0	8.0	0.0	1.0	0.0	0.0	12.0	6.0	0.0	0.0	3.0	4.0	0.0	46.0
si_ADV_si	1.0	4.0	0.0	0.0	2.0	0.0	3.0	5.0	3.0	2.0	2.0	3.0	3.0	9.0	7.0	2.0	0.0	46.0
si_KON_si	0.0	3.0	0.0	2.0	0.0	8.0	4.0	3.0	2.0	2.0	2.0	3.0	7.0	5.0	2.0	3.0	0.0	46.0
ainsi_KON_ainsi	2.0	3.0	2.0	1.0	1.0	4.0	3.0	4.0	2.0	2.0	2.0	5.0	2.0	3.0	5.0	4.0	0.0	45.0
art_NOM_art	0.0	2.0	3.0	1.0	6.0	3.0	3.0	3.0	5.0	0.0	2.0	1.0	3.0	1.0	8.0	3.0	0.0	44.0
tête_NOM_tête	2.0	4.0	2.0	3.0	9.0	2.0	3.0	3.0	1.0	6.0	1.0	2.0	0.0	1.0	3.0	2.0	0.0	44.0
livres_NOM_livre	2.0	3.0	2.0	0.0	2.0	2.0	0.0	2.0	0.0	2.0	8.0	6.0	6.0	6.0	1.0	1.0	1.0	44.0
la_PRO:PER_la	2.0	2.0	2.0	4.0	4.0	2.0	4.0	3.0	2.0	1.0	0.0	3.0	4.0	0.0	5.0	6.0	0.0	44.0
esprit_NOM_esprit	4.0	2.0	1.0	1.0	0.0	8.0	2.0	2.0	1.0	1.0	1.0	4.0	5.0	5.0	2.0	5.0	0.0	44.0
L'_DET:ART_le	1.0	3.0	4.0	4.0	4.0	0.0	2.0	2.0	2.0	2.0	1.0	1.0	2.0	5.0	7.0	3.0	0.0	43.0
monde_NOM_monde	4.0	4.0	3.0	1.0	3.0	6.0	1.0	2.0	1.0	2.0	2.0	1.0	3.0	1.0	2.0	5.0	1.0	42.0
aucune_PRO:IND_aucun	2.0	4.0	3.0	2.0	3.0	2.0	2.0	3.0	2.0	1.0	3.0	3.0	0.0	4.0	1.0	7.0	0.0	42.0
âme_NOM_âme	1.0	0.0	0.0	0.0	0.0	5.0	0.0	1.0	3.0	0.0	5.0	5.0	2.0	12.0	5.0	3.0	0.0	42.0
car_KON_car	4.0	2.0	4.0	1.0	2.0	1.0	1.0	4.0	0.0	2.0	2.0	3.0	6.0	2.0	4.0	4.0	0.0	42.0
Des_PRP:det_du	0.0	0.0	2.0	4.0	2.0	3.0	3.0	4.0	3.0	4.0	1.0	2.0	4.0	2.0	3.0	4.0	1.0	42.0
a_VER:pres_avoir	1.0	6.0	1.0	3.0	2.0	11.0	3.0	0.0	3.0	0.0	2.0	6.0	0.0	1.0	2.0	1.0	0.0	42.0
air_NOM_air	3.0	4.0	0.0	0.0	2.0	0.0	4.0	5.0	10.0	3.0	1.0	2.0	4.0	1.0	1.0	1.0	0.0	41.0
loin_ADV_loin	4.0	1.0	0.0	2.0	5.0	3.0	4.0	3.0	1.0	1.0	2.0	1.0	6.0	3.0	2.0	3.0	0.0	41.0
été_VER:pper_être	5.0	2.0	1.0	2.0	0.0	3.0	4.0	4.0	2.0	1.0	2.0	2.0	0.0	3.0	3.0	7.0	0.0	41.0
En_PRP_en	1.0	3.0	1.0	0.0	4.0	4.0	2.0	1.0	3.0	0.0	5.0	5.0	5.0	3.0	3.0	0.0	0.0	40.0
eau_NOM_eau	1.0	4.0	1.0	4.0	1.0	1.0	1.0	3.0	11.0	4.0	0.0	0.0	2.0	1.0	2.0	4.0	0.0	40.0
milieu_NOM_milieu	4.0	4.0	1.0	4.0	3.0	2.0	6.0	1.0	3.0	3.0	0.0	2.0	3.0	2.0	2.0	0.0	0.0	40.0
Paris_NAM_paris	3.0	3.0	2.0	1.0	3.0	2.0	3.0	0.0	3.0	2.0	3.0	1.0	5.0	1.0	2.0	4.0	1.0	39.0
-là_ADV_là	4.0	2.0	3.0	3.0	2.0	3.0	3.0	2.0	1.0	0.0	4.0	5.0	2.0	4.0	0.0	1.0	0.0	39.0
jamais_ADV_jamais	2.0	4.0	3.0	1.0	4.0	4.0	6.0	6.0	1.0	0.0	1.0	1.0	1.0	2.0	1.0	2.0	0.0	39.0
avoir_VER:infi_avoir	2.0	0.0	1.0	2.0	4.0	3.0	2.0	3.0	0.0	2.0	3.0	2.0	5.0	2.0	4.0	3.0	0.0	38.0
effet_NOM_effet	2.0	2.0	3.0	1.0	5.0	3.0	1.0	2.0	3.0	0.0	3.0	3.0	3.0	3.0	3.0	1.0	0.0	38.0
oeuvres_NOM_œuvre	1.0	1.0	2.0	1.0	2.0	0.0	1.0	2.0	2.0	1.0	6.0	6.0	4.0	4.0	4.0	0.0	0.0	37.0
après_PRP_après	1.0	1.0	1.0	0.0	0.0	3.0	3.0	4.0	2.0	1.0	4.0	2.0	4.0	4.0	3.0	4.0	0.0	37.0
pendant_PRP_pendant	3.0	4.0	1.0	2.0	1.0	6.0	3.0	3.0	1.0	4.0	0.0	2.0	2.0	1.0	2.0	2.0	0.0	37.0
parmi_PRP_parmi	1.0	1.0	5.0	1.0	3.0	1.0	4.0	1.0	1.0	1.0	4.0	6.0	0.0	3.0	3.0	2.0	0.0	37.0
grand_ADJ_grand	2.0	2.0	2.0	3.0	6.0	0.0	3.0	0.0	5.0	1.0	5.0	2.0	1.0	2.0	1.0	1.0	0.0	36.0
près_ADV_près	2.0	3.0	0.0	1.0	2.0	0.0	1.0	6.0	3.0	7.0	3.0	1.0	1.0	4.0	1.0	1.0	0.0	36.0
vue_NOM_vue	2.0	5.0	1.0	0.0	0.0	1.0	3.0	1.0	2.0	2.0	2.0	5.0	6.0	2.0	3.0	1.0	0.0	36.0
fut_VER:simp_être	6.0	4.0	1.0	3.0	3.0	2.0	2.0	3.0	2.0	1.0	1.0	2.0	4.0	0.0	0.0	1.0	0.0	35.0
gens_NOM_gens	4.0	5.0	2.0	1.0	3.0	3.0	1.0	0.0	2.0	4.0	1.0	2.0	4.0	0.0	1.0	2.0	0.0	35.0
couleur_NOM_couleur	4.0	4.0	2.0	1.0	4.0	0.0	3.0	0.0	2.0	5.0	1.0	1.0	2.0	1.0	4.0	1.0	0.0	35.0
fleurs_NOM_fleur	0.0	1.0	2.0	5.0	0.0	0.0	17.0	1.0	8.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	35.0
vieux_ADJ_vieux	3.0	2.0	3.0	1.0	2.0	1.0	0.0	3.0	1.0	2.0	1.0	3.0	2.0	2.0	5.0	3.0	1.0	35.0
Mais_KON_mais	2.0	0.0	1.0	2.0	2.0	4.0	2.0	3.0	2.0	0.0	4.0	2.0	1.0	1.0	4.0	4.0	0.0	34.0
seul_ADJ_seul	5.0	4.0	2.0	1.0	2.0	2.0	1.0	2.0	0.0	1.0	0.0	3.0	3.0	1.0	6.0	0.0	1.0	34.0
femmes_NOM_femme	3.0	1.0	5.0	0.0	0.0	4.0	1.0	4.0	3.0	2.0	2.0	0.0	4.0	2.0	2.0	1.0	0.0	34.0
sorte_NOM_sorte	4.0	1.0	1.0	3.0	4.0	3.0	2.0	0.0	2.0	3.0	2.0	2.0	2.0	3.0	0.0	2.0	0.0	34.0
là_ADV_là	1.0	0.0	6.0	1.0	4.0	2.0	2.0	0.0	2.0	5.0	7.0	3.0	1.0	0.0	0.0	0.0	0.0	34.0
eût_VER:subi_avoir	1.0	2.0	2.0	0.0	3.0	2.0	1.0	2.0	0.0	0.0	2.0	1.0	2.0	4.0	2.0	9.0	0.0	33.0
