	Mirbeau_JardinSupplices_0	Mirbeau_JardinSupplices_1	Mirbeau_JardinSupplices_2	Mirbeau_JardinSupplices_3	Mirbeau_JardinSupplices_4	Mirbeau_JardinSupplices_5	Mirbeau_JardinSupplices_6	Mirbeau_JardinSupplices_7	Mirbeau_JardinSupplices_8	Mirbeau_JardinSupplices_9	Mirbeau_JardinSupplices_10	Mirbeau_JardinSupplices_11	Mirbeau_JardinSupplices_12	Mirbeau_JardinSupplices_13	Mirbeau_JardinSupplices_14	Mirbeau_JardinSupplices_15	Mirbeau_JardinSupplices_16	Mirbeau_JardinSupplices_sum
n'_ADV_ne	22.0	21.0	19.0	27.0	21.0	23.0	16.0	16.0	19.0	16.0	14.0	21.0	24.0	19.0	16.0	15.0	6.0	315.0
ce_PRO:DEM_ce	20.0	30.0	27.0	28.0	23.0	20.0	19.0	19.0	12.0	6.0	17.0	19.0	16.0	15.0	12.0	11.0	6.0	300.0
s'_PRO:PER_se	27.0	17.0	17.0	13.0	9.0	8.0	14.0	12.0	19.0	17.0	20.0	22.0	19.0	29.0	28.0	17.0	7.0	295.0
:_PUN_:	18.0	16.0	7.0	15.0	10.0	24.0	17.0	15.0	22.0	22.0	21.0	20.0	24.0	15.0	8.0	22.0	12.0	288.0
Clara_NAM_clara	0.0	0.0	0.0	0.0	6.0	21.0	22.0	22.0	22.0	24.0	9.0	14.0	19.0	16.0	28.0	45.0	22.0	270.0
Je_PRO:PER_je	8.0	21.0	14.0	15.0	17.0	22.0	26.0	19.0	8.0	13.0	18.0	7.0	18.0	11.0	16.0	21.0	7.0	261.0
par_PRP_par	20.0	13.0	18.0	19.0	17.0	7.0	15.0	13.0	20.0	20.0	12.0	20.0	12.0	15.0	22.0	13.0	1.0	257.0
au_PRP:det_au	17.0	18.0	15.0	11.0	17.0	4.0	16.0	21.0	21.0	14.0	29.0	11.0	11.0	11.0	17.0	14.0	2.0	249.0
était_VER:impf_être	8.0	8.0	20.0	19.0	14.0	8.0	23.0	20.0	12.0	12.0	16.0	14.0	9.0	18.0	13.0	17.0	6.0	237.0
ses_DET:POS_son	6.0	11.0	15.0	9.0	17.0	9.0	12.0	22.0	12.0	12.0	11.0	22.0	7.0	13.0	12.0	25.0	14.0	229.0
vous_PRO:PER_vous	17.0	9.0	3.0	3.0	5.0	24.0	37.0	25.0	15.0	0.0	4.0	22.0	19.0	7.0	4.0	21.0	10.0	225.0
que_PRO:REL_que	10.0	20.0	19.0	15.0	22.0	16.0	20.0	10.0	8.0	7.0	9.0	11.0	18.0	10.0	9.0	9.0	2.0	215.0
j'_PRO:PER_je	8.0	20.0	18.0	20.0	27.0	11.0	21.0	20.0	5.0	8.0	9.0	5.0	5.0	6.0	9.0	9.0	3.0	204.0
m'_PRO:PER_me	4.0	16.0	15.0	20.0	19.0	13.0	26.0	24.0	10.0	6.0	11.0	7.0	9.0	7.0	5.0	7.0	4.0	203.0
avec_PRP_avec	13.0	19.0	9.0	10.0	15.0	12.0	9.0	11.0	16.0	14.0	10.0	7.0	15.0	4.0	13.0	14.0	10.0	201.0
mon_DET:POS_mon	13.0	22.0	17.0	24.0	19.0	5.0	15.0	9.0	5.0	14.0	10.0	5.0	11.0	7.0	7.0	8.0	7.0	198.0
en_PRO:PER_en	15.0	8.0	16.0	8.0	13.0	13.0	18.0	13.0	12.0	4.0	6.0	17.0	13.0	8.0	10.0	8.0	6.0	188.0
moi_PRO:PER_moi	8.0	10.0	16.0	15.0	14.0	15.0	20.0	12.0	9.0	8.0	7.0	8.0	12.0	4.0	12.0	10.0	8.0	188.0
qu'_KON_que	12.0	15.0	10.0	17.0	14.0	7.0	10.0	6.0	6.0	18.0	13.0	12.0	14.0	7.0	10.0	10.0	6.0	187.0
comme_KON_comme	9.0	13.0	16.0	7.0	6.0	4.0	8.0	17.0	15.0	6.0	12.0	11.0	15.0	14.0	11.0	15.0	7.0	186.0
pour_PRP_pour	14.0	14.0	20.0	12.0	19.0	10.0	18.0	5.0	9.0	5.0	4.0	13.0	13.0	10.0	8.0	7.0	3.0	184.0
son_DET:POS_son	5.0	16.0	19.0	10.0	10.0	5.0	15.0	12.0	4.0	9.0	7.0	11.0	14.0	13.0	13.0	11.0	7.0	181.0
ces_PRO:DEM_ce	18.0	7.0	5.0	13.0	17.0	6.0	12.0	2.0	10.0	9.0	16.0	10.0	8.0	12.0	11.0	6.0	16.0	178.0
c'_PRO:DEM_ce	10.0	6.0	9.0	14.0	3.0	20.0	13.0	11.0	12.0	11.0	5.0	10.0	20.0	13.0	8.0	9.0	2.0	176.0
on_PRO:PER_on	16.0	8.0	19.0	16.0	9.0	18.0	9.0	6.0	9.0	13.0	11.0	9.0	10.0	7.0	7.0	3.0	1.0	171.0
cette_PRO:DEM_ce	7.0	8.0	22.0	15.0	20.0	15.0	6.0	10.0	9.0	10.0	12.0	8.0	7.0	6.0	7.0	6.0	3.0	171.0
y_PRO:PER_y	16.0	12.0	12.0	20.0	10.0	7.0	8.0	5.0	6.0	9.0	13.0	21.0	7.0	7.0	5.0	4.0	2.0	164.0
