	FevalPP_ErrantsNuit_0	FevalPP_ErrantsNuit_1	FevalPP_ErrantsNuit_2	FevalPP_ErrantsNuit_3	FevalPP_ErrantsNuit_4	FevalPP_ErrantsNuit_5	FevalPP_ErrantsNuit_6	FevalPP_ErrantsNuit_7	FevalPP_ErrantsNuit_8	FevalPP_ErrantsNuit_9	FevalPP_ErrantsNuit_10	FevalPP_ErrantsNuit_11	FevalPP_ErrantsNuit_12	FevalPP_ErrantsNuit_13	FevalPP_ErrantsNuit_14	FevalPP_ErrantsNuit_15	FevalPP_ErrantsNuit_16	FevalPP_ErrantsNuit_17	FevalPP_ErrantsNuit_18	FevalPP_ErrantsNuit_19	FevalPP_ErrantsNuit_20	FevalPP_ErrantsNuit_21	FevalPP_ErrantsNuit_22	FevalPP_ErrantsNuit_23	FevalPP_ErrantsNuit_24	FevalPP_ErrantsNuit_25	FevalPP_ErrantsNuit_sum
avait_VER:impf_avoir	32.0	32.0	28.0	42.0	33.0	38.0	36.0	27.0	35.0	17.0	21.0	25.0	19.0	11.0	24.0	34.0	30.0	17.0	26.0	17.0	25.0	27.0	30.0	44.0	42.0	18.0	730.0
ne_ADV_ne	17.0	33.0	27.0	26.0	30.0	33.0	34.0	32.0	30.0	31.0	36.0	30.0	23.0	23.0	30.0	26.0	33.0	17.0	47.0	31.0	19.0	31.0	12.0	33.0	25.0	16.0	725.0
pas_ADV_pas	23.0	30.0	22.0	28.0	31.0	38.0	31.0	39.0	21.0	33.0	27.0	35.0	20.0	27.0	22.0	24.0	30.0	25.0	39.0	40.0	21.0	33.0	12.0	26.0	21.0	14.0	712.0
dans_PRP_dans	29.0	30.0	33.0	33.0	30.0	21.0	27.0	18.0	30.0	26.0	24.0	25.0	32.0	21.0	18.0	39.0	30.0	23.0	24.0	32.0	36.0	25.0	33.0	32.0	21.0	12.0	704.0
que_KON_que	31.0	25.0	32.0	24.0	23.0	34.0	21.0	23.0	27.0	29.0	29.0	17.0	19.0	33.0	27.0	22.0	39.0	17.0	35.0	20.0	31.0	29.0	34.0	32.0	29.0	13.0	695.0
est_VER:pres_être	40.0	43.0	32.0	16.0	22.0	14.0	20.0	47.0	29.0	31.0	26.0	32.0	20.0	42.0	33.0	16.0	24.0	28.0	25.0	26.0	44.0	16.0	15.0	19.0	16.0	15.0	691.0
des_PRP:det_du	47.0	23.0	25.0	29.0	32.0	25.0	29.0	18.0	30.0	34.0	21.0	17.0	49.0	32.0	32.0	22.0	11.0	35.0	20.0	11.0	16.0	13.0	38.0	20.0	23.0	15.0	667.0
s'_PRO:PER_se	25.0	18.0	34.0	27.0	16.0	20.0	26.0	23.0	24.0	26.0	33.0	26.0	24.0	24.0	20.0	33.0	25.0	31.0	29.0	18.0	24.0	28.0	30.0	25.0	30.0	18.0	657.0
n'_ADV_ne	26.0	14.0	23.0	19.0	24.0	28.0	19.0	31.0	28.0	17.0	21.0	25.0	25.0	27.0	25.0	26.0	25.0	23.0	29.0	27.0	22.0	25.0	30.0	30.0	33.0	27.0	649.0
son_DET:POS_son	19.0	30.0	29.0	28.0	33.0	25.0	35.0	28.0	25.0	18.0	12.0	20.0	21.0	20.0	22.0	23.0	28.0	22.0	27.0	19.0	18.0	26.0	20.0	30.0	22.0	13.0	613.0
?_SENT_?	15.0	20.0	25.0	31.0	27.0	15.0	23.0	50.0	15.0	28.0	26.0	21.0	11.0	39.0	30.0	17.0	21.0	18.0	25.0	24.0	19.0	15.0	11.0	11.0	14.0	9.0	560.0
au_PRP:det_au	26.0	16.0	22.0	15.0	32.0	26.0	23.0	12.0	19.0	14.0	22.0	20.0	26.0	26.0	23.0	24.0	33.0	19.0	18.0	13.0	20.0	31.0	19.0	29.0	22.0	9.0	559.0
sa_DET:POS_son	13.0	17.0	27.0	23.0	15.0	16.0	26.0	31.0	34.0	25.0	17.0	22.0	7.0	8.0	21.0	28.0	33.0	23.0	26.0	30.0	20.0	20.0	25.0	14.0	16.0	15.0	552.0
vous_PRO:PER_vous	11.0	14.0	27.0	24.0	23.0	16.0	40.0	49.0	7.0	28.0	15.0	21.0	19.0	20.0	23.0	21.0	40.0	21.0	60.0	28.0	9.0	3.0	3.0	8.0	10.0	5.0	545.0
sur_PRP_sur	16.0	21.0	21.0	26.0	26.0	22.0	22.0	21.0	25.0	27.0	11.0	15.0	18.0	20.0	21.0	12.0	18.0	22.0	21.0	21.0	23.0	22.0	22.0	20.0	17.0	11.0	521.0
