	France_Thais_0	France_Thais_1	France_Thais_2	France_Thais_3	France_Thais_4	France_Thais_5	France_Thais_6	France_Thais_7	France_Thais_8	France_Thais_9	France_Thais_10	France_Thais_11	France_Thais_12	France_Thais_13	France_Thais_sum
on_PRO:PER_on	2.0	5.0	9.0	7.0	12.0	9.0	11.0	9.0	10.0	5.0	7.0	9.0	6.0	0.0	101.0
les_PRO:PER_la|le	5.0	11.0	11.0	4.0	6.0	4.0	9.0	11.0	14.0	6.0	11.0	6.0	3.0	0.0	101.0
sont_VER:pres_être	5.0	12.0	11.0	2.0	1.0	7.0	12.0	9.0	2.0	12.0	4.0	6.0	12.0	0.0	95.0
sans_PRP_sans	4.0	10.0	6.0	3.0	8.0	10.0	8.0	5.0	7.0	8.0	5.0	8.0	12.0	0.0	94.0
j'_PRO:PER_je	4.0	5.0	9.0	2.0	3.0	14.0	9.0	7.0	9.0	13.0	7.0	3.0	9.0	0.0	94.0
Les_DET:ART_le	11.0	5.0	10.0	2.0	10.0	1.0	7.0	6.0	8.0	7.0	11.0	10.0	3.0	1.0	92.0
yeux_NOM_œil	5.0	2.0	5.0	10.0	7.0	11.0	0.0	6.0	6.0	8.0	7.0	7.0	15.0	0.0	89.0
Le_DET:ART_le	5.0	9.0	7.0	10.0	5.0	3.0	6.0	10.0	5.0	8.0	9.0	3.0	8.0	0.0	88.0
leurs_DET:POS_leur	8.0	5.0	4.0	7.0	5.0	2.0	4.0	4.0	14.0	3.0	17.0	9.0	6.0	0.0	88.0
hommes_NOM_homme	7.0	8.0	11.0	2.0	7.0	11.0	9.0	8.0	7.0	2.0	4.0	8.0	4.0	0.0	88.0
toi_PRO:PER_toi	3.0	9.0	2.0	0.0	5.0	25.0	3.0	3.0	5.0	14.0	1.0	11.0	5.0	0.0	86.0
homme_NOM_homme	6.0	12.0	8.0	0.0	3.0	6.0	8.0	3.0	7.0	5.0	16.0	7.0	4.0	0.0	85.0
tous_PRO:IND_tout	4.0	5.0	6.0	9.0	11.0	7.0	5.0	8.0	11.0	2.0	3.0	6.0	8.0	0.0	85.0
t'_PRO:PER_te	1.0	6.0	2.0	3.0	4.0	23.0	6.0	8.0	1.0	3.0	1.0	13.0	12.0	0.0	83.0
leur_DET:POS_leur	14.0	7.0	3.0	5.0	3.0	4.0	7.0	8.0	8.0	4.0	10.0	4.0	4.0	1.0	82.0
la_PRO:PER_la	8.0	1.0	7.0	10.0	18.0	2.0	6.0	5.0	5.0	6.0	5.0	1.0	3.0	0.0	77.0
-tu_PRO:PER_tu	4.0	15.0	3.0	5.0	2.0	8.0	4.0	8.0	2.0	6.0	5.0	10.0	4.0	0.0	76.0
dont_PRO:REL_dont	5.0	3.0	4.0	10.0	2.0	8.0	10.0	7.0	6.0	7.0	3.0	5.0	5.0	0.0	75.0
mes_DET:POS_mon	2.0	6.0	3.0	5.0	2.0	11.0	2.0	6.0	3.0	6.0	4.0	8.0	16.0	0.0	74.0
C'_PRO:DEM_ce	7.0	9.0	5.0	5.0	6.0	8.0	10.0	5.0	5.0	5.0	1.0	5.0	3.0	0.0	74.0
comme_ADV_comme	3.0	9.0	4.0	6.0	7.0	8.0	7.0	6.0	6.0	3.0	6.0	4.0	5.0	0.0	74.0
ton_DET:POS_ton	6.0	13.0	2.0	2.0	4.0	11.0	4.0	3.0	2.0	8.0	1.0	9.0	7.0	0.0	72.0
tout_ADV_tout	4.0	2.0	6.0	7.0	5.0	5.0	8.0	6.0	11.0	3.0	4.0	4.0	7.0	0.0	72.0
où_PRO:REL_où	5.0	9.0	6.0	11.0	8.0	5.0	1.0	2.0	6.0	4.0	4.0	7.0	3.0	0.0	71.0
point_ADV_point	1.0	6.0	6.0	7.0	1.0	2.0	7.0	7.0	7.0	11.0	6.0	4.0	5.0	0.0	70.0
c'_PRO:DEM_ce	7.0	5.0	6.0	2.0	3.0	8.0	6.0	3.0	4.0	9.0	5.0	10.0	1.0	0.0	69.0
moi_PRO:PER_moi	0.0	4.0	2.0	1.0	1.0	11.0	5.0	7.0	4.0	6.0	7.0	9.0	12.0	0.0	69.0
ma_DET:POS_mon	2.0	2.0	4.0	1.0	6.0	12.0	7.0	6.0	6.0	10.0	1.0	8.0	4.0	0.0	69.0
suis_VER:pres_suivre|être	5.0	7.0	1.0	1.0	3.0	13.0	2.0	3.0	4.0	10.0	5.0	11.0	2.0	0.0	67.0
terre_NOM_terre	5.0	4.0	8.0	6.0	2.0	2.0	7.0	6.0	2.0	3.0	10.0	7.0	5.0	0.0	67.0
vie_NOM_vie	8.0	6.0	1.0	5.0	7.0	8.0	2.0	4.0	2.0	4.0	5.0	7.0	7.0	0.0	66.0
si_KON_si	2.0	7.0	4.0	0.0	4.0	9.0	7.0	9.0	9.0	5.0	1.0	5.0	3.0	0.0	65.0
âme_NOM_âme	4.0	3.0	2.0	8.0	6.0	4.0	5.0	7.0	3.0	8.0	3.0	4.0	8.0	0.0	65.0
ni_KON_ni	2.0	13.0	3.0	2.0	3.0	13.0	8.0	3.0	6.0	3.0	2.0	2.0	3.0	0.0	63.0
mais_KON_mais	6.0	5.0	7.0	4.0	5.0	5.0	8.0	2.0	3.0	4.0	4.0	3.0	7.0	0.0	63.0
