	Aimard_BanditsArizona_0	Aimard_BanditsArizona_1	Aimard_BanditsArizona_2	Aimard_BanditsArizona_3	Aimard_BanditsArizona_4	Aimard_BanditsArizona_5	Aimard_BanditsArizona_6	Aimard_BanditsArizona_7	Aimard_BanditsArizona_8	Aimard_BanditsArizona_9	Aimard_BanditsArizona_10	Aimard_BanditsArizona_11	Aimard_BanditsArizona_12	Aimard_BanditsArizona_13	Aimard_BanditsArizona_14	Aimard_BanditsArizona_15	Aimard_BanditsArizona_16	Aimard_BanditsArizona_17	Aimard_BanditsArizona_sum
plus_ADV_plus	21.0	27.0	19.0	21.0	22.0	27.0	22.0	19.0	23.0	29.0	17.0	19.0	13.0	16.0	35.0	20.0	17.0	11.0	378.0
du_PRP:det_du	36.0	26.0	30.0	16.0	15.0	18.0	9.0	15.0	17.0	16.0	27.0	25.0	31.0	16.0	20.0	27.0	20.0	12.0	376.0
pour_PRP_pour	22.0	17.0	15.0	19.0	17.0	17.0	19.0	21.0	28.0	28.0	25.0	13.0	28.0	24.0	19.0	30.0	18.0	15.0	375.0
n'_ADV_ne	18.0	17.0	23.0	21.0	24.0	19.0	29.0	35.0	22.0	13.0	19.0	18.0	23.0	18.0	18.0	19.0	21.0	10.0	367.0
sur_PRP_sur	33.0	25.0	22.0	21.0	34.0	24.0	16.0	15.0	17.0	9.0	19.0	24.0	24.0	7.0	23.0	16.0	21.0	8.0	358.0
nous_PRO:PER_nous	9.0	21.0	34.0	22.0	24.0	12.0	17.0	11.0	25.0	23.0	30.0	35.0	17.0	27.0	14.0	20.0	10.0	3.0	354.0
dit_VER:pres_dire	14.0	22.0	10.0	21.0	22.0	19.0	21.0	15.0	35.0	16.0	16.0	21.0	14.0	29.0	11.0	27.0	19.0	15.0	347.0
avait_VER:impf_avoir	36.0	24.0	13.0	13.0	10.0	21.0	11.0	15.0	17.0	18.0	12.0	9.0	24.0	16.0	20.0	16.0	27.0	11.0	313.0
ils_PRO:PER_il	4.0	12.0	16.0	8.0	37.0	29.0	10.0	21.0	12.0	4.0	36.0	28.0	22.0	19.0	13.0	14.0	23.0	1.0	309.0
au_PRP:det_au	25.0	17.0	14.0	14.0	15.0	9.0	9.0	12.0	17.0	23.0	29.0	20.0	24.0	19.0	15.0	11.0	23.0	9.0	305.0
que_PRO:REL_que	15.0	13.0	21.0	18.0	22.0	11.0	24.0	21.0	12.0	29.0	15.0	17.0	12.0	18.0	13.0	16.0	12.0	12.0	301.0
mais_KON_mais	10.0	13.0	14.0	24.0	17.0	18.0	20.0	23.0	27.0	13.0	17.0	18.0	11.0	10.0	17.0	17.0	14.0	10.0	293.0
le_PRO:PER_le	12.0	33.0	14.0	13.0	9.0	9.0	18.0	15.0	26.0	13.0	16.0	11.0	7.0	20.0	26.0	11.0	24.0	10.0	287.0
mon_DET:POS_mon	6.0	18.0	10.0	15.0	14.0	5.0	9.0	25.0	31.0	36.0	12.0	21.0	5.0	15.0	15.0	18.0	14.0	17.0	286.0
son_DET:POS_son	32.0	8.0	16.0	19.0	9.0	23.0	18.0	18.0	20.0	17.0	10.0	15.0	16.0	9.0	9.0	10.0	25.0	10.0	284.0
bien_ADV_bien	7.0	16.0	15.0	16.0	13.0	22.0	18.0	19.0	17.0	16.0	14.0	20.0	12.0	24.0	15.0	18.0	11.0	7.0	280.0
par_PRP_par	14.0	15.0	15.0	13.0	13.0	22.0	10.0	17.0	9.0	14.0	14.0	19.0	27.0	13.0	19.0	5.0	19.0	6.0	264.0
don_NOM_don	0.0	0.0	15.0	30.0	36.0	4.0	0.0	4.0	37.0	16.0	18.0	18.0	12.0	3.0	12.0	6.0	25.0	21.0	257.0
me_PRO:PER_me	11.0	11.0	19.0	14.0	7.0	9.0	29.0	17.0	18.0	33.0	4.0	7.0	3.0	17.0	15.0	7.0	21.0	14.0	256.0
lui_PRO:PER_lui	25.0	22.0	16.0	12.0	12.0	11.0	12.0	13.0	11.0	12.0	2.0	17.0	13.0	3.0	17.0	25.0	20.0	10.0	253.0
Le_DET:ART_le	16.0	19.0	9.0	9.0	16.0	19.0	17.0	19.0	12.0	11.0	9.0	14.0	10.0	14.0	17.0	7.0	17.0	14.0	249.0
sans_PRP_sans	21.0	20.0	17.0	7.0	7.0	20.0	12.0	13.0	20.0	9.0	14.0	18.0	19.0	8.0	11.0	7.0	10.0	3.0	236.0
