	Ponson_Breda_0	Ponson_Breda_1	Ponson_Breda_2	Ponson_Breda_3	Ponson_Breda_4	Ponson_Breda_5	Ponson_Breda_6	Ponson_Breda_7	Ponson_Breda_8	Ponson_Breda_9	Ponson_Breda_10	Ponson_Breda_11	Ponson_Breda_12	Ponson_Breda_13	Ponson_Breda_sum
ce_PRO:DEM_ce	17.0	17.0	23.0	24.0	16.0	19.0	18.0	25.0	13.0	18.0	13.0	18.0	23.0	6.0	250.0
«_PUN:cit_«	84.0	4.0	31.0	13.0	0.0	2.0	29.0	3.0	9.0	12.0	10.0	11.0	11.0	7.0	226.0
son_DET:POS_son	17.0	11.0	19.0	24.0	10.0	27.0	19.0	19.0	10.0	15.0	16.0	19.0	8.0	10.0	224.0
a_VER:pres_avoir	16.0	20.0	19.0	17.0	17.0	12.0	27.0	16.0	17.0	16.0	9.0	20.0	11.0	3.0	220.0
avec_PRP_avec	16.0	13.0	14.0	15.0	19.0	9.0	11.0	13.0	24.0	23.0	17.0	17.0	15.0	10.0	216.0
on_PRO:PER_on	21.0	9.0	20.0	18.0	18.0	12.0	13.0	20.0	20.0	12.0	19.0	18.0	13.0	1.0	214.0
mais_KON_mais	12.0	15.0	12.0	20.0	11.0	19.0	15.0	15.0	18.0	19.0	11.0	14.0	24.0	8.0	213.0
tu_PRO:PER_tu	13.0	32.0	5.0	30.0	6.0	17.0	14.0	12.0	16.0	22.0	2.0	11.0	4.0	12.0	196.0
que_PRO:REL_que	14.0	15.0	18.0	21.0	13.0	16.0	14.0	14.0	13.0	11.0	11.0	11.0	17.0	5.0	193.0
prince_NOM_prince	0.0	8.0	12.0	23.0	27.0	11.0	21.0	0.0	3.0	0.0	21.0	18.0	20.0	29.0	193.0
ai_VER:pres_avoir	21.0	19.0	20.0	10.0	7.0	13.0	13.0	16.0	12.0	19.0	9.0	14.0	13.0	7.0	193.0
Le_DET:ART_le	6.0	9.0	10.0	11.0	17.0	10.0	15.0	15.0	9.0	7.0	28.0	25.0	17.0	11.0	190.0
me_PRO:PER_me	12.0	18.0	18.0	16.0	10.0	29.0	9.0	9.0	14.0	20.0	6.0	11.0	8.0	9.0	189.0
nous_PRO:PER_nous	13.0	31.0	19.0	19.0	34.0	19.0	9.0	10.0	5.0	3.0	16.0	3.0	5.0	1.0	187.0
Je_PRO:PER_je	12.0	18.0	11.0	24.0	14.0	9.0	9.0	6.0	15.0	17.0	11.0	13.0	12.0	7.0	178.0
plus_ADV_plus	16.0	10.0	12.0	15.0	26.0	10.0	15.0	12.0	7.0	8.0	13.0	10.0	7.0	4.0	165.0
j'_PRO:PER_je	16.0	17.0	16.0	11.0	5.0	18.0	10.0	14.0	10.0	18.0	6.0	12.0	6.0	0.0	159.0
sa_DET:POS_son	16.0	6.0	7.0	6.0	15.0	13.0	8.0	16.0	13.0	3.0	16.0	8.0	23.0	9.0	159.0
baron_NOM_baron	1.0	0.0	32.0	3.0	23.0	18.0	2.0	0.0	0.0	0.0	30.0	33.0	15.0	1.0	158.0
