	Huysmans_SœursVatard_0	Huysmans_SœursVatard_1	Huysmans_SœursVatard_2	Huysmans_SœursVatard_3	Huysmans_SœursVatard_4	Huysmans_SœursVatard_5	Huysmans_SœursVatard_6	Huysmans_SœursVatard_7	Huysmans_SœursVatard_8	Huysmans_SœursVatard_9	Huysmans_SœursVatard_10	Huysmans_SœursVatard_11	Huysmans_SœursVatard_12	Huysmans_SœursVatard_13	Huysmans_SœursVatard_14	Huysmans_SœursVatard_15	Huysmans_SœursVatard_16	Huysmans_SœursVatard_sum
sur_PRP_sur	34.0	32.0	19.0	28.0	22.0	30.0	42.0	23.0	21.0	21.0	36.0	32.0	21.0	16.0	23.0	27.0	12.0	439.0
n'_ADV_ne	16.0	18.0	35.0	32.0	21.0	27.0	16.0	29.0	37.0	22.0	25.0	28.0	32.0	27.0	28.0	21.0	22.0	436.0
avec_PRP_avec	23.0	22.0	38.0	21.0	22.0	22.0	22.0	27.0	24.0	28.0	15.0	22.0	20.0	20.0	36.0	25.0	6.0	393.0
qu'_KON_que	8.0	14.0	14.0	34.0	33.0	19.0	13.0	31.0	32.0	16.0	28.0	23.0	28.0	31.0	29.0	23.0	15.0	391.0
sa_DET:POS_son	18.0	30.0	34.0	27.0	18.0	24.0	28.0	20.0	26.0	17.0	24.0	24.0	19.0	23.0	30.0	11.0	12.0	385.0
son_DET:POS_son	17.0	29.0	39.0	18.0	18.0	16.0	33.0	19.0	21.0	25.0	39.0	18.0	24.0	11.0	22.0	23.0	10.0	382.0
du_PRP:det_du	27.0	26.0	19.0	13.0	21.0	31.0	40.0	24.0	14.0	20.0	36.0	23.0	28.0	12.0	18.0	19.0	6.0	377.0
plus_ADV_plus	15.0	12.0	18.0	19.0	25.0	18.0	16.0	18.0	9.0	16.0	28.0	34.0	31.0	35.0	26.0	15.0	21.0	356.0
qu'_PRO:REL_que	11.0	20.0	25.0	23.0	19.0	16.0	10.0	15.0	26.0	18.0	21.0	19.0	20.0	26.0	32.0	26.0	17.0	344.0
pour_PRP_pour	21.0	18.0	17.0	27.0	14.0	20.0	13.0	16.0	27.0	26.0	26.0	23.0	28.0	12.0	24.0	11.0	12.0	335.0
ses_DET:POS_son	14.0	31.0	24.0	16.0	21.0	13.0	12.0	22.0	19.0	14.0	23.0	38.0	24.0	16.0	18.0	21.0	8.0	334.0
par_PRP_par	26.0	10.0	15.0	20.0	24.0	21.0	37.0	14.0	13.0	13.0	18.0	14.0	23.0	22.0	19.0	32.0	8.0	329.0
Il_PRO:PER_il	6.0	9.0	9.0	22.0	15.0	18.0	12.0	29.0	19.0	14.0	13.0	16.0	25.0	38.0	29.0	26.0	10.0	310.0
au_PRP:det_au	16.0	23.0	17.0	15.0	22.0	12.0	12.0	19.0	17.0	11.0	37.0	20.0	20.0	16.0	15.0	13.0	7.0	292.0
est_VER:pres_être	16.0	18.0	9.0	12.0	11.0	23.0	8.0	32.0	34.0	34.0	5.0	5.0	10.0	18.0	8.0	8.0	18.0	269.0
l'_PRO:PER_la|le	1.0	8.0	12.0	18.0	10.0	13.0	17.0	17.0	19.0	23.0	18.0	19.0	15.0	24.0	17.0	11.0	12.0	254.0
:_PUN_:	17.0	10.0	8.0	11.0	19.0	18.0	11.0	12.0	22.0	18.0	9.0	12.0	22.0	20.0	19.0	9.0	9.0	246.0
mais_KON_mais	11.0	11.0	9.0	23.0	10.0	19.0	10.0	23.0	19.0	13.0	14.0	12.0	16.0	12.0	12.0	13.0	5.0	232.0
Céline_NAM_céline	8.0	19.0	7.0	10.0	8.0	14.0	11.0	9.0	15.0	32.0	9.0	9.0	13.0	5.0	17.0	36.0	6.0	228.0
ce_PRO:DEM_ce	8.0	23.0	16.0	15.0	6.0	10.0	7.0	15.0	23.0	16.0	9.0	11.0	15.0	10.0	22.0	12.0	5.0	223.0
bien_ADV_bien	8.0	7.0	8.0	9.0	16.0	12.0	12.0	18.0	23.0	19.0	10.0	11.0	16.0	13.0	17.0	14.0	7.0	220.0
je_PRO:PER_je	8.0	7.0	3.0	6.0	9.0	18.0	9.0	24.0	21.0	33.0	1.0	7.0	19.0	10.0	11.0	12.0	20.0	218.0
Elle_PRO:PER_elle	4.0	8.0	18.0	7.0	21.0	9.0	16.0	8.0	14.0	7.0	12.0	18.0	15.0	23.0	14.0	16.0	6.0	216.0
la_PRO:PER_la	5.0	3.0	19.0	9.0	8.0	16.0	9.0	10.0	14.0	8.0	13.0	20.0	32.0	20.0	7.0	12.0	6.0	211.0
on_PRO:PER_on	10.0	14.0	4.0	15.0	11.0	13.0	13.0	14.0	21.0	11.0	10.0	10.0	11.0	9.0	16.0	3.0	19.0	204.0
Auguste_NAM_auguste	0.0	0.0	1.0	12.0	15.0	7.0	15.0	12.0	22.0	23.0	14.0	20.0	7.0	18.0	22.0	11.0	1.0	200.0
en_PRO:PER_en	8.0	4.0	11.0	11.0	12.0	13.0	2.0	21.0	14.0	15.0	12.0	11.0	10.0	22.0	12.0	6.0	10.0	194.0
ils_PRO:PER_il	3.0	12.0	9.0	5.0	8.0	6.0	4.0	9.0	8.0	17.0	23.0	16.0	19.0	11.0	9.0	26.0	4.0	189.0
?_SENT_?	7.0	13.0	10.0	16.0	10.0	16.0	9.0	15.0	18.0	21.0	1.0	2.0	10.0	6.0	8.0	13.0	7.0	182.0
c'_PRO:DEM_ce	7.0	15.0	8.0	11.0	8.0	22.0	5.0	19.0	21.0	16.0	7.0	6.0	4.0	12.0	8.0	6.0	5.0	180.0
le_PRO:PER_le	6.0	9.0	15.0	10.0	6.0	9.0	12.0	12.0	13.0	8.0	15.0	6.0	9.0	16.0	17.0	10.0	6.0	179.0
aux_PRP:det_au	22.0	19.0	9.0	14.0	6.0	9.0	8.0	5.0	7.0	1.0	8.0	10.0	12.0	11.0	14.0	10.0	5.0	170.0
--_PUN_--	10.0	22.0	11.0	10.0	5.0	5.0	2.0	10.0	15.0	28.0	1.0	5.0	4.0	3.0	5.0	11.0	20.0	167.0
vous_PRO:PER_vous	4.0	12.0	11.0	12.0	10.0	13.0	7.0	9.0	20.0	21.0	1.0	1.0	0.0	23.0	3.0	14.0	6.0	167.0
comme_KON_comme	6.0	10.0	11.0	8.0	14.0	9.0	10.0	17.0	10.0	13.0	6.0	7.0	6.0	14.0	6.0	11.0	4.0	162.0
ces_PRO:DEM_ce	10.0	10.0	9.0	8.0	5.0	10.0	4.0	14.0	5.0	3.0	13.0	20.0	13.0	16.0	4.0	5.0	7.0	156.0
y_PRO:PER_y	11.0	9.0	5.0	9.0	10.0	10.0	8.0	14.0	8.0	9.0	11.0	5.0	9.0	6.0	15.0	6.0	7.0	152.0
sans_PRP_sans	4.0	9.0	9.0	7.0	8.0	4.0	3.0	10.0	10.0	13.0	15.0	13.0	11.0	18.0	4.0	10.0	3.0	151.0
comme_ADV_comme	9.0	8.0	9.0	3.0	11.0	10.0	8.0	6.0	10.0	7.0	11.0	8.0	11.0	17.0	8.0	8.0	4.0	148.0
cette_PRO:DEM_ce	11.0	8.0	9.0	5.0	11.0	8.0	7.0	5.0	7.0	4.0	6.0	10.0	12.0	17.0	12.0	7.0	6.0	145.0
autre_ADJ_autre	10.0	9.0	9.0	2.0	7.0	11.0	11.0	12.0	10.0	9.0	14.0	5.0	8.0	4.0	12.0	8.0	2.0	143.0
La_DET:ART_le	19.0	13.0	3.0	10.0	11.0	5.0	10.0	3.0	10.0	7.0	2.0	7.0	3.0	6.0	5.0	6.0	16.0	136.0
femme_NOM_femme	8.0	17.0	2.0	8.0	7.0	7.0	9.0	5.0	7.0	14.0	5.0	5.0	10.0	11.0	10.0	5.0	4.0	134.0
homme_NOM_homme	4.0	3.0	13.0	11.0	10.0	12.0	6.0	13.0	8.0	7.0	9.0	6.0	7.0	5.0	7.0	3.0	3.0	127.0
ou_KON_ou	10.0	4.0	9.0	10.0	7.0	4.0	6.0	14.0	6.0	6.0	16.0	3.0	8.0	6.0	14.0	2.0	1.0	126.0
tout_ADV_tout	1.0	2.0	10.0	5.0	8.0	9.0	5.0	12.0	9.0	8.0	10.0	7.0	8.0	6.0	13.0	7.0	4.0	124.0
peu_ADV_peu	8.0	1.0	15.0	8.0	1.0	7.0	3.0	11.0	10.0	3.0	11.0	15.0	6.0	3.0	9.0	10.0	3.0	124.0
deux_NUM_deux	7.0	13.0	9.0	8.0	4.0	7.0	15.0	8.0	6.0	11.0	4.0	6.0	4.0	5.0	6.0	5.0	5.0	123.0
les_PRO:PER_la|le	6.0	13.0	6.0	11.0	8.0	6.0	6.0	9.0	13.0	3.0	5.0	2.0	6.0	7.0	13.0	3.0	2.0	119.0
puis_ADV_puis	10.0	6.0	10.0	7.0	4.0	6.0	17.0	8.0	10.0	5.0	3.0	9.0	4.0	6.0	3.0	7.0	3.0	118.0
leurs_DET:POS_leur	9.0	4.0	4.0	8.0	11.0	5.0	5.0	14.0	1.0	2.0	11.0	14.0	6.0	4.0	7.0	8.0	4.0	117.0
Désirée_NAM_désirée	4.0	8.0	5.0	11.0	4.0	5.0	7.0	3.0	7.0	9.0	9.0	9.0	4.0	7.0	17.0	2.0	5.0	116.0
faire_VER:infi_faire	2.0	8.0	7.0	7.0	12.0	7.0	3.0	11.0	7.0	6.0	7.0	10.0	6.0	7.0	7.0	5.0	4.0	116.0
ça_PRO:DEM_cela	4.0	8.0	1.0	1.0	8.0	11.0	3.0	12.0	14.0	8.0	2.0	3.0	8.0	16.0	6.0	3.0	6.0	114.0
quand_KON_quand	4.0	7.0	9.0	5.0	3.0	9.0	13.0	8.0	8.0	11.0	3.0	5.0	13.0	5.0	6.0	2.0	2.0	113.0
tu_PRO:PER_tu	3.0	4.0	7.0	2.0	0.0	4.0	15.0	11.0	4.0	20.0	6.0	4.0	5.0	3.0	15.0	8.0	0.0	111.0
elles_PRO:PER_elle	8.0	6.0	7.0	10.0	6.0	6.0	7.0	9.0	3.0	3.0	3.0	19.0	4.0	1.0	11.0	3.0	4.0	110.0
Le_DET:ART_le	7.0	8.0	4.0	10.0	7.0	5.0	4.0	6.0	6.0	4.0	7.0	6.0	8.0	7.0	7.0	11.0	3.0	110.0
étaient_VER:impf_être	7.0	3.0	15.0	6.0	15.0	9.0	7.0	2.0	4.0	3.0	6.0	6.0	6.0	8.0	5.0	6.0	1.0	109.0
