"Aimard_GrandChefAucas" "FevalPP_ErrantsNuit" "Flaubert_MadameBovary" "France_MannequinOsier" "Gaboriau_Lerouge" "Malot_ClotildeMartory" "Maupassant_PierreJean" "Mirbeau_JardinSupplices" "Ponson_CordePendu" "Stolz_MaisonRoulante" "Verne_DeuxAnsVacances" "Zola_Nana"
"de" 3.51667546616797 4.23295316670711 3.68621769251266 4.31556263468566 3.7100328629422 3.62513915595587 3.48888399735857 4.54090047320314 3.18718141829573 3.82038434218357 4.42872679066149 4.01769259122742
"la" 2.23622466853841 2.92841543314729 2.81608046895817 2.8314438302258 2.0483278561763 1.93502681914786 2.30244331939247 2.09010897544584 1.94887411724898 2.47269097122233 2.43544251545966 2.61571270601864
"et" 1.84888213438072 1.90148022324678 2.33563149480416 3.0282020050595 1.92538179006379 2.34591640522214 2.93198327096632 3.18448756878401 2.70419245336564 2.58787843882586 1.99725337969247 1.6165552103628
"le" 2.33935153432052 2.74108226158699 1.96509459099387 1.99381617164808 2.53392615503576 1.74273858921162 1.95245432533568 1.64002651170677 2.50553936496502 2.01770047418841 2.03456296190453 2.17734716444632
"il" 1.7427946887197 2.1645231739869 2.1382893685052 1.99943783378619 2.87415426251691 1.30755996356644 2.71186440677966 0.964902816098155 2.33471953895019 2.05801608784964 1.70274582648663 1.81994102469591
"à" 2.03391837681274 1.63843727250667 2.09415800692779 1.73147193853649 1.85346994007346 2.0240866309078 1.78516398855382 1.49359557316152 2.07876267504939 1.79308491236154 2.52355663515198 1.48030646095519
"l" 1.34607698494545 1.67532152390197 1.68115507593925 1.8083013210906 1.54030543205103 1.23266875822285 1.50341184239489 1.43348181944295 1.36382985690429 1.58766726180192 1.92501567796274 1.32957716813227
"les" 1.84394783458253 1.34918709051201 1.89265254463096 1.81017520846997 0.986661511695341 1.16182572614108 1.38895003301783 1.9436780369006 0.836635122302629 1.1710725873025 1.57970358727664 1.56587330840925
"un" 1.43834839117155 1.29289007522446 1.44134692246203 1.23489178300384 1.46375410786777 1.16182572614108 1.51001540832049 1.35949566102008 1.51336542344761 1.31697671293363 1.02244131679011 1.78505607919541
"d" 1.09344083527827 0.999757340451347 1.45133892885691 1.28736062962616 1.24028610090856 0.993826535775731 1.18864186660797 1.45043698074818 0.804435857973957 0.934938278715276 1.23201003389615 1.44739613501132
"que" 1.39936742276587 0.898810968211599 0.664468425259792 1.09060245479247 1.27198917456022 1.81965388118611 0.994937266123707 1.32404396010913 1.27378106683257 1.32849545969399 1.32329943718098 0.727976409878363
"en" 1.26367417831573 0.999757340451347 1.29229949373834 0.978169212030357 0.954185192344868 1.05454913470297 0.961919436495708 1.00652003021101 1.01127520001746 1.23058611223099 1.25979376533067 1.07814227792112
"une" 0.999689139112714 0.897840330016986 0.974220623501199 1.00815141010025 0.966557123526 0.850116384981277 1.03675985031917 1.15295096875626 0.877020640274185 0.917660158574747 1.00100815254062 1.38815754831236
"des" 0.819587196478884 0.685270565396748 1.36307620570211 1.39979387238827 0.616276821960178 0.603177816010525 0.75941008144398 1.72942645313439 0.40603818068699 0.618172742805583 0.894636152191343 1.27955347269759
"je" 0.908404592846252 0.579471002183936 0.360544897415401 0.485336831256442 1.36941813261164 2.49569881590932 0.76601364736958 1.43502319774342 1.11878799786066 0.622012325059034 0.187341731958436 0.460744563214154
"qui" 0.97847164998051 1.03081776267896 0.955069277911004 0.940691464442987 0.786390875700754 1.12539216678474 0.777019590578913 0.870878739769102 0.820808365259723 0.940697652095452 0.914481674644567 0.741140540255911
"elle" 0.558069307174965 0.490172288279544 1.77025046629363 0.860114307130141 0.896191764933308 1.04240461491752 0.968523002421308 0.792268446444811 0.323629894015303 1.00021117702394 0.188929373754693 1.94039281765047
"ne" 0.754947869122632 0.729919922348944 0.586197708499867 0.828258221680877 0.935627295573168 1.2185001518065 0.838652872551178 0.915578710482914 0.780422847288167 0.967574727869608 0.908131107459535 0.724685377283977
"qu" 0.743105549606983 0.568793982043193 0.801025845989875 0.966925887754146 0.896965010632128 0.848092298350369 0.847457627118644 0.561061701373368 0.550116244801729 1.1864309163163 0.701737673946004 0.649649834131957
"pas" 0.756428159062088 0.781363746663431 0.578703703703704 0.803897685749086 0.965010632128359 1.38042708227912 0.680167290336782 0.756816745533856 0.866651385659867 0.856226842519534 0.754129853222516 0.774709072718656
"se" 0.930608941938094 0.75806842999272 1.13825606181721 0.541553452637496 0.710612797216316 0.481732618156057 0.821043363416245 0.5394824051667 0.652717290459194 0.842788304632456 0.909718749255793 0.999157495655837
"s" 0.826495216196346 0.670710992477554 0.9267585931255 0.474093506980231 0.709839551517495 0.421010019228823 0.757208892802113 0.463954868443362 0.650534289487759 0.662327938720267 0.930358092607146 0.768127007529883
"dans" 0.772217918416287 0.72506673137588 0.946742605915268 1.06624191886068 0.521167601005219 1.00394696893027 0.75941008144398 0.8385097954591 0.643985286573453 0.817831019985026 0.644582569280719 0.85369385498394
"vous" 0.962681890626311 0.776510555690366 0.434652278177458 0.520940691464443 1.14440363425478 1.41078838174274 0.283953334800792 0.554896188171463 1.70492375869107 0.435792585766669 0.111134925738055 0.2994839660892
"est" 0.768763908557556 0.739626304295074 0.427990940580869 0.921952590649302 1.10187512081964 1.10312721384475 0.627338762931983 0.881668387872436 1.12206249931781 0.693044596747874 0.550911703301501 0.52656521510189
"ce" 0.584221096105357 0.625090997330745 0.427158273381295 0.63712170898529 0.73458341387976 1.03430826839389 0.664758969843716 0.63504785979623 0.610148771516203 0.86198621589971 0.786676510045803 0.597651519140646
"du" 0.588168535943907 0.774569279301141 0.674460431654676 0.77391548767919 0.582254011212063 0.362311506932497 0.49966982170372 0.590347889082418 0.543021491644564 0.633531071819386 1.15024648138887 0.557500921489126
