in	APPR	in
der	ART	die
vor	APPR	vor
mehreren	PIAT	mehrere
Jahren	NN	Jahr
schon	ADV	schon
durch	APPR	durch
Rentier	NN	Rentier
Nottebohm	NN	Nottebohm
gemachten	ADJA	gemacht
Zusicherung	NN	Zusicherung
bestand	VVFIN	bestehen
,	$,	,
daß	KOUS	dass
die	ART	die
Frau	NN	Frau
Majorin	NN	Majorin
nie	ADV	nie
gesteigert	VVPP	steigern
werden	VAINF	werden
würde	VAFIN	werden
.	$.	.
»	QUO	»
Nein	NN	Nein
,	$,	,
Frau	NN	Frau
Majorin	NN	Majorin
«	QUO	«
,	$,	,
so	ADV	so
etwa	ADV	etwa
hatte	VAFIN	haben
sich	PRF	sich
Nottebohm	NN	Nottebohm
damals	ADV	damals
geäußert	VVPP	äußern
,	$,	,
»	QUO	»
was	PIAT	was
dieses	PDAT	dies
angeht	VVFIN	angehen
,	$,	,
so	ADV	so
können	VMFIN	können
Frau	NN	Frau
Majorin	NN	Majorin
ganz	ADV	ganz
ruhig	ADJD	ruhig
sein	VAINF	sein
und	KON	und
die	ART	die
Fräuleins	NN	Fräulein
auch	ADV	auch
.	$.	.
Gott	NN	Gott
,	$,	,
wenn	KOUS	wenn
ich	PPER	ich
so	ADV	so
alles	PIS	alle
bedenke	VVFIN	bedenken
...	$.	...
verzeihen	VVFIN	verzeihen
Frau	NN	Frau
Majorin	NN	Majorin
,	$,	,
das	ART	die
Manonchen	NN	Manonchen
war	VAFIN	sein
ja	ADV	ja
noch	ADV	noch
ein	ART	eine
Quack	NN	Quack
,	$,	,
als	KOUS	als
Sie	PPER	Sie
damals	ADV	damals
,	$,	,
zu	APPR	zu
Michaeli	NE	Michaeli
,	$,	,
hier	ADV	hier
einzogen	VVFIN	einziehen
...	$.	...
,	$,	,
un	FM	un
als	KOUS	als
Sie	PPER	Sie
dann	ADV	dann
Neujahr	NN	Neujahr
runterkamen	VVFIN	runterkommen
und	KON	und
die	ART	die
erste	ADJA	erst
Miete	NN	Miete
brachten	VVFIN	bringen
und	KON	und
alles	PIS	alle
noch	ADV	noch
leer	ADJD	leer
stand	VVFIN	stehen
von	APPR	von
wegen	APPR	wegen
der	ART	die
nassen	ADJA	nass
Wände	NN	Wand
,	$,	,
was	PRELS	was
aber	ADV	aber
ein	ART	eine
Unsinn	NN	Unsinn
is	NE	is
,	$,	,
da	ADV	da
sagte	VVFIN	sagen
ich	PPER	ich
zu	APPR	zu
meiner	PPOSAT	mein
Frau	NN	Frau
,	$,	,
denn	KON	denn
wir	PPER	wir
hatten	VAFIN	haben
es	PPER	es
damals	ADV	damals
noch	ADV	noch
nich	ADJD	nich
:	$.	:
›Line‹	ADJD	›Line‹
,	$,	,
sagte	VVFIN	sagen
ich	PPER	ich
,	$,	,
›das	NN	›das
is	NE	is
Handgeld	NN	Handgeld
und	KON	und
bringt	VVFIN	bringen
uns	PPER	wir
Glück.‹	NN	Glück.‹
Und	ADJD	Und
hat	VAFIN	haben
auch	ADV	auch
wirklich	ADJD	wirklich
.	$.	.
Denn	KON	denn
von	APPR	von
dasselbe	PDAT	dasselb
Vierteljahr	NN	Vierteljahr
an	APZR	an
war	VAFIN	sein
nie	ADV	nie
was	PWS	was
leer	ADJD	leer
,	$,	,
un	FM	un
immer	ADV	immer
reputierliche	ADJA	reputierlich
Leute	NN	Leute
–	$(	-
das	PDS	die
muß	VMFIN	müssen
ich	PPER	ich
sagen	VVINF	sagen
...	$.	...
Und	VVFIN	Und
dann	ADV	dann
,	$,	,
Frau	NN	Frau
Majorin	NN	Majorin
,	$,	,
wie	KOUS	wie
werd	NE	werd
ich	PPER	ich
denn	ADV	denn
grade	PTKVZ	grade
bei	APPR	bei
Ihnen	PPER	Sie
mit	APPR	mit
so	ADV	so
was	PIS	was
anfangen	VVINF	anfangen
...	$.	...
ich	PPER	ich
meine	VVFIN	meinen
mit	APPR	mit
das	ART	die
Steigern	NN	Steiger|Steigern
.	$.	.
Ich	PPER	ich
war	VAFIN	sein
ja	ADV	ja
doch	ADV	doch
auch	ADV	auch
mit	APPR	mit
dabei	PAV	dabei
;	$.	;
Donnerwetter	NN	Donnerwetter
,	$,	,
es	PPER	es
war	VAFIN	sein
eine	ART	eine
ganz	ADV	ganz
verfluchte	ADJA	verflucht
Geschichte	NN	Geschichte
.	$.	.
Hier	ADV	hier
sitzt	VVFIN	sitzen
mir	PPER	ich
